variant,group,definition,mod_type,intensity,sharpe,sharpe_delta,ann_return,max_drawdown,holdout_sharpe,holdout_delta,nm_dev_sharpe,nsl_dev_sharpe,to_increase_ann,g1_sharpe_001,g2_holdout_ok,g3_return_ok,g4_dd_ok,g5_cvar_ok,g6_turnover_ok,g7_nm_ok,g8_sp_ok,g9_rf_ok,gates_passed,verdict
G4_smoothed|D_4wk|offense_budget|int10pct,G4_smoothed,D_4wk,offense_budget,0.1,0.973616,0.019398,0.074027,-0.116057,2.044738,-0.003207,1.299486,0.852558,0.120841,True,True,True,True,True,False,True,True,True,8,RESEARCH-ONLY
G4_smoothed|E_4wk|offense_budget|int10pct,G4_smoothed,E_4wk,offense_budget,0.1,0.968853,0.014635,0.073502,-0.116057,2.064187,0.016242,1.290514,0.79772,0.125674,True,True,True,True,True,False,True,True,True,8,RESEARCH-ONLY
G4_smoothed|D_4wk|offense_budget|int7pct,G4_smoothed,D_4wk,offense_budget,0.075,0.968297,0.014079,0.073453,-0.116057,2.042493,-0.005452,1.294332,0.822146,0.111962,True,True,True,True,True,False,True,True,True,8,RESEARCH-ONLY
G4_smoothed|E_4wk|offense_budget|int7pct,G4_smoothed,E_4wk,offense_budget,0.075,0.964034,0.009816,0.073005,-0.116057,2.053052,0.005107,1.287095,0.776273,0.113439,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
G4_smoothed|D_4wk|offense_budget|int5pct,G4_smoothed,D_4wk,offense_budget,0.05,0.963937,0.009719,0.072931,-0.116057,2.047608,-0.000337,1.290504,0.802684,0.100532,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
G1_static_NM|nm_all|defense_release|int7pct,G1_static_NM,nm_all,defense_release,0.075,0.961636,0.007418,0.074467,-0.116088,2.036979,-0.010966,1.280728,0.763065,0.288617,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G4_smoothed|E_4wk|offense_budget|int5pct,G4_smoothed,E_4wk,offense_budget,0.05,0.960712,0.006494,0.0726,-0.116057,2.05255,0.004605,1.285336,0.768675,0.096851,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
G1_static_NM|nm_all|defense_release|int5pct,G1_static_NM,nm_all,defense_release,0.05,0.959863,0.005645,0.073708,-0.116071,2.038735,-0.00921,1.281505,0.761213,0.199307,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
G4_smoothed|D_4wk|offense_budget|int2pct,G4_smoothed,D_4wk,offense_budget,0.025,0.958658,0.00444,0.072331,-0.116057,2.048234,0.000289,1.28582,0.779949,0.086686,False,True,True,True,True,False,True,True,True,7,RESEARCH-ONLY
G1_static_NM|nm_all|combined|int7pct,G1_static_NM,nm_all,combined,0.075,0.958288,0.00407,0.074378,-0.116087,2.03612,-0.011825,1.270503,0.779898,0.333124,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY
