label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_weekly_turnover,ann_turnover,ann_cost_drag,sharpe_delta,return_delta,dd_delta,to_increase_ann,holdout_sharpe,holdout_delta,dev_sharpe,nm_dev_sharpe,nsl_dev_sharpe,sp_dev_sharpe,rf_dev_sharpe,group,definition,mod_type,intensity,g1_sharpe_001,g2_holdout_ok,g3_return_ok,g4_dd_ok,g5_cvar_ok,g6_turnover_ok,g7_nm_ok,g8_sp_ok,g9_rf_ok,gates_passed,verdict,variant
G1_static_NM|nm_all|offense_budget|int0pct,0.071902,0.075399,0.953618,1.183099,0.619553,-0.116054,-0.019789,-0.024997,0.554955,1110,0.068969,3.586383,0.003586,-0.0006,0.000112,-1.9e-05,0.082217,2.047065,-0.00088,0.8302697118792717,1.28042,0.763626,0.47181,0.978075,G1_static_NM,nm_all,offense_budget,0.005,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|offense_budget|int0pct
G1_static_NM|nm_all|offense_budget|int1pct,0.072085,0.075563,0.953968,1.184015,0.621147,-0.116051,-0.019822,-0.025044,0.554955,1110,0.069244,3.600691,0.003601,-0.00025,0.000295,-1.6e-05,0.096525,2.046859,-0.001086,0.8305944692959054,1.279218,0.763937,0.471658,0.97751,G1_static_NM,nm_all,offense_budget,0.01,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|offense_budget|int1pct
G1_static_NM|nm_all|offense_budget|int2pct,0.072639,0.076048,0.955169,1.187362,0.625936,-0.116048,-0.019915,-0.025173,0.554955,1110,0.070359,3.658685,0.003659,0.000951,0.000849,-1.3e-05,0.154519,2.045564,-0.002381,0.8318092554649307,1.276731,0.767948,0.471033,0.975357,G1_static_NM,nm_all,offense_budget,0.025,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|offense_budget|int2pct
G1_static_NM|nm_all|offense_budget|int5pct,0.07349,0.076863,0.956113,1.19092,0.633168,-0.116067,-0.020074,-0.025395,0.555856,1110,0.072672,3.778919,0.003779,0.001895,0.0017,-3.2e-05,0.274753,2.043665,-0.00428,0.8327820015247474,1.270943,0.778208,0.46958,0.970924,G1_static_NM,nm_all,offense_budget,0.05,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|offense_budget|int5pct
G1_static_NM|nm_all|offense_budget|int7pct,0.074181,0.07769,0.954832,1.191441,0.638999,-0.11609,-0.020264,-0.025624,0.556757,1110,0.075316,3.916406,0.003916,0.000614,0.002391,-5.5e-05,0.41224,2.037415,-0.01053,0.8321241652018377,1.261896,0.785043,0.467969,0.966044,G1_static_NM,nm_all,offense_budget,0.075,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|offense_budget|int7pct
G1_static_NM|nm_all|defense_release|int0pct,0.071934,0.075404,0.953982,1.183631,0.619827,-0.116055,-0.019819,-0.025005,0.554955,1110,0.068864,3.580943,0.003581,-0.000236,0.000144,-2e-05,0.076777,2.045557,-0.002388,0.8307500177101386,1.281524,0.764354,0.471824,0.978334,G1_static_NM,nm_all,defense_release,0.005,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|defense_release|int0pct
G1_static_NM|nm_all|defense_release|int1pct,0.07215,0.07557,0.954751,1.185139,0.6217,-0.116053,-0.019878,-0.025058,0.554955,1110,0.06902,3.589028,0.003589,0.000533,0.00036,-1.8e-05,0.084862,2.043964,-0.003981,0.831602647308464,1.281561,0.765399,0.471711,0.978104,G1_static_NM,nm_all,defense_release,0.01,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|defense_release|int1pct
G1_static_NM|nm_all|defense_release|int2pct,0.072794,0.076057,0.9571,1.189622,0.627224,-0.116058,-0.020053,-0.025212,0.554955,1110,0.069716,3.625255,0.003625,0.002882,0.001004,-2.3e-05,0.121089,2.041224,-0.006721,0.8341013336843643,1.281943,0.767135,0.471194,0.976922,G1_static_NM,nm_all,defense_release,0.025,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|defense_release|int2pct
G1_static_NM|nm_all|defense_release|int5pct,0.073708,0.07679,0.959863,1.195746,0.635025,-0.116071,-0.020323,-0.025427,0.554955,1110,0.071221,3.703473,0.003703,0.005645,0.001918,-3.6e-05,0.199307,2.038735,-0.00921,0.8372478486227266,1.281505,0.761213,0.470118,0.974323,G1_static_NM,nm_all,defense_release,0.05,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|defense_release|int5pct
G1_static_NM|nm_all|defense_release|int7pct,0.074467,0.077437,0.961636,1.200225,0.641467,-0.116088,-0.020569,-0.025623,0.554955,1110,0.072938,3.792783,0.003793,0.007418,0.002677,-5.3e-05,0.288617,2.036979,-0.010966,0.8397654867214777,1.280728,0.763065,0.468829,0.97083,G1_static_NM,nm_all,defense_release,0.075,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|defense_release|int7pct
G1_static_NM|nm_all|combined|int0pct,0.071915,0.0754,0.953776,1.183336,0.619666,-0.116054,-0.019801,-0.025,0.554955,1110,0.068912,3.583435,0.003583,-0.000442,0.000125,-1.9e-05,0.079269,2.046483,-0.001462,0.8304731693193982,1.280885,0.763925,0.471822,0.9782,G1_static_NM,nm_all,combined,0.005,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G1_static_NM|nm_all|combined|int0pct
