definition,n_active,pct_all_weeks,pct_nm_weeks,n_episodes,avg_ep_len_wk,med_ep_len_wk,n_transitions_total,transitions_per_yr,dev_n_active,hold_n_active,overlap_with_step2b_E
A_raw,136,0.1225,0.2759,38,3.58,2.0,37,1.73,78,58,72
A_2wk,174,0.1568,0.3083,31,5.61,3.0,30,1.41,108,66,72
A_4wk,149,0.1342,0.2434,17,8.76,5.0,16,0.75,82,67,61
A_monthly,148,0.1333,0.211,14,10.57,8.5,13,0.61,90,58,53
A_quarterly,147,0.1324,0.146,7,21.0,15.0,6,0.28,93,54,28
B_raw,120,0.1081,0.2434,29,4.14,2.0,29,1.36,62,58,72
B_2wk,149,0.1342,0.2596,25,5.96,3.0,25,1.17,83,66,72
B_4wk,135,0.1216,0.217,13,10.38,9.0,12,0.56,68,67,60
B_monthly,135,0.1216,0.1846,12,11.25,9.0,11,0.52,77,58,53
B_quarterly,133,0.1198,0.1278,6,22.17,20.5,5,0.23,79,54,28
C_raw,104,0.0937,0.211,32,3.25,2.0,32,1.5,55,49,72
C_2wk,136,0.1225,0.2454,28,4.86,3.5,28,1.31,77,59,72
C_4wk,120,0.1081,0.1968,17,7.06,4.0,16,0.75,61,59,59
C_monthly,123,0.1108,0.1663,12,10.25,8.5,11,0.52,69,54,49
C_quarterly,119,0.1072,0.1237,6,19.83,14.0,5,0.23,65,54,28
D_raw,98,0.0883,0.1988,28,3.5,2.0,28,1.31,49,49,72
D_2wk,126,0.1135,0.2272,25,5.04,3.0,25,1.17,67,59,72
D_4wk,115,0.1036,0.1886,17,6.76,4.0,16,0.75,56,59,58
D_monthly,123,0.1108,0.1663,12,10.25,8.5,11,0.52,69,54,49
D_quarterly,119,0.1072,0.1237,6,19.83,14.0,5,0.23,65,54,28
E_raw,72,0.0649,0.146,26,2.77,2.0,26,1.22,38,34,72
E_2wk,98,0.0883,0.1765,23,4.26,3.0,23,1.08,54,44,72
E_4wk,80,0.0721,0.1339,16,5.0,3.5,15,0.7,42,38,51
E_monthly,88,0.0793,0.1176,14,6.29,4.0,13,0.61,51,37,31
E_quarterly,80,0.0721,0.0994,5,16.0,13.0,4,0.19,52,28,19
