n_active,pct_active,n_episodes,avg_ep_len,med_ep_len,min_ep_len,max_ep_len,n_transitions,signal,filter,activate_after,deactivate_after,min_hold,dev_n_active,hold_n_active,turnover_reduction_pct
136,0.1225,38,3.58,2.0,1,19,37,A_nm_slow,raw,1,1,0,78,58,
123,0.1108,17,7.24,7.0,2,19,17,A_nm_slow,act2_deact2_hold2,2,2,2,65,58,0.541
136,0.1225,17,8.0,7.0,4,19,17,A_nm_slow,act2_deact2_hold4,2,2,4,74,62,0.541
157,0.1414,16,9.81,9.0,6,19,16,A_nm_slow,act2_deact2_hold6,2,2,6,88,69,0.568
143,0.1288,14,10.21,8.5,3,33,13,A_nm_slow,act2_deact3_hold2,2,3,2,77,66,0.649
150,0.1351,14,10.71,8.5,4,33,13,A_nm_slow,act2_deact3_hold4,2,3,4,82,68,0.649
168,0.1514,13,12.92,10.0,6,36,12,A_nm_slow,act2_deact3_hold6,2,3,6,93,75,0.676
98,0.0883,12,8.17,8.0,2,18,12,A_nm_slow,act3_deact2_hold2,3,2,2,48,50,0.676
106,0.0955,12,8.83,8.0,4,18,12,A_nm_slow,act3_deact2_hold4,3,2,4,56,50,0.676
113,0.1018,11,10.27,8.0,6,25,11,A_nm_slow,act3_deact2_hold6,3,2,6,60,53,0.703
118,0.1063,10,11.8,9.0,3,32,9,A_nm_slow,act3_deact3_hold2,3,3,2,60,58,0.757
124,0.1117,10,12.4,9.0,4,32,9,A_nm_slow,act3_deact3_hold4,3,3,4,66,58,0.757
128,0.1153,10,12.8,9.0,6,32,9,A_nm_slow,act3_deact3_hold6,3,3,6,70,58,0.757
85,0.0766,11,7.73,7.0,2,17,11,A_nm_slow,act4_deact2_hold2,4,2,2,39,46,0.703
93,0.0838,10,9.3,7.0,4,24,10,A_nm_slow,act4_deact2_hold4,4,2,4,43,50,0.73
97,0.0874,10,9.7,7.0,6,24,10,A_nm_slow,act4_deact2_hold6,4,2,6,47,50,0.73
106,0.0955,9,11.78,8.0,3,31,8,A_nm_slow,act4_deact3_hold2,4,3,2,50,56,0.784
108,0.0973,9,12.0,8.0,4,31,8,A_nm_slow,act4_deact3_hold4,4,3,4,52,56,0.784
112,0.1009,9,12.44,8.0,6,31,8,A_nm_slow,act4_deact3_hold6,4,3,6,56,56,0.784
78,0.0703,31,2.52,1.0,1,9,31,B_nm_slow_credit,raw,1,1,0,44,34,
65,0.0586,14,4.64,3.0,2,12,14,B_nm_slow_credit,act2_deact2_hold2,2,2,2,34,31,0.548
76,0.0685,13,5.85,5.0,3,12,12,B_nm_slow_credit,act2_deact2_hold4,2,2,4,42,34,0.613
94,0.0847,13,7.23,7.0,3,12,12,B_nm_slow_credit,act2_deact2_hold6,2,2,6,58,36,0.613
79,0.0712,14,5.64,4.0,3,13,13,B_nm_slow_credit,act2_deact3_hold2,2,3,2,43,36,0.581
83,0.0748,13,6.38,6.0,3,13,12,B_nm_slow_credit,act2_deact3_hold4,2,3,4,46,37,0.613
103,0.0928,13,7.92,8.0,3,13,12,B_nm_slow_credit,act2_deact3_hold6,2,3,6,64,39,0.613
43,0.0387,9,4.78,5.0,2,8,9,B_nm_slow_credit,act3_deact2_hold2,3,2,2,22,21,0.71
57,0.0514,9,6.33,7.0,4,8,9,B_nm_slow_credit,act3_deact2_hold4,3,2,4,36,21,0.71
62,0.0559,9,6.89,7.0,6,8,9,B_nm_slow_credit,act3_deact2_hold6,3,2,6,41,21,0.71
52,0.0468,9,5.78,6.0,3,9,9,B_nm_slow_credit,act3_deact3_hold2,3,3,2,28,24,0.71
65,0.0586,9,7.22,8.0,4,9,9,B_nm_slow_credit,act3_deact3_hold4,3,3,4,41,24,0.71
68,0.0613,9,7.56,8.0,6,9,9,B_nm_slow_credit,act3_deact3_hold6,3,3,6,44,24,0.71
28,0.0252,5,5.6,6.0,4,7,5,B_nm_slow_credit,act4_deact2_hold2,4,2,2,10,18,0.839
28,0.0252,5,5.6,6.0,4,7,5,B_nm_slow_credit,act4_deact2_hold4,4,2,4,10,18,0.839
