variant,signal,modifier,intensity,full_sharpe,sharpe_delta,ann_return,max_drawdown,holdout_sharpe,nm_dev_sharpe,nm_slow_dev_sharpe,n_dev_active,turnover_increase_ann,g1_sharpe_001,g2_holdout_ok,g3_return_ok,g4_dd_ok,g5_cvar_ok,g6_turnover_ok,g7_nm_improved,g8_sp_ok,g9_rf_ok,g10_obs_ok,gates_passed,verdict
D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,D_nm_slow_fc,offense_budget,0.1,0.9687,0.0145,0.0737,-0.1161,2.0263,1.2993,2.0131,55,0.1248,True,True,True,True,True,False,True,True,True,True,9,RESEARCH-ONLY
D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,D_nm_slow_fc,offense_budget,0.1,0.9655,0.0113,0.0735,-0.1161,2.0208,1.3029,2.0175,63,0.1179,True,True,True,True,True,False,True,True,True,True,9,RESEARCH-ONLY
E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int10pct,E_nm_slow_credit_fc,offense_budget,0.1,0.9656,0.0113,0.0733,-0.1161,2.0893,1.2966,2.0174,44,0.1271,True,True,True,True,True,False,True,True,True,True,9,RESEARCH-ONLY
D_nm_slow_fc|act2_deact2_hold2|offense_budget|int7pct,D_nm_slow_fc,offense_budget,0.075,0.9643,0.0101,0.0732,-0.1161,2.0253,1.2942,2.0064,55,0.1143,True,True,True,True,True,False,True,True,True,True,9,RESEARCH-ONLY
D_nm_slow_fc|act2_deact2_hold4|offense_budget|int7pct,D_nm_slow_fc,offense_budget,0.075,0.9619,0.0077,0.0731,-0.1161,2.0217,1.297,2.0098,63,0.1082,False,True,True,True,True,False,True,True,True,True,8,RESEARCH-ONLY
E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int7pct,E_nm_slow_credit_fc,offense_budget,0.075,0.9618,0.0076,0.0728,-0.1161,2.0768,1.2917,2.0069,44,0.1152,False,True,True,True,True,False,True,True,True,True,8,RESEARCH-ONLY
D_nm_slow_fc|act2_deact2_hold2|offense_budget|int5pct,D_nm_slow_fc,offense_budget,0.05,0.9611,0.0068,0.0727,-0.1161,2.033,1.2905,2.0082,55,0.0987,False,True,True,True,True,False,True,True,True,True,8,RESEARCH-ONLY
D_nm_slow_fc|act2_deact2_hold4|offense_budget|int5pct,D_nm_slow_fc,offense_budget,0.05,0.9594,0.0052,0.0727,-0.1161,2.0308,1.2924,2.0105,63,0.0943,False,True,True,True,True,False,True,True,True,True,8,RESEARCH-ONLY
E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int5pct,E_nm_slow_credit_fc,offense_budget,0.05,0.9593,0.005,0.0725,-0.1161,2.0703,1.2885,2.0065,44,0.0998,False,True,True,True,True,False,True,True,True,True,8,RESEARCH-ONLY
D_nm_slow_fc|act2_deact2_hold4|offense_budget|int2pct,D_nm_slow_fc,offense_budget,0.025,0.9563,0.0021,0.0722,-0.1161,2.0386,1.2868,2.0064,63,0.0841,False,True,True,True,True,False,True,True,True,True,8,RESEARCH-ONLY
