label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_weekly_turnover,ann_turnover,ann_cost_drag,candidate,window,bl_sharpe,sharpe_delta
full_period,0.073674,0.076054,0.968703,1.205689,0.634808,-0.116057,-0.019821,-0.025113,0.554955,1110,0.069788,3.62895,0.003629,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,full_period,0.9542,0.0145
holdout,0.174737,0.086233,2.026349,2.803964,2.269364,-0.076998,-0.008789,-0.024368,0.663462,104,0.083806,4.357938,0.004358,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,holdout,2.0479,-0.0216
dev,0.063226,0.074822,0.845023,1.036303,0.544784,-0.116057,-0.020897,-0.025012,0.543738,1006,0.068338,3.553587,0.003554,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,dev,0.8309,0.0141
dev_ex_2020,0.064811,0.070487,0.919467,1.187706,0.700785,-0.092483,-0.020518,-0.023269,0.542132,985,0.068314,3.552333,0.003552,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,dev_ex_2020,0.9049,0.0146
dev_ex_2022,0.067317,0.075468,0.89199,1.076754,0.580032,-0.116057,-0.019906,-0.025495,0.545073,954,0.069465,3.612155,0.003612,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,dev_ex_2022,0.8774,0.0146
pre_2010,0.065022,0.060749,1.070336,1.252735,0.776435,-0.083744,-0.011799,-0.01958,0.415385,260,0.054853,2.85236,0.002852,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,pre_2010,1.0678,0.0025
decade_2010s,0.061853,0.073972,0.836164,1.026146,0.668804,-0.092483,-0.026042,-0.025801,0.595785,522,0.074735,3.886244,0.003886,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,decade_2010s,0.8202,0.016
2x_cost_sensitivity,0.070045,0.076051,0.921028,1.14617,0.603241,-0.116115,-0.020712,-0.025206,0.551351,1110,0.069788,3.62895,0.003629,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,2x_cost_sensitivity,0.9542,-0.0332
alt_intensity_0.050,0.072732,0.075679,0.961054,1.194093,0.62669,-0.116057,-0.0198,-0.025041,0.554955,1110,0.069285,3.60282,0.003603,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,alt_intensity_0.050,0.9542,0.0069
alt_intensity_0.150,0.074531,0.076384,0.975745,1.21614,0.64219,-0.116057,-0.019832,-0.025169,0.554955,1110,0.070116,3.646041,0.003646,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,alt_intensity_0.150,0.9542,0.0215
alt_activate_1wk,0.07378,0.076363,0.966174,1.20383,0.635722,-0.116057,-0.019955,-0.02523,0.554955,1110,0.070186,3.649676,0.00365,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,alt_activate_1wk,0.9542,0.012
alt_activate_3wk,0.072535,0.075889,0.955803,1.18821,0.624991,-0.116057,-0.019824,-0.025113,0.554054,1110,0.069231,3.600001,0.0036,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,alt_activate_3wk,0.9542,0.0016
full_period,0.073529,0.076157,0.965488,1.199827,0.633556,-0.116057,-0.019845,-0.025192,0.554955,1110,0.069655,3.622042,0.003622,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,full_period,0.9542,0.0113
holdout,0.174322,0.086262,2.020839,2.806283,2.263969,-0.076998,-0.0088,-0.024368,0.663462,104,0.08334,4.333684,0.004334,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,holdout,2.0479,-0.0271
dev,0.063109,0.074934,0.842188,1.030825,0.543773,-0.116057,-0.020923,-0.025099,0.543738,1006,0.06824,3.548472,0.003548,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,dev,0.8309,0.0113
dev_ex_2020,0.064691,0.07061,0.916181,1.180244,0.69949,-0.092483,-0.020546,-0.023358,0.542132,985,0.068214,3.547109,0.003547,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,dev_ex_2020,0.9049,0.0113
dev_ex_2022,0.067193,0.075586,0.888963,1.071029,0.578966,-0.116057,-0.019935,-0.025587,0.545073,954,0.069361,3.606761,0.003607,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,dev_ex_2022,0.8774,0.0116
pre_2010,0.065022,0.060749,1.070336,1.252735,0.776435,-0.083744,-0.011799,-0.01958,0.415385,260,0.054853,2.85236,0.002852,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,pre_2010,1.0678,0.0025
