label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_weekly_turnover,ann_turnover,ann_cost_drag,variant,signal,modifier,intensity,n_dev_active,n_episodes,sharpe_delta_vs_baseline,return_delta_vs_baseline,dd_delta_vs_baseline,avg_ep_len
BASELINE,0.07179,0.075235,0.954218,1.183416,0.618697,-0.116035,-0.019733,-0.024948,0.554955,1110,0.067388,3.504166,0.003504,BASELINE,none,none,0.0,0,0,0.0,0.0,0.0,
D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,0.073529,0.076157,0.965488,1.199827,0.633556,-0.116057,-0.019845,-0.025192,0.554955,1110,0.069655,3.622042,0.003622,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,D_nm_slow_fc,offense_budget,0.1,63,15,0.01127,0.001739,-2.2e-05,8.33
E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int10pct,0.073271,0.075884,0.965555,1.201222,0.631332,-0.116057,-0.01981,-0.025062,0.554955,1110,0.069832,3.631283,0.003631,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int10pct,E_nm_slow_credit_fc,offense_budget,0.1,44,13,0.011337,0.001481,-2.2e-05,6.0
D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,0.073674,0.076054,0.968703,1.205689,0.634808,-0.116057,-0.019821,-0.025113,0.554955,1110,0.069788,3.62895,0.003629,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int10pct,D_nm_slow_fc,offense_budget,0.1,55,16,0.014485,0.001884,-2.2e-05,7.06
D_nm_slow_fc|act2_deact2_hold4|offense_budget|int5pct,0.072654,0.075731,0.959374,1.191166,0.626019,-0.116057,-0.019812,-0.025081,0.554955,1110,0.069202,3.598497,0.003598,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int5pct,D_nm_slow_fc,offense_budget,0.05,63,15,0.005156,0.000864,-2.2e-05,8.33
D_nm_slow_fc|act2_deact2_hold4|offense_budget|int7pct,0.073062,0.075956,0.9619,1.194904,0.629538,-0.116057,-0.019833,-0.025142,0.554955,1110,0.069469,3.6124,0.003612,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int7pct,D_nm_slow_fc,offense_budget,0.075,63,15,0.007682,0.001272,-2.2e-05,8.33
D_nm_slow_fc|act2_deact2_hold2|offense_budget|int5pct,0.072732,0.075679,0.961054,1.194093,0.62669,-0.116057,-0.0198,-0.025041,0.554955,1110,0.069285,3.60282,0.003603,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int5pct,D_nm_slow_fc,offense_budget,0.05,55,16,0.006836,0.000942,-2.2e-05,7.06
E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int7pct,0.072842,0.075734,0.961818,1.195793,0.627642,-0.116057,-0.019804,-0.025034,0.554955,1110,0.069604,3.619389,0.003619,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int7pct,E_nm_slow_credit_fc,offense_budget,0.075,44,13,0.0076,0.001052,-2.2e-05,6.0
E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int5pct,0.072493,0.075572,0.959257,1.191594,0.624628,-0.116057,-0.01979,-0.025006,0.554955,1110,0.069308,3.603993,0.003604,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int5pct,E_nm_slow_credit_fc,offense_budget,0.05,44,13,0.005039,0.000703,-2.2e-05,6.0
D_nm_slow_fc|act2_deact2_hold2|offense_budget|int7pct,0.073172,0.075879,0.964316,1.19924,0.63048,-0.116057,-0.019816,-0.025082,0.554955,1110,0.069586,3.618496,0.003618,D_nm_slow_fc|act2_deact2_hold2|offense_budget|int7pct,D_nm_slow_fc,offense_budget,0.075,55,16,0.010098,0.001382,-2.2e-05,7.06
D_nm_slow_fc|act2_deact2_hold4|offense_budget|int2pct,0.072186,0.075488,0.95627,1.186644,0.62199,-0.116057,-0.019789,-0.025016,0.554955,1110,0.069005,3.588257,0.003588,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int2pct,D_nm_slow_fc,offense_budget,0.025,63,15,0.002052,0.000396,-2.2e-05,8.33
