base_variant,ann_return_1x_cost,ann_return_2x_cost,ann_return_3x_cost,delta_2x_vs_1x,delta_3x_vs_1x,sharpe_1x_cost,sharpe_2x_cost,sharpe_3x_cost
production_current,0.06892339744592735,0.06580993949989455,0.06270481966556485,-0.003113457946032794,-0.0062185777803625,0.8844162860138846,0.8445908463915531,0.8047908696656647
lower_penalty_50,0.05811253472408384,0.05517552985562735,0.0522460864229386,-0.0029370048684564942,-0.005866448301145244,0.7340102816840726,0.6969643619403575,0.6599649688333367
lower_penalty_75,0.059097017882598024,0.05607277431928215,0.05305650846410881,-0.003024243563315876,-0.006040509418489215,0.750765608158318,0.7124103479655266,0.674098486556001
turnover_cap_2x,0.058765052451532185,0.055770421905544154,0.05278362727446284,-0.0029946305459880307,-0.005981425177069344,0.745154392225577,0.7072412206214386,0.6693727001337139
no_penalty_no_cap,0.060116105377794105,0.05698776118778892,0.05386790558551002,-0.0031283441900051834,-0.0062481997922840815,0.7675877610822306,0.7277253632779193,0.6879020040582604
