variant,label,market_state,n_weeks,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,avg_turnover,cost_drag,avg_BIL_cash,avg_SPY,avg_offensive_exposure,avg_defensive_exposure,delta_ann_return_vs_production,delta_sharpe_vs_production,delta_max_drawdown_vs_production,delta_cvar_5_vs_production,delta_avg_turnover_vs_production
production_current,Current production turnover setting,calm_trend,295,0.03558351868547227,0.09259919250188255,0.3842746110852841,-0.16468334175541033,0.21607236230560187,-0.031200121149341665,0.06221673587774529,0.0032352702656422198,0.06848068479538141,0.09618626161545958,0.7802874769786681,0.15123183822595013,0.0,0.0,0.0,0.0,0.0
production_current,Current production turnover setting,neutral_mixed,493,0.11043252730450281,0.07552528138271734,1.4621928615518325,-0.08966981616920844,1.2315462663168038,-0.023941949335295348,0.051695143394426775,0.002682694824752083,0.2832187232202695,0.07757715690998092,0.5467301305585106,0.17005114622121956,0.0,0.0,0.0,0.0,0.0
production_current,Current production turnover setting,recovery_confirmed,44,0.026147257209693242,0.06797205185156094,0.38467659129658577,-0.049659472655325,0.5265311090026137,-0.020330486395663264,0.05768650516719116,0.0029996982686932598,0.12567720750750142,0.05956006771272777,0.5818031228389987,0.29251966965349946,0.0,0.0,0.0,0.0,0.0
production_current,Current production turnover setting,recovery_fragile,49,0.06973508185847388,0.052956380045192736,1.3168400445604906,-0.03088452173353262,2.2579297960362967,-0.014782139062603802,0.09516440829708403,0.00494854923144789,0.21821790033286736,0.06231161074691929,0.5619989634857996,0.21978313618133272,0.0,0.0,0.0,0.0,0.0
production_current,Current production turnover setting,stressed_panic,229,0.03369319983341135,0.0678304263539729,0.49672693574979865,-0.12080985474854333,0.2788944652200867,-0.020652243634167195,0.04964628057966474,0.002581606590142281,0.6074136983844914,0.02753955388016152,0.2621469133461832,0.130439388269325,0.0,0.0,0.0,0.0,0.0
lower_penalty_50,50% lower turnover penalty,calm_trend,295,0.02506010174585316,0.09342916619114014,0.2682256812030674,-0.1818843314499644,0.13778043191558303,-0.03238921075040901,0.061131414770522106,0.0031788335680671487,0.07275197541598445,0.09550101019408261,0.7769027464622971,0.15034527812171838,-0.010523416939619112,-0.11604892988221671,-0.01720098969455408,-0.0011890896010673425,-0.001085321107223182
lower_penalty_50,50% lower turnover penalty,neutral_mixed,493,0.10056331013623199,0.07580543647032477,1.3265976006298583,-0.09256340449899103,1.0864262251430927,-0.02499461947127299,0.04936719736693063,0.0025618871753256664,0.2931354508340268,0.07694542443767789,0.5409370819012336,0.16592746726473953,-0.009869217168270827,-0.13559526092197416,-0.0028935883297825926,-0.001052670135977641,-0.0023279460274961417
lower_penalty_50,50% lower turnover penalty,recovery_confirmed,44,0.018644220353060348,0.0667145278536634,0.27946267406637376,-0.05208301244632485,0.3579712362504858,-0.020411512350936592,0.055093400958958226,0.0028648568498658286,0.15638209944479634,0.05751640216866798,0.5603558421425789,0.2832620584126248,-0.007503036856632894,-0.105213917230212,-0.0024235397909998513,-8.102595527332765e-05,-0.0025931042082329367
lower_penalty_50,50% lower turnover penalty,recovery_fragile,49,0.059261772404809676,0.050561596330169746,1.1720708345090085,-0.0324139585899329,1.82827938896717,-0.014634607583333048,0.08158887695875869,0.004242621601855451,0.255288330276906,0.060617308490764035,0.5366897997711592,0.20802186995193492,-0.010473309453664204,-0.14476921005148213,-0.0015294368564002792,0.00014753147927075438,-0.013575531338325342
lower_penalty_50,50% lower turnover penalty,stressed_panic,229,0.01995394367805936,0.07304297924891359,0.2731808571233237,-0.1410352331109055,0.14148197750251693,-0.023876464392463586,0.046533851544469776,0.0024197602803124286,0.5801502141796843,0.030808339417588648,0.28279212005403065,0.1370576657662851,-0.013739256155351987,-0.22354607862647496,-0.020225378362362156,-0.003224220758296391,-0.003112429035194965
lower_penalty_75,75% lower turnover penalty,calm_trend,295,0.025547070568895602,0.09345287047643248,0.2733684951425673,-0.18078977804885743,0.14130815826319368,-0.03231035017600391,0.06172414431640275,0.003209655504452943,0.07005895924081318,0.09591676201582669,0.7791201373952444,0.15082090336394235,-0.010036448116576668,-0.11090611594271682,-0.0161064362934471,-0.0011102290266622426,-0.0004925915613425355
lower_penalty_75,75% lower turnover penalty,neutral_mixed,493,0.10116026307512138,0.0757602590851325,1.335268177494571,-0.09232170022000374,1.0957365693445336,-0.02478261291418617,0.05117271245537668,0.002655583520199507,0.2880278514870654,0.07700935950983034,0.5437282951556189,0.16824385335731568,-0.009272264229381433,-0.12692468405726154,-0.0026518840507953056,-0.0008406635788908226,-0.000522430939050092
lower_penalty_75,75% lower turnover penalty,recovery_confirmed,44,0.018930628200146016,0.06773791116296504,0.27946873287253254,-0.052943512456409825,0.3575627555072444,-0.02070357820325978,0.05545486433542337,0.002883652945442016,0.1370792961976789,0.05877435722781197,0.5737098411700012,0.28921086263231993,-0.007216629009547226,-0.10520785842405322,-0.003284039801084826,-0.00037309180759651644,-0.0022316408317677935
