causal_training,cutoff,shocked_future_date,stage,maximum_prefix_weight_difference
False,2023-12-29,2024-01-05,raw_hrp_sleeve_weights,0.09266578566840816
False,2023-12-29,2024-01-05,final_etf_weights,0.01853315713368163
False,2024-12-27,2025-01-03,raw_hrp_sleeve_weights,0.23800550722976838
False,2024-12-27,2025-01-03,final_etf_weights,0.04340164778518418
False,2025-12-26,2026-01-02,raw_hrp_sleeve_weights,0.0874611423123911
False,2025-12-26,2026-01-02,final_etf_weights,0.0046053750644562685
True,2023-12-29,2024-01-05,raw_hrp_sleeve_weights,0.0
True,2023-12-29,2024-01-05,final_etf_weights,0.0
True,2024-12-27,2025-01-03,raw_hrp_sleeve_weights,0.0
True,2024-12-27,2025-01-03,final_etf_weights,0.0
True,2025-12-26,2026-01-02,raw_hrp_sleeve_weights,0.0
True,2025-12-26,2026-01-02,final_etf_weights,0.0
