Date,active_sleeves,train_observations,market_state,reallocation_speed,regime_multiplier,target_vol_multiplier,predicted_ann_vol,cash_weight
2006-06-30,5,78,neutral_mixed,0.4,0.8,1.0,0.07987621525303909,0.19999999999999996
2006-07-28,6,82,neutral_mixed,0.4,0.8,1.0,0.06853283611530636,0.19999999999999996
2006-08-25,6,86,neutral_mixed,0.4,0.8,1.0,0.06207720572322676,0.19999999999999984
2006-09-29,6,91,neutral_mixed,0.4,0.8,1.0,0.05900495564340645,0.20000000000000007
2006-10-27,6,95,neutral_mixed,0.4,0.94,1.0,0.062144138907670454,0.049444199491091245
2006-11-24,6,99,calm_trend,0.8,1.0,1.0,0.057698062001023905,0.0
2006-12-29,6,104,calm_trend,0.8,1.0,1.0,0.058735515914494524,0.0
2007-01-26,6,108,calm_trend,0.8,1.0,1.0,0.06073735745921267,0.0
2007-02-23,6,112,calm_trend,0.8,1.0,1.0,0.06741322495181175,0.0
2007-03-30,6,117,neutral_mixed,0.4,0.94,1.0,0.07110947045130055,0.049816396790909656
2007-04-27,6,121,neutral_mixed,0.4,0.94,1.0,0.07175187075378969,0.05001729811903011
2007-05-25,6,125,neutral_mixed,0.4,0.94,1.0,0.07322468738227207,0.050336434512717965
2007-06-29,6,130,neutral_mixed,0.4,0.94,1.0,0.07482596028713703,0.050558429467762345
2007-07-27,6,134,neutral_mixed,0.4,0.8,1.0,0.07640947005155815,0.19999999999999996
2007-08-31,6,139,stressed_panic,0.4,0.4,1.0,0.07588166382878919,0.6
2007-09-28,6,143,recovery_fragile,0.6,0.96,1.0,0.0779296970242805,0.03242617146064575
2007-10-26,6,147,stressed_panic,0.4,0.4,1.0,0.07580915967047372,0.6
2007-11-30,6,152,stressed_panic,0.4,0.4,1.0,0.07443529560374498,0.6
2007-12-28,6,156,neutral_mixed,0.4,0.8,1.0,0.0742697970094615,0.19999999999999984
2008-01-25,6,156,stressed_panic,0.4,0.4,1.0,0.07459790810258807,0.6
2008-02-29,6,156,stressed_panic,0.4,0.4,1.0,0.0762126448298269,0.6
2008-03-28,6,156,stressed_panic,0.4,0.4,1.0,0.07637038098275487,0.6
2008-04-25,6,156,stressed_panic,0.4,0.4,1.0,0.07662236341234754,0.6000000000000001
2008-05-30,6,156,neutral_mixed,0.4,0.8,1.0,0.07765975983939734,0.19999999999999996
2008-06-27,6,156,neutral_mixed,0.4,0.8,1.0,0.07929473615260627,0.20000000000000007
2008-07-25,6,156,stressed_panic,0.4,0.8,1.0,0.08042768127377012,0.19999999999999996
2008-08-29,6,156,neutral_mixed,0.4,0.8,1.0,0.0822381352830202,0.20000000000000007
2008-09-26,6,156,stressed_panic,0.4,0.4,1.0,0.08417691592836775,0.6
2008-10-31,6,156,stressed_panic,0.4,0.4,1.0,0.09527447743195334,0.5999999999999999
2008-11-28,6,156,stressed_panic,0.4,0.4,1.0,0.09697893227848074,0.6
2008-12-26,6,156,stressed_panic,0.4,0.4,1.0,0.10381435993416285,0.6
2009-01-30,6,156,stressed_panic,0.4,0.4,1.0,0.10528883239007217,0.5999999999999999
2009-02-27,6,156,stressed_panic,0.4,0.4,1.0,0.10702080764540287,0.6000000000000001
2009-03-27,6,156,stressed_panic,0.4,0.4,1.0,0.10718331524563791,0.6
2009-04-24,6,156,stressed_panic,0.4,0.8,1.0,0.107096461474904,0.19999999999999996
2009-05-29,6,156,neutral_mixed,0.4,0.8,1.0,0.10627158517810487,0.19999999999999996
2009-06-26,6,156,recovery_fragile,0.6,0.96,1.0,0.10733797766700495,0.03156902872092193
2009-07-31,6,156,recovery_fragile,0.6,0.96,1.0,0.10681464552462212,0.0315953935057155
2009-08-28,6,156,neutral_mixed,0.4,0.94,1.0,0.10660703776799219,0.0503540438503034
2009-09-25,6,156,calm_trend,0.8,1.0,1.0,0.10101600334300714,0.0
2009-10-30,6,156,calm_trend,0.8,1.0,1.0,0.09956215555879662,0.0
2009-11-27,6,156,calm_trend,0.8,1.0,1.0,0.09946511503547674,0.0
2009-12-25,6,156,calm_trend,0.8,1.0,1.0,0.09878504164921538,0.0
2010-01-29,6,156,calm_trend,0.8,1.0,1.0,0.10186535189612736,0.0
2010-02-26,6,156,calm_trend,0.8,1.0,1.0,0.10327221280646079,0.0
2010-03-26,6,156,calm_trend,0.8,1.0,1.0,0.10273023627734487,0.0
2010-04-30,6,156,calm_trend,0.8,1.0,1.0,0.1062640896841112,0.0
2010-05-28,6,156,neutral_mixed,0.4,0.8,1.0,0.11003675125934852,0.19999999999999996
2010-06-25,6,156,neutral_mixed,0.4,0.8,1.0,0.11380438386155484,0.19999999999999996
2010-07-30,6,156,neutral_mixed,0.4,0.8,1.0,0.11142523846777713,0.19999999999999996
2010-08-27,6,156,neutral_mixed,0.4,0.8,1.0,0.11013821131221542,0.19999999999999996
2010-09-24,6,156,neutral_mixed,0.4,0.94,1.0,0.11333753333837052,0.051000925626484395
2010-10-29,6,156,calm_trend,0.8,1.0,1.0,0.11286619157286476,0.0
2010-11-26,6,156,neutral_mixed,0.4,0.9435708867680223,1.0,0.11685093623888945,0.047439272543729594
2010-12-31,6,156,calm_trend,0.8,1.0,1.0,0.11574873522568103,0.0
2011-01-28,6,156,neutral_mixed,0.4,0.9410939036410505,1.0,0.11705901096356953,0.04938957076594597
2011-02-25,6,156,neutral_mixed,0.4,0.9439100301918493,1.0,0.11803486193386509,0.0470045508408925
2011-03-25,6,156,neutral_mixed,0.4,0.9442083467190119,1.0,0.11835449742250052,0.04675401674340929
