implementation,cost_bps,window,start,end,weeks,cagr,arithmetic_ann_return,ann_vol,sharpe_zero_rf,max_drawdown
legacy_equivalent,10.0,full,2005-01-07,2026-04-10,1110,0.07138099253495289,0.0719045880449673,0.07624804196475432,0.9430352070969273,-0.11773854403501738
legacy_equivalent,10.0,recent_3y,2023-04-14,2026-04-10,157,0.14481482638271848,0.13863259350464568,0.08044403862221515,1.7233420385032905,-0.07254060619221014
legacy_equivalent,50.0,full,2005-01-07,2026-04-10,1110,0.0577095530765428,0.05905370195922296,0.07632910453227167,0.773672144080444,-0.11999105365814111
legacy_equivalent,50.0,recent_3y,2023-04-14,2026-04-10,157,0.1286365360700168,0.12438197354392583,0.08064411197395165,1.5423565403522785,-0.073540153432619
legacy_equivalent,100.0,full,2005-01-07,2026-04-10,1110,0.04084533708037763,0.04299009435204255,0.07662275750410179,0.5610616969735289,-0.1338261164259511
legacy_equivalent,100.0,recent_3y,2023-04-14,2026-04-10,157,0.10871108937389184,0.10656869859302599,0.08109140357930908,1.3141799733284871,-0.07478915996545377
causal_training_correction,10.0,full,2005-01-07,2026-04-10,1110,0.07079898001966267,0.0713602169261038,0.07624227897798382,0.9359664727061766,-0.11645533666874597
causal_training_correction,10.0,recent_3y,2023-04-14,2026-04-10,157,0.14507258501260978,0.13886338489887534,0.08050700769124426,1.7248608398344156,-0.07264584011748587
causal_training_correction,50.0,full,2005-01-07,2026-04-10,1110,0.05715980161663281,0.0585327458761064,0.07631986841198422,0.76693981651199,-0.11872732187122248
causal_training_correction,50.0,recent_3y,2023-04-14,2026-04-10,157,0.1288735233396061,0.12459768180414243,0.08070915646662914,1.5437861979843626,-0.07364740799161307
causal_training_correction,100.0,full,2005-01-07,2026-04-10,1110,0.04033496837843065,0.042498407063609654,0.07660861401720612,0.554747107865241,-0.13300464199396533
causal_training_correction,100.0,recent_3y,2023-04-14,2026-04-10,157,0.10892284240108774,0.10676555293572629,0.08115891527409115,1.3155123201826442,-0.07489893667139857
