market_state,component,quintile,n_observations,mean_forward_4w_return,median_component
calm_trend,breadth_quality_score,insufficient_data,295,,
calm_trend,path_clarity_r2,1,59,0.011057424903460745,0.1191846023608383
calm_trend,path_clarity_r2,2,59,0.013816793066940433,0.4690601050491935
calm_trend,path_clarity_r2,3,59,0.002822199144893917,0.7314245459285491
calm_trend,path_clarity_r2,4,59,0.003412387214635567,0.8352604913925484
calm_trend,path_clarity_r2,5,59,0.002073857388677657,0.9308863274459152
calm_trend,state_persistence_score,insufficient_data,295,,
calm_trend,credit_confirmation,insufficient_data,273,,
calm_trend,leadership_quality_score,insufficient_data,295,,
calm_trend,deployment_quality_composite,1,59,0.01098855251228923,-0.5852263390871518
calm_trend,deployment_quality_composite,2,59,0.007911570454194954,0.1544510069809748
calm_trend,deployment_quality_composite,3,59,0.011179092915546583,0.7534843663614594
calm_trend,deployment_quality_composite,4,59,0.003648830713531221,1.1123246663355542
calm_trend,deployment_quality_composite,5,59,-0.0005453848769536716,1.5783503221056914
neutral_mixed,breadth_quality_score,insufficient_data,490,,
neutral_mixed,path_clarity_r2,1,96,0.007770891121047829,0.04378792906959619
neutral_mixed,path_clarity_r2,2,95,0.014668946106911999,0.2598335494515585
neutral_mixed,path_clarity_r2,3,96,0.006966638117225966,0.5005413337977865
neutral_mixed,path_clarity_r2,4,95,0.01489989239541046,0.7161594435676111
neutral_mixed,path_clarity_r2,5,96,0.007940837864993992,0.882364030622291
neutral_mixed,state_persistence_score,insufficient_data,490,,
neutral_mixed,credit_confirmation,insufficient_data,399,,
neutral_mixed,leadership_quality_score,1,113,0.019027855692373356,0.25
neutral_mixed,leadership_quality_score,2,132,0.007777500289745579,0.625
neutral_mixed,leadership_quality_score,3,94,0.005729919205131491,0.75
neutral_mixed,leadership_quality_score,4,94,0.006198235912581099,0.875
neutral_mixed,leadership_quality_score,5,44,0.01581478382382103,1.0
neutral_mixed,deployment_quality_composite,1,99,0.014527062524103167,-1.345344996353558
neutral_mixed,deployment_quality_composite,2,98,0.012746221296451237,-0.4321881645551812
neutral_mixed,deployment_quality_composite,3,98,0.006642934734077462,0.0
neutral_mixed,deployment_quality_composite,4,98,0.01242452259643889,0.6533109773175372
neutral_mixed,deployment_quality_composite,5,98,0.003940466864103879,1.4255112820444893
recovery_confirmed,breadth_quality_score,insufficient_data,43,,
recovery_confirmed,path_clarity_r2,1,9,0.011930463731396033,0.0461321619993309
recovery_confirmed,path_clarity_r2,2,8,0.011864553134996209,0.462330852502211
recovery_confirmed,path_clarity_r2,3,9,0.0075333743793071966,0.792072176790503
recovery_confirmed,path_clarity_r2,4,8,-0.0060360325391818626,0.8861147690406935
recovery_confirmed,path_clarity_r2,5,9,0.020989702358485678,0.913708023325108
recovery_confirmed,state_persistence_score,insufficient_data,43,,
recovery_confirmed,credit_confirmation,insufficient_data,40,,
recovery_confirmed,leadership_quality_score,insufficient_data,43,,
recovery_confirmed,deployment_quality_composite,1,9,0.014155418116839489,-0.5330714490902111
recovery_confirmed,deployment_quality_composite,2,8,0.00781840189286738,0.10329488244976459
recovery_confirmed,deployment_quality_composite,3,9,0.02098895788316879,0.8026862890728313
recovery_confirmed,deployment_quality_composite,4,8,0.012557581879663535,0.9161014894346483
recovery_confirmed,deployment_quality_composite,5,9,-0.007621913910122988,1.253919596660273
recovery_fragile,breadth_quality_score,insufficient_data,49,,
recovery_fragile,path_clarity_r2,1,10,0.0006939761871429751,0.0036380686240117498
recovery_fragile,path_clarity_r2,2,10,0.014269427854623184,0.07744850626264255
recovery_fragile,path_clarity_r2,3,9,0.018638613944219593,0.2828698903374749
recovery_fragile,path_clarity_r2,4,10,0.02820788114704593,0.49464035931814165
recovery_fragile,path_clarity_r2,5,10,0.014821090918421853,0.8293256951623524
recovery_fragile,state_persistence_score,insufficient_data,49,,
recovery_fragile,credit_confirmation,insufficient_data,46,,
recovery_fragile,leadership_quality_score,1,14,0.010475251315476743,0.375
recovery_fragile,leadership_quality_score,2,9,0.015848323387900456,0.625
recovery_fragile,leadership_quality_score,3,11,0.011553048998759873,0.75
recovery_fragile,leadership_quality_score,4,7,0.026081477962971396,0.875
recovery_fragile,leadership_quality_score,5,8,0.018591121616922363,1.0
recovery_fragile,deployment_quality_composite,1,10,0.01079623049261864,-1.3715218793726685
