scope,market_state,component_1,component_2,spearman_corr,n_observations
full_period,ALL,breadth_quality_score,breadth_quality_score,1.0,1109
full_period,ALL,breadth_quality_score,path_clarity_r2,0.37735468082736434,1097
full_period,ALL,breadth_quality_score,state_persistence_score,-0.12449150451984363,1109
full_period,ALL,breadth_quality_score,credit_confirmation,0.2834103723501151,987
full_period,ALL,breadth_quality_score,leadership_quality_score,0.6392243053531609,1096
full_period,ALL,breadth_quality_score,deployment_quality_composite,0.7089909849547296,1109
full_period,ALL,path_clarity_r2,breadth_quality_score,0.37735468082736434,1097
full_period,ALL,path_clarity_r2,path_clarity_r2,1.0,1097
full_period,ALL,path_clarity_r2,state_persistence_score,-0.029166572913033192,1097
full_period,ALL,path_clarity_r2,credit_confirmation,0.10053783979745995,987
full_period,ALL,path_clarity_r2,leadership_quality_score,0.39514364345836167,1096
full_period,ALL,path_clarity_r2,deployment_quality_composite,0.6248884880408601,1097
full_period,ALL,state_persistence_score,breadth_quality_score,-0.12449150451984363,1109
full_period,ALL,state_persistence_score,path_clarity_r2,-0.029166572913033192,1097
full_period,ALL,state_persistence_score,state_persistence_score,1.0,1109
full_period,ALL,state_persistence_score,credit_confirmation,2.751288727537829e-05,987
full_period,ALL,state_persistence_score,leadership_quality_score,-0.10560233960608746,1096
full_period,ALL,state_persistence_score,deployment_quality_composite,0.2257280162224448,1109
full_period,ALL,credit_confirmation,breadth_quality_score,0.2834103723501151,987
full_period,ALL,credit_confirmation,path_clarity_r2,0.10053783979745995,987
full_period,ALL,credit_confirmation,state_persistence_score,2.751288727537829e-05,987
full_period,ALL,credit_confirmation,credit_confirmation,1.0,987
full_period,ALL,credit_confirmation,leadership_quality_score,0.20766509627806498,987
full_period,ALL,credit_confirmation,deployment_quality_composite,0.4956164435120792,987
full_period,ALL,leadership_quality_score,breadth_quality_score,0.6392243053531609,1096
full_period,ALL,leadership_quality_score,path_clarity_r2,0.39514364345836167,1096
full_period,ALL,leadership_quality_score,state_persistence_score,-0.10560233960608746,1096
full_period,ALL,leadership_quality_score,credit_confirmation,0.20766509627806498,987
full_period,ALL,leadership_quality_score,leadership_quality_score,1.0,1096
full_period,ALL,leadership_quality_score,deployment_quality_composite,0.7156869273560861,1096
full_period,ALL,deployment_quality_composite,breadth_quality_score,0.7089909849547296,1109
full_period,ALL,deployment_quality_composite,path_clarity_r2,0.6248884880408601,1097
