scope,market_state,component,spearman_ic,n_observations,mean_component,mean_forward_4w_return
full_period,ALL,breadth_quality_score,-0.05656808167230764,1105,0.5728506787330316,0.008705781859391765
full_period,ALL,path_clarity_r2,0.03450709468897339,1093,0.4961202856700413,0.008855516494313901
full_period,ALL,state_persistence_score,-0.031819613116501465,1105,0.49064856711915533,0.008705781859391765
full_period,ALL,credit_confirmation,-0.043418272381351194,983,0.014242115971515769,0.008550950709582348
full_period,ALL,leadership_quality_score,-0.05532644735925867,1092,0.594158817373103,0.008870688122205558
full_period,ALL,deployment_quality_composite,-0.049506690262855015,1106,0.03461649282322519,0.008711575114522576
calm_trend,calm_trend,breadth_quality_score,-0.10701955985257552,295,0.8169491525423729,0.006636532343721663
calm_trend,calm_trend,path_clarity_r2,-0.1502224985275833,295,0.6126318999469653,0.006636532343721663
calm_trend,calm_trend,state_persistence_score,-0.1640854284426616,295,0.4977401129943502,0.006636532343721663
calm_trend,calm_trend,credit_confirmation,-0.019738742866561465,273,0.20512820512820512,0.007046884299223479
calm_trend,calm_trend,leadership_quality_score,-0.04844219468815576,295,0.7016949152542373,0.006636532343721663
calm_trend,calm_trend,deployment_quality_composite,-0.18463480118065115,295,0.5912444821694239,0.006636532343721663
neutral_mixed,neutral_mixed,breadth_quality_score,-0.05173181140121009,490,0.5803571428571429,0.010055045563218663
neutral_mixed,neutral_mixed,path_clarity_r2,-0.025259911026404697,478,0.4819658066609236,0.010431303137310338
neutral_mixed,neutral_mixed,state_persistence_score,-0.0645982583384409,490,0.48605442176870745,0.010055045563218663
neutral_mixed,neutral_mixed,credit_confirmation,-0.07294510871270438,399,-0.015037593984962405,0.009744977207286037
neutral_mixed,neutral_mixed,leadership_quality_score,-0.10901202000818055,477,0.6272461814914645,0.010469339205026655
neutral_mixed,neutral_mixed,deployment_quality_composite,-0.10852609339669621,491,0.07626783791549922,0.010065347144625699
recovery_confirmed,recovery_confirmed,breadth_quality_score,0.04842596495973102,43,0.8837209302325582,0.009551396023005
recovery_confirmed,recovery_confirmed,path_clarity_r2,-0.020688613711869523,43,0.6086208342291107,0.009551396023005
recovery_confirmed,recovery_confirmed,state_persistence_score,0.08495424525026313,43,0.2073643410852713,0.009551396023005
recovery_confirmed,recovery_confirmed,credit_confirmation,-0.2040750812601544,40,0.35,0.009226787830627511
recovery_confirmed,recovery_confirmed,leadership_quality_score,0.014315335196672956,43,0.8197674418604651,0.009551396023005
recovery_confirmed,recovery_confirmed,deployment_quality_composite,-0.132890365448505,43,0.5116588368500935,0.009551396023005
recovery_fragile,recovery_fragile,breadth_quality_score,0.15064671121299525,49,0.7244897959183674,0.015258597685108486
recovery_fragile,recovery_fragile,path_clarity_r2,0.2671428571428571,49,0.34610176874585724,0.015258597685108486
recovery_fragile,recovery_fragile,state_persistence_score,0.3019300270140307,49,0.2091836734693877,0.015258597685108486
recovery_fragile,recovery_fragile,credit_confirmation,-0.24321436136298996,46,0.08695652173913043,0.014603105843816076
recovery_fragile,recovery_fragile,leadership_quality_score,0.18116783373453152,49,0.6811224489795918,0.015258597685108486
recovery_fragile,recovery_fragile,deployment_quality_composite,0.23030612244897955,49,-0.17964662946686202,0.015258597685108486
stressed_panic,stressed_panic,breadth_quality_score,-0.11088150464375138,228,0.14967105263157895,0.006915606454795316
stressed_panic,stressed_panic,path_clarity_r2,0.38617786989066266,228,0.3860689632836849,0.006915606454795316
stressed_panic,stressed_panic,state_persistence_score,0.09685654427174406,228,0.6052631578947368,0.006915606454795316
stressed_panic,stressed_panic,credit_confirmation,0.0061810181014981145,225,-0.24,0.006900999315927415
stressed_panic,stressed_panic,leadership_quality_score,0.031398970285104695,228,0.32456140350877194,0.006915606454795316
stressed_panic,stressed_panic,deployment_quality_composite,0.16760438888422027,228,-0.8191992751521091,0.006915606454795316
