variant,symbol,resolution,sessions,total_return,cagr,annual_volatility,sharpe_zero_rf,max_drawdown,hit_rate,mean_session_bps,traded_share
orb_momentum,SPY,5m_30min_range,60,-0.031082349843203905,-0.12420019849269315,0.0809234471395196,-1.5985762809368054,-0.038578451845859174,0.4666666666666667,-5.133424728923785,1.0
orb_long_only,SPY,5m_30min_range,60,-0.03676320245342268,-0.14556530763648923,0.0643023513802579,-2.4140538067892114,-0.03676320245342268,0.25,-6.159894291071788,0.55
orb_breakout,SPY,5m_30min_range,60,-0.013559275029669804,-0.05572569184615195,0.07787844090569039,-0.697853428286458,-0.05432490431473069,0.4666666666666667,-2.156656229192078,0.9666666666666667
orb_momentum,QQQ,5m_30min_range,60,-0.007258818321977167,-0.030134837883096233,0.13395493085394297,-0.1624751645733395,-0.0798674099793989,0.55,-0.8636646601549481,1.0
orb_long_only,QQQ,5m_30min_range,60,-0.031968225146440266,-0.1275583826233445,0.09558333260954124,-1.3800950458506658,-0.04938826263114515,0.21666666666666667,-5.234685865092232,0.4166666666666667
orb_breakout,QQQ,5m_30min_range,60,-0.060015055140701046,-0.22890520618851085,0.1287488165189258,-1.9545127053821032,-0.107317750141948,0.4666666666666667,-9.985761813061496,0.9666666666666667
orb_momentum,IWM,5m_30min_range,60,-0.10712298819553834,-0.37866632083022034,0.11001224532469801,-4.267436742037588,-0.11791371989707944,0.36666666666666664,-18.629773721137664,1.0
orb_long_only,IWM,5m_30min_range,60,-0.10587838969639829,-0.37502062592927266,0.09745943613906645,-4.770259278906964,-0.10587838969639829,0.18333333333333332,-18.448681728548507,0.6166666666666667
orb_breakout,IWM,5m_30min_range,60,-0.04447541537572486,-0.17393193142053143,0.10331011686982197,-1.7978944054411266,-0.055420096813359465,0.4666666666666667,-7.370661950227057,1.0
orb_momentum,DIA,5m_30min_range,60,-0.06907691440148422,-0.25964849866488504,0.0742962075039879,-4.007355957202604,-0.07254935674956042,0.45,-11.814736100740742,1.0
orb_long_only,DIA,5m_30min_range,60,-0.06365135088296481,-0.2413562737361561,0.05960235633439413,-4.602464119106457,-0.06365135088296481,0.21666666666666667,-10.885623271557398,0.5833333333333334
orb_breakout,DIA,5m_30min_range,60,-0.08431707576329961,-0.30923633505776427,0.07376130764249199,-4.975580801234288,-0.09925971403006395,0.38333333333333336,-14.563704213488851,1.0
