variant,cost_bps,sessions,total_return,cagr,annual_volatility,sharpe_zero_rf,max_drawdown,hit_rate,mean_session_bps,traded_share,bootstrap_mean_session_bps,bootstrap_p_value_mean_le_zero,bootstrap_ci_low_bps,bootstrap_ci_high_bps
orb_momentum,0.0,730,0.028174646139866644,0.00963769501492684,0.04415222531778952,0.23914640066982093,-0.04371799693734513,0.5219178082191781,0.4190018161235041,1.0,0.4190018161235041,0.328,-1.4468977864110113,2.5134171423110825
orb_momentum,1.0,730,-0.04301620793050154,-0.015063669436662042,0.04415233526958023,-0.3218540129693419,-0.06582723526126966,0.4917808219178082,-0.563912947955643,1.0,-0.563912947955643,0.707,-2.4308133115251653,1.5314724659239682
orb_momentum,2.0,730,-0.10928409023923613,-0.039163041590112746,0.044152471852156636,-0.8828511000199588,-0.1231349503102227,0.46164383561643835,-1.5468277120347917,1.0,-1.5468277120347917,0.928,-3.414728836639321,0.5467096221710331
orb_momentum,5.0,730,-0.28183423859094237,-0.10799358569708972,0.04415304138188784,-2.5658122512514567,-0.28696302211162494,0.39452054794520547,-4.495572004272237,1.0,-4.495572004272237,1.0,-6.359160319076731,-2.4076282773723494
orb_momentum,10.0,730,-0.4984597168029973,-0.21196786620002483,0.044154523181279055,-5.370586243408364,-0.49733551757832584,0.26986301369863014,-9.410145824667975,1.0,-9.410145824667975,1.0,-11.26619989289713,-7.32463738319576
orb_momentum__control_sign_shuffled,2.0,730,-0.15089880984190385,-0.05490293874544805,0.018209547690428127,-3.0915308254701386,-0.15566567956915223,0.40136986301369865,-2.2339435715407583,1.0,,,,
orb_momentum__control_random_sign,2.0,730,-0.14298812692398577,-0.051872617336668925,0.01785976637339991,-2.9732290133135075,-0.14458762402421177,0.40684931506849314,-2.1071895060473644,1.0,,,,
orb_momentum__loo_drop_BIL,2.0,730,-0.10916082893861978,-0.039117143433729185,0.045413439633296075,-0.8560557919486804,-0.12370977900868718,0.46301369863013697,-1.542715794856939,1.0,,,,
orb_momentum__loo_drop_DBA,2.0,730,-0.11458252080820408,-0.04113993464721721,0.04520790599139171,-0.9067511960227906,-0.12841312773242497,0.46164383561643835,-1.6266794772769968,1.0,,,,
orb_momentum__loo_drop_DIA,2.0,730,-0.10785061033252141,-0.038629521111639864,0.043567476718909585,-0.8825429150035884,-0.1224065714395205,0.4671232876712329,-1.5258003136054539,1.0,,,,
orb_momentum__loo_drop_EEM,2.0,730,-0.11116609237192765,-0.039864349853975356,0.04364777412926997,-0.9102852969289721,-0.1243477232236595,0.4589041095890411,-1.5766637711726674,1.0,,,,
orb_momentum__loo_drop_EFA,2.0,730,-0.11134151934974224,-0.039929770391632924,0.04366006921699195,-0.9115731287741106,-0.12569347500349104,0.4589041095890411,-1.5793391229614118,1.0,,,,
orb_momentum__loo_drop_EWJ,2.0,730,-0.11072750572804624,-0.03970082833335742,0.04343107293315355,-0.9111210411822053,-0.12445240214527475,0.46301369863013697,-1.5702763647029823,1.0,,,,
orb_momentum__loo_drop_GLD,2.0,730,-0.10832772423211601,-0.038807033637991095,0.04470718736294196,-0.8630763003806202,-0.12253667701797388,0.4602739726027397,-1.5311791218107602,1.0,,,,
orb_momentum__loo_drop_HYG,2.0,730,-0.11184150028629336,-0.04011627057144729,0.044980659509221636,-0.8878407689969927,-0.12632210592956306,0.46164383561643835,-1.5847485447880645,1.0,,,,
orb_momentum__loo_drop_IAU,2.0,730,-0.10883362789996087,-0.03899532548643825,0.04461427157552647,-0.8693564572331094,-0.12271156555214957,0.46301369863013697,-1.5391152809101392,1.0,,,,
orb_momentum__loo_drop_IEF,2.0,730,-0.10804951209803348,-0.038703515915073705,0.04528785538370704,-0.8490557702761834,-0.12167021239994902,0.4643835616438356,-1.5258696403559435,1.0,,,,
orb_momentum__loo_drop_IWM,2.0,730,-0.11063604162159313,-0.03966673374529306,0.04307869500680404,-0.9180985918829638,-0.12315008708965325,0.4671232876712329,-1.569463858170732,1.0,,,,
orb_momentum__loo_drop_LQD,2.0,730,-0.11041705006256808,-0.03958511075603399,0.044970899154585305,-0.8757453190769792,-0.12380451443075025,0.46164383561643835,-1.5628196202107523,1.0,,,,
