candidate,family,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,stress_recent_cagr,endpoint_outperformance_share,rolling26_outperformance_share,rolling26_windows,positive_nonoverlapping_blocks,beating_nonoverlapping_blocks,minimum_delay_recent_cagr,minimum_raw_bootstrap_probability,bonferroni_adjusted_probability,average_exposure,maximum_exposure,annual_outer_turnover,all_candidate_gates
fixed_135,fixed,1.8576846897816108,3.0460909087628,-0.11821957312028941,0.5621893295701565,1.534891836622812,1.0,0.7607361963190185,163,3,3,1.8576846897816108,0.999,0.989,1.3494680851063827,1.35,0.0968085106382979,True
fixed_125,fixed,1.6688976722519686,3.0590722821836063,-0.1093767368190266,0.5244971904402513,1.3955373326488671,1.0,0.7607361963190185,163,3,3,1.6688976722519686,0.999,0.989,1.25,1.25,0.06914893617021277,True
fixed_115,fixed,1.4906447942019243,3.074311285764551,-0.10049220691447869,0.4854385229129803,1.262088584916809,1.0,0.7607361963190185,163,3,3,1.4906447942019243,0.999,0.989,1.1500000000000001,1.15,0.041489361702127636,False
vol30,inverse_volatility,1.4026743213983335,2.965024784210955,-0.12146554294570622,0.421207934448814,1.11815545228025,1.0,0.6073619631901841,163,3,2,1.4171751497015097,0.954,0.49399999999999955,1.3027361296234437,1.5,1.482831148352429,False
trend_vol30,trend_inverse_volatility,1.4026743213983335,2.965024784210955,-0.12146554294570622,0.4206394092128247,1.11815545228025,1.0,0.5398773006134969,163,3,1,1.4171751497015097,0.954,0.49399999999999955,1.2386776294805284,1.5,2.177441426079977,False
unscaled_control,fixed,1.242041493092192,3.102884417478825,-0.087087583753373,0.42735783406919925,1.0726891496158184,0.0,0.0,163,3,0,1.242041493092192,0.0,1.0,1.0,1.0,0.0,False
trend_drawdown_vol30,trend_drawdown_inverse_volatility,1.1490931998529907,2.866627924430353,-0.1027914121697826,0.3473482973590756,0.7023600097317111,0.0,0.25766871165644173,163,3,0,1.0980889432883503,0.1168,0.0,0.9434521870047891,1.5,3.5344629881362946,False
vol25,inverse_volatility,1.14296779107379,2.9091677098380835,-0.11966301468336726,0.34885413484293304,0.9049522761275683,0.0,0.44785276073619634,163,2,1,1.1792720137514632,0.0974,0.0,1.2094663940396027,1.5,2.119825924860838,False
trend_vol25,trend_inverse_volatility,1.14296779107379,2.9091677098380835,-0.11966301468336726,0.3565983803340631,0.9049522761275683,0.0,0.3312883435582822,163,3,0,1.1792720137514632,0.0974,0.0,1.1572008052560356,1.5,2.467465200965046,False
crash_guard_vol25,crash_guard_inverse_volatility,1.0706607470393457,2.836691001526071,-0.11966301468336726,0.31293554047869176,0.8454353305648861,0.0,0.4294478527607362,163,2,0,1.1098756065829285,0.0588,0.0,1.1783414971325874,1.5,2.8535382234341675,False
drawdown_vol25,drawdown_inverse_volatility,1.046450635445118,2.9494199518794306,-0.09687607992207714,0.32603097738963727,0.6845518765332299,0.0,0.1901840490797546,163,3,0,0.9995383337819272,0.0084,0.0,0.9132516234031572,1.5,3.2621515864044173,False
vol20,inverse_volatility,0.8816853359811245,2.870526289764857,-0.10480670898048827,0.27895924296760044,0.6871389669436769,0.0,0.2331288343558282,163,2,0,0.9219592695974144,0.0046,0.0,1.0376097788246168,1.5,2.856359019671307,False
