candidate,block,start,end,candidate_cagr,control_cagr,candidate_positive,candidate_beats
unscaled_control,1,2023-08-18,2024-08-09,0.17320603468477058,0.17320603468477058,True,False
unscaled_control,2,2024-08-16,2025-08-08,0.16538782546460373,0.16538782546460373,True,False
unscaled_control,3,2025-08-15,2026-08-07,1.242041493092192,1.242041493092192,True,False
fixed_115,1,2023-08-18,2024-08-09,0.18766659769127036,0.17320603468477058,True,True
fixed_115,2,2024-08-16,2025-08-08,0.17611044446921786,0.16538782546460373,True,True
fixed_115,3,2025-08-15,2026-08-07,1.4906447942019243,1.242041493092192,True,True
fixed_125,1,2023-08-18,2024-08-09,0.1969325128257584,0.17320603468477058,True,True
fixed_125,2,2024-08-16,2025-08-08,0.18246025626175233,0.16538782546460373,True,True
fixed_125,3,2025-08-15,2026-08-07,1.6688976722519686,1.242041493092192,True,True
fixed_135,1,2023-08-18,2024-08-09,0.20588853842088684,0.17320603468477058,True,True
fixed_135,2,2024-08-16,2025-08-08,0.18815030625523255,0.16538782546460373,True,True
fixed_135,3,2025-08-15,2026-08-07,1.8576846897816108,1.242041493092192,True,True
vol20,1,2023-08-18,2024-08-09,0.11412482772751265,0.17320603468477058,True,False
vol20,2,2024-08-16,2025-08-08,-0.03303996106609053,0.16538782546460373,False,False
vol20,3,2025-08-15,2026-08-07,0.8816853359811245,1.242041493092192,True,False
vol25,1,2023-08-18,2024-08-09,0.17452904941755265,0.17320603468477058,True,True
vol25,2,2024-08-16,2025-08-08,-0.02647790249219406,0.16538782546460373,False,False
vol25,3,2025-08-15,2026-08-07,1.14296779107379,1.242041493092192,True,False
vol30,1,2023-08-18,2024-08-09,0.21766741617125152,0.17320603468477058,True,True
vol30,2,2024-08-16,2025-08-08,0.015241173241298922,0.16538782546460373,True,False
vol30,3,2025-08-15,2026-08-07,1.4026743213983335,1.242041493092192,True,True
trend_vol25,1,2023-08-18,2024-08-09,0.10692780312825279,0.17320603468477058,True,False
trend_vol25,2,2024-08-16,2025-08-08,0.054579282430096354,0.16538782546460373,True,False
trend_vol25,3,2025-08-15,2026-08-07,1.14296779107379,1.242041493092192,True,False
trend_vol30,1,2023-08-18,2024-08-09,0.11938832048546577,0.17320603468477058,True,False
trend_vol30,2,2024-08-16,2025-08-08,0.10278006595094769,0.16538782546460373,True,False
trend_vol30,3,2025-08-15,2026-08-07,1.4026743213983335,1.242041493092192,True,True
crash_guard_vol25,1,2023-08-18,2024-08-09,0.15306621525256392,0.17320603468477058,True,False
crash_guard_vol25,2,2024-08-16,2025-08-08,-0.0691408095055186,0.16538782546460373,False,False
crash_guard_vol25,3,2025-08-15,2026-08-07,1.0706607470393457,1.242041493092192,True,False
drawdown_vol25,1,2023-08-18,2024-08-09,0.02318380685223498,0.17320603468477058,True,False
drawdown_vol25,2,2024-08-16,2025-08-08,0.09399778498806755,0.16538782546460373,True,False
drawdown_vol25,3,2025-08-15,2026-08-07,1.046450635445118,1.242041493092192,True,False
trend_drawdown_vol30,1,2023-08-18,2024-08-09,0.031724204401722744,0.17320603468477058,True,False
trend_drawdown_vol30,2,2024-08-16,2025-08-08,0.09444366342462707,0.16538782546460373,True,False
trend_drawdown_vol30,3,2025-08-15,2026-08-07,1.1490931998529907,1.242041493092192,True,False
