Date,source_return,desired_exposure,exposure,outer_turnover,financing_cost,outer_cost,net_return,wealth,drawdown
2023-01-06,0.0398810316109126,1.0,1.0,0.0,0.0,0.0,0.0398810316109126,1.0398810316109126,0.0
2023-01-13,0.0053489702783335,1.0,1.0,0.0,0.0,0.0,0.0053489702783335,1.0454433243420023,0.0
2023-01-20,0.0255903554144734,1.0,1.0,0.0,0.0,0.0,0.0255903554144734,1.0721965905776027,0.0
2023-01-27,0.0200652585431007,1.0,1.0,0.0,0.0,0.0,0.0200652585431007,1.0937104923765735,0.0
2023-02-03,-0.0098754760923926,1.0,1.0,0.0,0.0,0.0,-0.0098754760923926,1.0829095805571096,-0.009875476092392699
2023-02-10,-0.0030374722256475,1.0,1.0,0.0,0.0,0.0,-0.0030374722256475,1.0796202727832798,-0.012882951833694478
2023-02-17,-0.0244495205442011,1.0,1.0,0.0,0.0,0.0,-0.0244495205442011,1.053224074743929,-0.03701749038236779
2023-02-24,0.0272139430764819,1.0,1.0,0.0,0.0,0.0,0.0272139430764819,1.0818864547607907,-0.010810939181985724
2023-03-03,-0.0366762271444246,1.0,1.0,0.0,0.0,0.0,-0.0366762271444246,1.0422069414015076,-0.04709066186532729
2023-03-10,0.0205959411841947,1.0,1.0,0.0,0.0,0.0,0.0205959411841947,1.0636721742683726,-0.027464597183235684
2023-03-17,0.0211607904735846,1.0,1.0,0.0,0.0,0.0,0.0211607904735846,1.0861803182806478,-0.0068849792960868905
2023-03-24,0.0391555995673036,1.0,1.0,0.0,0.0,0.0,0.0391555995673036,1.1287103598811312,0.0
2023-03-31,-0.0166608236939949,1.0,1.0,0.0,0.0,0.0,-0.0166608236939949,1.1099051155735662,-0.01666082369399491
2023-04-07,-0.0002409999982516,1.128587633504385,1.128587633504385,0.12858763350438496,0.0001483703463512134,0.00032146908376096237,-0.0007418290478135099,1.1090817557185169,-0.01739029325883168
2023-04-14,-0.0060097158592011,1.220034637794998,1.220034637794998,0.09144700429061303,0.00025388612053269,0.00022861751072653257,-0.00781456514279049,1.1004147640897741,-0.02506896082209875
2023-04-21,0.0100608036287683,1.2087106770809977,1.2087106770809977,0.011323960714000325,0.00024082001201653576,2.8309901785000812e-05,0.011891470852305953,1.1135003141823947,-0.013475596786706512
2023-04-28,0.0012671563402333,1.2527504899520596,1.2527504899520596,0.044039812871061956,0.00029163518071391496,0.0001100995321776549,0.0011856960131815556,1.1148205870655972,-0.01230587873491018
