candidate,family,lookbacks,lookback_count,vote_threshold,allocation_mode,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,delay1_recent_cagr,delay2_recent_cagr,worst_current_delay_recent_cagr,peak_total_stock_weight,annual_one_way_turnover,active_share,selection_gates
short3__votes2__proportional,short3,8|11|13,3,2,proportional,1.056241505223689,2.663895319398825,-0.11202451621245046,0.40627230042006457,0.9179737871410039,1.021215815738405,1.0437374932111525,1.021215815738405,0.07378789503220702,3.1347517730496457,0.2553191489361702,False
short3__votes2__confidence_blend,short3,8|11|13,3,2,confidence_blend,1.0929182767090007,2.737545020096095,-0.09942106186160826,0.414664601802607,0.959864174384053,1.0185609270654141,1.0675831153519284,1.0185609270654141,0.07378789503220702,3.0333333333333337,0.2553191489361702,False
long4__votes1__binary,long4,11|13|16|20,4,1,binary,1.129334880951899,2.80632772223725,-0.09130115412557316,0.3751697736312418,1.0000080831418976,1.0157224126704945,1.0913590251045466,1.0157224126704945,0.07378789503220702,4.370212765957446,0.3829787234042553,False
single11_control__votes1__binary,single11_control,11,1,1,binary,1.1293348809519004,2.8063277222372536,-0.09130115412557338,0.4200790331177189,1.0000080831418994,1.0157224126704927,1.0913590251045484,1.0157224126704927,0.07378789503220702,4.093617021276595,0.2712765957446808,False
single11_control__votes1__proportional,single11_control,11,1,1,proportional,1.1293348809519004,2.8063277222372536,-0.09130115412557338,0.4200790331177189,1.0000080831418994,1.0157224126704927,1.0913590251045484,1.0157224126704927,0.07378789503220702,4.093617021276595,0.2712765957446808,False
single11_control__votes1__confidence_blend,single11_control,11,1,1,confidence_blend,1.1293348809519004,2.8063277222372536,-0.09130115412557338,0.4200790331177189,1.0000080831418994,1.0157224126704927,1.0913590251045484,1.0157224126704927,0.07378789503220702,4.093617021276595,0.2712765957446808,False
balanced5__votes2__binary,balanced5,8|11|13|16|20,5,2,binary,1.1293348809518986,2.806327722237251,-0.09130115412557338,0.4210924532022202,1.0000080831418998,1.0157224126704927,1.0913590251045475,1.0157224126704927,0.07378789503220702,2.37872340425532,0.30319148936170215,False
short3__votes2__binary,short3,8|11|13,3,2,binary,1.129334880951899,2.8063277222372522,-0.09130115412557327,0.42285721409258303,1.0000080831418994,1.0157224126704922,1.0913590251045475,1.0157224126704922,0.07378789503220702,2.9319148936170216,0.2553191489361702,False
short3__votes1__proportional,short3,8|11|13,3,1,proportional,1.0191102429370629,2.5934671369948843,-0.11436653439343425,0.3871261870872422,0.8696536442544176,1.0280455454293458,1.0151780949806581,1.0151780949806581,0.07378789503220702,3.853900709219858,0.4095744680851064,False
short3__votes1__confidence_blend,short3,8|11|13,3,1,confidence_blend,1.0178190598508765,2.5914148421997805,-0.10416685426641903,0.3762404298869608,0.8620079796777809,1.0312428464343668,1.0098701632787366,1.0098701632787366,0.07378789503220702,4.471631205673759,0.4095744680851064,False
