cik10,covers_first_eligible_decision,first_eligible_decision,first_price_date,issuer_name_match,issuer_name_score,last_eligible_decision,last_price_date,price_file,price_rows,provider_end_date,provider_exchange,provider_name,provider_start_date,sec_company_name,status,terminal,tiingo_symbol,strict_issuer_name_score,strict_issuer_name_match,covers_last_eligible_decision,audit_status
0001651235,True,2018-04-01 00:00:00+00:00,2018-04-02,True,1.0,2022-04-01 00:00:00+00:00,2021-03-01,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/ACIA/prices.csv.gz,734,2021-03-01,NASDAQ,Acacia Communications Inc,2016-05-13,"ACACIA COMMUNICATIONS, INC.",identity_and_start_validated,True,ACIA,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001201663,True,2014-04-01 00:00:00+00:00,2014-04-01,True,1.0,2016-07-01 00:00:00+00:00,2015-07-09,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/ADNC/prices.csv.gz,321,2015-07-09,NASDAQ,Audience Inc,2012-05-11,AUDIENCE INC,identity_and_start_validated,True,ADNC,1.0,True,False,validated_early_delisting_needs_terminal_audit
0000002178,True,2013-04-01 00:00:00+00:00,2013-04-01,True,1.0,2026-01-01 00:00:00+00:00,2025-02-04,/project/data/tiingo_delisted_price_probe_cache_v1/AE/prices.csv.gz,2982,2025-02-04,NYSE MKT,Adams Resources & Energy Inc,1984-09-07,"ADAMS RESOURCES & ENERGY, INC.",identity_and_start_validated,True,AE,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001122342,True,2014-04-01 00:00:00+00:00,2014-04-01,True,1.0,2017-07-01 00:00:00+00:00,2016-06-07,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/AFOP/prices.csv.gz,551,2016-06-07,NASDAQ,Alliance Fiber Optic Products Inc,2000-11-30,ALLIANCE FIBER OPTIC PRODUCTS INC,identity_and_start_validated,True,AFOP,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001701732,True,2019-04-01 00:00:00+00:00,2019-04-01,True,1.0,2026-04-01 00:00:00+00:00,2025-03-26,/project/data/tiingo_delisted_price_probe_cache_v1/ALTR/prices.csv.gz,1506,2025-03-26,NASDAQ,Altair Engineering Inc - Class A,2017-11-01,ALTAIR ENGINEERING INC.,validated_candidate,True,ALTR,1.0,True,False,validated_early_delisting_needs_terminal_audit
0000940332,False,2012-04-01 00:00:00+00:00,2016-01-04,True,1.0,2017-04-01 00:00:00+00:00,2016-03-16,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/ANAD/prices.csv.gz,49,2016-03-16,NASDAQ,ANADIGICS Inc,2016-01-04,ANADIGICS INC,rejected_missing_start_of_eligibility,True,ANAD,1.0,True,False,rejected_missing_start_of_eligibility
0001013462,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2026-04-01 00:00:00+00:00,2026-04-10,/project/data/tiingo_delisted_price_probe_cache_v1/ANSS/prices.csv.gz,3383,2026-08-12,NASDAQ,Ansys Inc,1996-06-21,ANSYS INC,validated_candidate,True,ANSS,1.0,True,True,validated_history_through_last_decision
0001316016,True,2019-04-01 00:00:00+00:00,2019-04-01,False,0.27586206896551724,2020-10-01 00:00:00+00:00,2019-10-14,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/AQ/prices.csv.gz,137,2019-10-14,NYSE,ACQUITY GROUP LTD Foreign,2017-11-03,AQUANTIA CORP,rejected_name_mismatch_or_ticker_reuse,True,AQ,0.27586206896551724,False,False,rejected_name_mismatch_or_ticker_reuse
0001037676,False,2012-04-01 00:00:00+00:00,2016-10-05,True,1.0,2026-01-01 00:00:00+00:00,2025-01-14,/project/data/tiingo_delisted_price_probe_cache_v1/ARCH/prices.csv.gz,2081,2025-01-14,NYSE,Arch Resources Inc - Class A,2016-10-05,"ARCH RESOURCES, INC.",rejected_missing_start_of_eligibility,True,ARCH,1.0,True,False,rejected_missing_start_of_eligibility
0001173752,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2016-04-01 00:00:00+00:00,2015-05-18,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/ARUN/prices.csv.gz,786,2015-05-18,NASDAQ,Aruba Networks Inc,2007-03-27,"ARUBA NETWORKS, INC.",identity_and_start_validated,True,ARUN,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001623595,True,2016-07-01 00:00:00+00:00,2016-07-01,True,1.0,2018-01-01 00:00:00+00:00,2018-01-11,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/ATLS/prices.csv.gz,361,2021-04-27,PINK,Atlas Energy Group LLC,2006-07-25,"ATLAS ENERGY GROUP, LLC",identity_and_start_validated,True,ATLS,1.0,True,True,validated_history_through_last_decision
0001081078,False,2012-07-01 00:00:00+00:00,2016-01-04,True,1.0,2017-01-01 00:00:00+00:00,2016-04-25,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/ATNY/prices.csv.gz,73,2016-04-25,NASDAQ,API Technologies Corp,2016-01-04,API TECHNOLOGIES CORP.,rejected_missing_start_of_eligibility,True,ATNY,1.0,True,False,rejected_missing_start_of_eligibility
0000718877,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2024-10-01 00:00:00+00:00,2023-10-13,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/ATVI/prices.csv.gz,2903,2023-10-13,NASDAQ,Activision Blizzard Inc,1993-10-25,"ACTIVISION BLIZZARD, INC.",identity_and_start_validated,True,ATVI,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001023364,True,2015-04-01 00:00:00+00:00,2015-04-01,True,1.0,2019-07-01 00:00:00+00:00,2019-07-11,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/AUTO/prices.csv.gz,1077,2022-08-31,NASDAQ,AutoWeb Inc,2001-01-02,"AUTOWEB, INC.",identity_and_start_validated,True,AUTO,1.0,True,True,validated_history_through_last_decision
0001858257,True,2023-04-01 00:00:00+00:00,2023-04-03,True,1.0,2026-04-01 00:00:00+00:00,2025-10-15,/project/data/tiingo_delisted_price_probe_cache_v1/AVDX/prices.csv.gz,637,2025-10-15,NASDAQ,AvidXchange Holdings Inc,2021-10-13,"AVIDXCHANGE HOLDINGS, INC.",identity_and_start_validated,True,AVDX,1.0,True,False,validated_early_delisting_needs_terminal_audit
0000896841,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2025-01-01 00:00:00+00:00,2023-11-07,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/AVID/prices.csv.gz,2920,2023-11-07,NASDAQ,Avid Technology Inc,1993-03-12,"AVID TECHNOLOGY, INC.",identity_and_start_validated,True,AVID,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001348036,True,2020-04-01 00:00:00+00:00,2020-04-01,True,1.0,2023-10-01 00:00:00+00:00,2022-10-28,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/AVLR/prices.csv.gz,651,2022-10-28,NYSE,Avalara Inc,2018-06-15,"AVALARA, INC.",identity_and_start_validated,True,AVLR,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001418100,False,2020-01-01 00:00:00+00:00,,True,1.0,2024-10-01 00:00:00+00:00,,,0,2023-05-01,NYSE,Avaya Holdings Corp,2017-12-19,AVAYA HOLDINGS CORP.,rejected_missing_start_of_eligibility,True,AVYA,1.0,True,False,rejected_missing_start_of_eligibility
0000867665,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2022-01-01 00:00:00+00:00,2022-01-11,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/AXAS/prices.csv.gz,2462,2023-06-22,PINK,Abraxas Petroleum Corp,1991-05-08,ABRAXAS PETROLEUM CORP,identity_and_start_validated,True,AXAS,1.0,True,True,validated_history_through_last_decision
0001689923,True,2019-04-01 00:00:00+00:00,2019-04-01,True,1.0,2025-04-01 00:00:00+00:00,2024-03-18,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/AYX/prices.csv.gz,1250,2024-03-18,NYSE,Alteryx Inc - Class A,2017-03-24,"ALTERYX, INC.",identity_and_start_validated,True,AYX,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001897982,True,2023-10-01 00:00:00+00:00,2023-10-02,True,1.0,2026-04-01 00:00:00+00:00,2025-03-12,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/AZPN/prices.csv.gz,362,2025-03-12,NASDAQ,Aspen Technology Inc,1994-10-26,"ASPEN TECHNOLOGY, INC.",identity_and_start_validated,True,AZPN,1.0,True,False,validated_early_delisting_needs_terminal_audit
0000929940,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2023-07-01 00:00:00+00:00,2023-07-11,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/AZPN__0000929940/prices.csv.gz,2836,2025-03-12,NASDAQ,Aspen Technology Inc,1994-10-26,ASPEN TECHNOLOGY INC /DE/,identity_and_start_validated,True,AZPN,1.0,True,True,validated_history_through_last_decision
0001845022,True,2023-04-01 00:00:00+00:00,2023-04-03,True,1.0,2026-04-01 00:00:00+00:00,2025-09-24,/project/data/tiingo_delisted_price_probe_cache_v1/BASE/prices.csv.gz,622,2025-09-24,NASDAQ,Couchbase Inc,2021-07-22,"COUCHBASE, INC.",identity_and_start_validated,True,BASE,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001172139,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2019-04-01 00:00:00+00:00,2018-03-19,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/BBG/prices.csv.gz,1500,2018-03-19,NYSE,Bill Barrett Corp,2004-12-10,BILL BARRETT CORP,identity_and_start_validated,True,BBG,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001313275,True,2014-04-01 00:00:00+00:00,2014-04-01,True,1.0,2026-01-01 00:00:00+00:00,2025-02-04,/project/data/tiingo_delisted_price_probe_cache_v1/BCOV/prices.csv.gz,2729,2025-02-04,NASDAQ,Brightcove Inc,2012-02-17,BRIGHTCOVE INC,identity_and_start_validated,True,BCOV,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001576169,True,2015-04-01 00:00:00+00:00,2015-04-01,True,1.0,2024-01-01 00:00:00+00:00,2023-01-24,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/BNFT/prices.csv.gz,1968,2023-01-24,NASDAQ,Benefitfocus Inc,2013-09-18,"BENEFITFOCUS, INC.",identity_and_start_validated,True,BNFT,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001705873,True,2022-07-01 00:00:00+00:00,2022-07-01,True,1.0,2026-04-01 00:00:00+00:00,2025-12-18,/project/data/tiingo_delisted_price_probe_cache_v1/BRY/prices.csv.gz,871,2025-12-18,NASDAQ,Berry Corp,2018-07-18,BERRY CORP (BRY),validated_candidate,True,BRY,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001774155,True,2022-04-01 00:00:00+00:00,2022-04-01,True,1.0,2024-01-01 00:00:00+00:00,2023-01-03,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/BTRS/prices.csv.gz,181,2023-01-03,NASDAQ,BTRS Holdings Inc - Class 1,2019-08-06,BTRS HOLDINGS INC.,identity_and_start_validated,True,BTRS,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001340127,True,2013-01-01 00:00:00+00:00,2013-01-02,True,1.0,2021-01-01 00:00:00+00:00,2020-01-10,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/CARB/prices.csv.gz,1759,2020-01-10,NASDAQ,Carbonite Inc,2011-08-11,CARBONITE INC,identity_and_start_validated,True,CARB,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001449488,True,2012-07-01 00:00:00+00:00,2012-07-02,True,1.0,2025-04-01 00:00:00+00:00,2024-04-01,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/CCLP/prices.csv.gz,2955,2024-04-01,NASDAQ,CSI Compressco LP,2011-06-15,CSI COMPRESSCO LP,identity_and_start_validated,True,CCLP,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001102934,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2023-07-01 00:00:00+00:00,2022-09-08,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/CCMP/prices.csv.gz,2596,2022-09-08,NASDAQ,CMC Materials Inc,2000-04-05,"CMC MATERIALS, INC.",identity_and_start_validated,True,CCMP,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001637558,True,2018-04-01 00:00:00+00:00,2018-04-02,True,1.0,2022-01-01 00:00:00+00:00,2020-12-31,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/CCR/prices.csv.gz,695,2020-12-31,NYSE,CONSOL Coal Resources LP,2017-11-29,CONSOL COAL RESOURCES LP,identity_and_start_validated,True,CCR,1.0,True,False,validated_early_delisting_needs_terminal_audit
0000804753,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2023-07-01 00:00:00+00:00,2022-09-08,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/CERN/prices.csv.gz,2582,2022-09-08,NASDAQ,Cerner Corp,1990-03-26,CERNER CORP,identity_and_start_validated,True,CERN,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001699838,True,2023-04-01 00:00:00+00:00,2023-04-03,True,1.0,2026-04-01 00:00:00+00:00,2026-03-17,/project/data/tiingo_delisted_price_probe_cache_v1/CFLT/prices.csv.gz,741,2026-03-17,NASDAQ,Confluent Inc Class A,2021-06-24,"CONFLUENT, INC.",validated_candidate,True,CFLT,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001346980,True,2019-04-01 00:00:00+00:00,2019-04-01,True,1.0,2021-10-01 00:00:00+00:00,2020-10-14,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/CHAP/prices.csv.gz,390,2020-10-14,NYSE,Chaparral Energy Inc - Class A,2017-05-19,"CHAPARRAL ENERGY, INC.",identity_and_start_validated,True,CHAP,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001756497,True,2021-07-01 00:00:00+00:00,2021-07-01,True,1.0,2023-10-01 00:00:00+00:00,2022-10-03,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/CHNG/prices.csv.gz,317,2022-10-03,NASDAQ,Change Healthcare Inc,2019-06-27,CHANGE HEALTHCARE INC.,identity_and_start_validated,True,CHNG,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001471261,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2019-04-01 00:00:00+00:00,2017-12-14,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/CIE/prices.csv.gz,1437,2017-12-14,NYSE,Cobalt International Energy Inc,2009-12-16,"COBALT INTERNATIONAL ENERGY, INC.",identity_and_start_validated,True,CIE,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001701040,True,2017-10-01 00:00:00+00:00,2017-10-02,True,1.0,2021-01-01 00:00:00+00:00,2020-02-03,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/CISN/prices.csv.gz,588,2020-02-03,NYSE,Cision Ltd,2017-05-22,CISION LTD.,identity_and_start_validated,True,CISN,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001509589,True,2013-04-01 00:00:00+00:00,2013-04-01,True,1.0,2026-04-01 00:00:00+00:00,2026-01-29,/project/data/tiingo_delisted_price_probe_cache_v1/CIVI/prices.csv.gz,3229,2026-01-29,NYSE,Civitas Resources Inc New,2011-12-15,"CIVITAS RESOURCES, INC.",validated_candidate,True,CIVI,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001615817,False,2015-07-01 00:00:00+00:00,2017-01-12,True,1.0,2020-10-01 00:00:00+00:00,2019-10-30,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/CJ/prices.csv.gz,705,2019-10-30,NYSE,CJ Energy Services Inc,2017-01-12,"C&J ENERGY SERVICES, INC.",rejected_missing_start_of_eligibility,True,CJ,1.0,True,False,rejected_missing_start_of_eligibility
0001535379,True,2019-04-01 00:00:00+00:00,2019-04-01,True,1.0,2022-10-01 00:00:00+00:00,2021-10-11,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/CLDR/prices.csv.gz,639,2021-10-11,NYSE,Cloudera Inc,2017-04-28,"CLOUDERA, INC.",identity_and_start_validated,True,CLDR,1.0,True,False,validated_early_delisting_needs_terminal_audit
0000036047,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2022-07-01 00:00:00+00:00,2021-06-08,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/CLGX/prices.csv.gz,2311,2021-06-08,NYSE,CoreLogic Inc,1990-03-23,"CORELOGIC, INC.",identity_and_start_validated,True,CLGX,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001385867,True,2018-04-01 00:00:00+00:00,2018-04-02,True,1.0,2024-01-01 00:00:00+00:00,2023-02-28,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/COUP/prices.csv.gz,1237,2023-02-28,NASDAQ,Coupa Software Inc,2016-10-06,COUPA SOFTWARE INC,identity_and_start_validated,True,COUP,1.0,True,False,validated_early_delisting_needs_terminal_audit
0000928022,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2025-04-01 00:00:00+00:00,2024-04-11,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/CPE/prices.csv.gz,3026,2024-04-11,NYSE,Callon Petroleum Company,1990-03-26,CALLON PETROLEUM CO,identity_and_start_validated,True,CPE,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001037760,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2018-01-01 00:00:00+00:00,2016-11-08,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/CPHD/prices.csv.gz,1158,2016-11-08,NASDAQ,Cepheid,2000-06-22,CEPHEID,identity_and_start_validated,True,CPHD,1.0,True,False,validated_early_delisting_needs_terminal_audit
0000949158,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2020-10-01 00:00:00+00:00,2019-09-25,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/CRAY/prices.csv.gz,1883,2019-09-25,NASDAQ,Cray Inc,1995-09-27,CRAY INC,identity_and_start_validated,True,CRAY,1.0,True,False,validated_early_delisting_needs_terminal_audit
0001040593,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2021-01-01 00:00:00+00:00,2019-12-20,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/CRZO/prices.csv.gz,1944,2019-12-20,NASDAQ,Carrizo Oil Gas Inc,1997-08-06,CARRIZO OIL & GAS INC,identity_and_start_validated,True,CRZO,1.0,True,False,validated_early_delisting_needs_terminal_audit
0000864559,False,2015-04-01 00:00:00+00:00,2016-01-04,True,1.0,2017-07-01 00:00:00+00:00,2016-07-05,/Users/nicholasturangan/Projects/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/CSCD/prices.csv.gz,127,2016-07-05,NASDAQ,Cascade Microtech Inc,2016-01-04,CASCADE MICROTECH INC,rejected_missing_start_of_eligibility,True,CSCD,1.0,True,False,rejected_missing_start_of_eligibility
