candidate,window,days,start,end,cagr,sharpe,max_drawdown,total_return,ending_value_10000,financing_paid_on_10000,exposure_change_cost_paid_on_10000,average_exposure,maximum_exposure
cash_only_1.00x,full,899,2023-01-06,2026-08-07,10.5756460080366,3.3469202095166546,-0.14809389492575953,6224.230402261077,62252304.02261077,0.0,0.0,1.0,1.0
cash_only_1.00x,trailing_2y,504,2024-08-05,2026-08-07,7.1634993134366685,3.1500642034458406,-0.14809389492575908,65.64272104048096,666427.2104048097,0.0,0.0,1.0,1.0
cash_only_1.00x,trailing_1y,252,2025-08-07,2026-08-07,8.699429795172524,3.2367608278739577,-0.1480938949257592,8.699429795172524,96994.29795172524,0.0,0.0,1.0,1.0
fixed_1.50x,full,899,2023-01-06,2026-08-07,30.481618207734492,3.3141823945403384,-0.22549113511388408,220931.22739025924,2209322273.9025927,31100761.440435305,12.5,1.5,1.5
fixed_1.50x,trailing_2y,504,2024-08-05,2026-08-07,18.204041858166512,3.114319914907952,-0.2254911351138842,367.79522369021146,3687952.2369021145,31034199.965841956,0.0,1.5,1.5
fixed_1.50x,trailing_1y,252,2025-08-07,2026-08-07,23.429233038068,3.2029288184757445,-0.2254911351138843,23.429233038068,244292.33038067998,29474510.85746081,0.0,1.5,1.5
vol35_cap1.75x,full,899,2023-01-06,2026-08-07,6.944051561758104,3.209226428293096,-0.22073193058894336,1624.0409630305473,16250409.630305473,58397.86861091603,17305.649317718893,0.9126146383431595,1.75
vol35_cap1.75x,trailing_2y,504,2024-08-05,2026-08-07,5.206124226559249,3.0540917831041723,-0.22073193058894336,37.51597791548563,385159.7791548563,58344.12859412872,17239.211146824266,0.9126146383431595,1.75
vol35_cap1.75x,trailing_1y,252,2025-08-07,2026-08-07,7.011240498959117,3.155172554005071,-0.22073193058894325,7.011240498959117,80112.40498959116,57436.83533559405,15672.0443247517,0.9126146383431595,1.75
fixed_2.00x,full,899,2023-01-06,2026-08-07,76.84728162394465,3.297813264589415,-0.3001732382421397,5583877.569441835,55838785694.41835,1413713621.6790195,25.0,2.0,2.0
fixed_2.00x,trailing_2y,504,2024-08-05,2026-08-07,40.617789383036126,3.0964477706390077,-0.30017323824213993,1731.0403931307544,17320403.931307543,1413061806.410652,0.0,2.0,2.0
fixed_2.00x,trailing_1y,252,2025-08-07,2026-08-07,55.111375395142275,3.1860128137766384,-0.3001732382421398,55.111375395142275,561113.7539514228,1382118585.2879274,0.0,2.0,2.0
