signal_name,category,short_hypothesis,data_needed,data_source,data_access,point_in_time_risk,survivorship_bias_risk,lookahead_risk,expected_horizon,expected_best_regime,expected_bad_regime,expected_redundancy_with_current_signals,implementation_difficulty,overfitting_risk,already_tested_in_project,similar_signal_exists_in_current_repo,realistic_for_weekly_etf_allocation,priority_score,recommended_next_action,repo_mapping,validation_notes,source_refs
TSMOM 6/12-month ensemble,A. Momentum / Trend,Own past returns should predict medium-term ETF relative/absolute returns when trend persists.,"weekly_prices, weekly_returns",existing repo,free/current,low,low,low if lagged one week,4-13 weeks,"calm_trend, recovery_confirmed",stressed_panic whipsaws,high,low,medium,yes,"signal_tsmom, signal_multi_horizon_mom",yes,2,test later,data/02_layer1_signals existing; R1/R3 monitor decay,Already strong/slow; next work is decay/orthogonality not duplicate alpha mining.,AQR_TSMOM; AQR_LIBRARY
Volatility-adjusted momentum refresh,A. Momentum / Trend,Momentum scaled by realized vol may preserve trend upside while lowering crash exposure.,weekly_returns trailing vol,existing repo,free/current,low,low,low if lagged,4-13 weeks,calm_trend,stressed_panic if vol spike lags,high,low,medium,yes,tsmom_vol_scaled,yes,2,test later,extend existing Layer 1 decay/state diagnostics,Mostly exhausted; only worth testing variants if state-gated.,AQR_TSMOM; NBER_VOL
Breakout / 52-week high proximity,A. Momentum / Trend,ETF near breakout/high may indicate persistent institutional demand beyond raw momentum.,"weekly_prices, rolling highs",existing repo,free/current,low,low,low if high computed trailing only,2-8 weeks,calm_trend,neutral_mixed chop,medium-high,low,medium,no,moving_average_distance adjacent,yes,4,test now,new Layer 1 signal CSV + R2-style validation,Good immediate test because it differs from 52-4 returns but uses existing prices.,AQR_TSMOM; QUANTPEDIA
Moving-average slope acceleration,A. Momentum / Trend,Slope and acceleration of 13/26/52w MAs may catch improving trends earlier than level filters.,weekly_prices,existing repo,free/current,low,low,low if lagged,2-8 weeks,"calm_trend, recovery_confirmed",stressed_panic,medium,low,medium,partial,moving_average_distance,yes,4,test now,extend signal_moving_average_distance family,Use IC by horizon and state; reject if redundant >0.5 with moving_average_distance.,FABER_TAA
Drawdown-adjusted momentum,A. Momentum / Trend,A trend with shallow drawdowns is higher quality than the same trailing return with deep path damage.,"weekly_prices, trailing drawdown",existing repo,free/current,low,low,low if trailing windows only,4-13 weeks,calm_trend,recovery_fragile if too defensive,medium,low,low-medium,partial,contained_recovery_quality adjacent,yes,4,test now,new Layer 1 price path quality signal,"Promising because current bottleneck is signal quality, not turnover.",NBER_VOL
Rolling Sharpe / return-to-risk rank,A. Momentum / Trend,Assets with positive return per unit volatility may be better candidates than raw winners.,weekly_returns,existing repo,free/current,low,low,low if lagged,4-13 weeks,calm_trend,volatility regime shifts,medium,low,medium,partial in ML features,ml_feature_panel has rolling Sharpe,yes,3,test now,promote from ML feature panel to inspectable Layer 1 candidate,Validate as simple rank before ML.,NBER_VOL
Trend persistence / run length,A. Momentum / Trend,Consecutive positive trend weeks may identify persistent trends and avoid one-week noise.,weekly_prices/returns,existing repo,free/current,low,low,low,2-8 weeks,calm_trend,late-cycle exhaustion,medium,low,medium,no,trend_clarity_momentum adjacent,yes,3,test now,Layer 1 path-state feature,Avoid optimizing run-length thresholds blindly.,FABER_TAA
Canary asset momentum composite,A. Momentum / Trend,Risk assets should be held more aggressively only when canaries such as TIP/HYG/EEM confirm.,"TIP,HYG,EEM,SPY,TLT weekly prices",existing repo,free/current,low,low,low,1-8 weeks,"calm_trend, recovery_confirmed",false panic in neutral_mixed,medium,low,low,partial,market_state_history has canary breadth fields,yes,4,test now,Layer 1 cross-asset/global risk filter,"Use as signal family, not allocator override yet.",FABER_TAA; GITHUB_AA
RSI oversold bounce,B. Reversal / Mean Reversion,Weekly RSI extremes may capture ETF relief rallies after panic selling.,weekly_prices,existing repo,free/current,low,low,low if lagged,1-4 weeks,"recovery_fragile, neutral_mixed",stressed_panic continuation,medium,low,high,no,reversal_1w/4w adjacent,yes,3,test now,Layer 1 reversal candidate,Must be state-gated and reject if it hurts stress.,QUANTPEDIA
Panic reversal after volatility spike,B. Reversal / Mean Reversion,Large negative return plus high VIX/volume may predict short-term bounce in risky ETFs.,"weekly_returns, VIX, volume if available",existing + yfinance volume,free/current,low-medium,low,medium if same-week VIX not lagged,1-2 weeks,recovery_fragile,stressed_panic continuation,medium,medium,high,no,reversal and VIX R2 adjacent,yes,3,test now,Layer 1 state-gated reversal,Use only lagged panic conditions; high overfit risk.,CBOE_VIX
Distance-from-MA z-score reversal,B. Reversal / Mean Reversion,Extreme distance below medium-term MA may mean-revert when state is not stressed.,weekly_prices,existing repo,free/current,low,low,low,1-4 weeks,"neutral_mixed, recovery_fragile",stressed_panic,high,low,medium,partial,moving_average_distance,yes,2,test later,variant of existing MA distance,Likely redundant; only if state-gated.,FABER_TAA
State-gated 1-week reversal,B. Reversal / Mean Reversion,"Short-term losers may rebound only in calm/neutral states, not panics.",weekly_returns + market_state_history,existing repo,free/current,low,low,low,1-2 weeks,neutral_mixed,stressed_panic,medium,low,medium,yes base signal,reversal_1w_global,yes,3,test now,R3 conditional wrapper around reversal_1w,No portfolio change; first validate state-specific IC.,PURGED_CV
ETF pair spread z-score,B. Reversal / Mean Reversion,Cointegrated ETF pairs may mean-revert at weekly frequency in limited cases.,weekly_prices,existing repo,free/current,low,low,low if train-only hedge ratios,1-8 weeks,neutral_mixed,trending regimes,medium,medium,high,yes R4,signal_r4_pair_hyg_lqd,limited,1,research-only,R4 pair lab,Mostly failed; HYG/LQD research-only.,R4 local output
Liquidity shock rebound,B. Reversal / Mean Reversion,ETFs with unusually high volume and negative return may rebound if market state stabilizes.,"weekly volume, weekly returns",yfinance volume,free/current,medium,low,medium,1-4 weeks,recovery_fragile,stressed_panic,medium,medium,high,partial R2 volume failed,signal_r2_volume_divergence,yes,2,test later,volume divergence refinement,R2 volume divergence rejected; revisit only with cleaner state gating.,GITHUB_AA
