cik10,status,source,price_file,rows,first_date,last_date,split_events
0000002178,loaded,tiingo_identity_validated,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/AE/prices.csv.gz,2982.0,2013-04-01,2025-02-04,0.0
0000002488,loaded,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/AMD.csv.gz,927.0,2022-12-01,2026-08-13,0.0
0000004127,loaded,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/SWKS.csv.gz,927.0,2022-12-01,2026-08-13,0.0
0000004447,loaded,tiingo_identity_validated,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/HES/prices.csv.gz,3343.0,2012-04-02,2025-07-18,0.0
0000006281,loaded,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/ADI.csv.gz,927.0,2022-12-01,2026-08-13,0.0
0000006951,loaded,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/AMAT.csv.gz,927.0,2022-12-01,2026-08-13,0.0
0000007332,loaded,tiingo_identity_validated,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/SWN/prices.csv.gz,3145.0,2012-04-02,2024-10-01,0.0
0000008146,loaded,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/ALOT.csv.gz,927.0,2022-12-01,2026-08-13,0.0
0000008670,loaded,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/ADP.csv.gz,927.0,2022-12-01,2026-08-13,0.0
0000009092,loaded,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/BMI.csv.gz,927.0,2022-12-01,2026-08-13,0.0
0000010254,loaded,tiingo_identity_validated,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/ESTE/prices.csv.gz,1911.0,2016-04-01,2023-11-01,0.0
0000016058,loaded,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/CACI.csv.gz,927.0,2022-12-01,2026-08-13,0.0
0000021535,loaded,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/COHU.csv.gz,927.0,2022-12-01,2026-08-13,0.0
0000023111,loaded,tiingo_identity_validated,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/CTG/prices.csv.gz,2945.0,2012-04-02,2023-12-13,0.0
0000023194,loaded,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/CRK.csv.gz,927.0,2022-12-01,2026-08-13,0.0
0000023197,loaded,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/CMTL.csv.gz,927.0,2022-12-01,2026-08-13,0.0
0000026058,loaded,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/CTS.csv.gz,927.0,2022-12-01,2026-08-13,0.0
0000028823,loaded,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/DBD.csv.gz,752.0,2023-08-14,2026-08-13,0.0
