decision_at,family,breadth,cik10,company_name,sector,score,market_cap,intended_weight
2023-01-01 00:00:00+00:00,earnings_yield,30,0001760717,SCIPLAY CORP,technology,0.9660056657223797,381095999.99999994,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0001559865,"EVERTEC, INC.",technology,0.9603399433427762,2111247176.1234589,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0000945983,"CLIMB GLOBAL SOLUTIONS, INC.",technology,0.9546742209631729,35295888.791157246,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0001002047,"NETAPP, INC.",technology,0.9490084985835694,12947336117.464954,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0001705873,BERRY CORP (BRY),energy,0.9452054794520548,614140024.0,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0001047127,"AMKOR TECHNOLOGY, INC.",technology,0.9433427762039661,5874492090.779503,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0000810136,PHOTRONICS INC,technology,0.9376770538243626,1039055803.0797405,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0000056978,KULICKE & SOFFA INDUSTRIES INC,technology,0.9320113314447591,2523660313.175522,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0000103730,VISHAY INTERTECHNOLOGY INC,technology,0.9263456090651558,3082072546.394348,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0000820313,AMPHENOL CORP /DE/,technology,0.9206798866855523,11327624478.09578,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0001104485,"NORTHERN OIL & GAS, INC.",energy,0.9178082191780821,2400022012.3752823,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0000047217,HP INC,technology,0.9150141643059491,26390258362.769554,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0001596532,"ARISTA NETWORKS, INC.",technology,0.9093484419263456,9270309121.333298,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0001652535,"ICHOR HOLDINGS, LTD.",technology,0.9036827195467423,772483979.9101639,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0001616533,"SMART GLOBAL HOLDINGS, INC.",technology,0.8980169971671388,723474444.2841854,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0001387467,ALPHA & OMEGA SEMICONDUCTOR LTD,technology,0.8923512747875355,783045837.3857498,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0000928022,CALLON PETROLEUM CO,energy,0.8904109589041096,2285060043.8900003,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0000918965,"SCANSOURCE, INC.",technology,0.886685552407932,737665194.1854858,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0000866374,FLEX LTD.,technology,0.8810198300283285,7322338798.658489,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0001615063,"INSPIRED ENTERTAINMENT, INC.",technology,0.8753541076487252,327737387.96351045,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0000804328,QUALCOMM INC/DE,technology,0.8696883852691217,123242742736.81639,0.03333333333333333
2023-01-01 00:00:00+00:00,earnings_yield,30,0001596961,"RUMBLEON, INC.",technology,0.8640226628895185,103651311.75880814,0.03333333333333333
2023-01-01 00:00:00+00:00,free_cash_flow_yield,10,0000817720,SYNAPTICS INC,technology,1.0,3787.368145751953,0.1
2023-01-01 00:00:00+00:00,free_cash_flow_yield,10,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,1.0,236379970.33423197,0.1
2023-01-01 00:00:00+00:00,free_cash_flow_yield,10,0001044777,ONESPAN INC.,technology,0.9937304075235109,444500.35333156586,0.1
2023-01-01 00:00:00+00:00,free_cash_flow_yield,10,0001596961,"RUMBLEON, INC.",technology,0.9874608150470219,103651311.75880814,0.1
2023-01-01 00:00:00+00:00,free_cash_flow_yield,10,0000319201,KLA CORP,technology,0.9811912225705328,5343205957.458897,0.1
2023-01-01 00:00:00+00:00,free_cash_flow_yield,10,0001730168,BROADCOM INC.,technology,0.974921630094044,23365266993.400497,0.1
2023-01-01 00:00:00+00:00,free_cash_flow_yield,10,0001475115,"EVENTBRITE, INC.",technology,0.9686520376175549,578261219.5400001,0.1
2023-01-01 00:00:00+00:00,free_cash_flow_yield,10,0000808326,EMCORE CORP,technology,0.9623824451410659,36193206.0875,0.1
2023-01-01 00:00:00+00:00,free_cash_flow_yield,10,0001314727,SONOS INC,technology,0.9561128526645768,2140985662.1732998,0.1
2023-01-01 00:00:00+00:00,free_cash_flow_yield,10,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,energy,0.9545454545454546,116552250.0,0.1
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0000817720,SYNAPTICS INC,technology,1.0,3787.368145751953,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,1.0,236379970.33423197,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001044777,ONESPAN INC.,technology,0.9937304075235109,444500.35333156586,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001596961,"RUMBLEON, INC.",technology,0.9874608150470219,103651311.75880814,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0000319201,KLA CORP,technology,0.9811912225705328,5343205957.458897,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001730168,BROADCOM INC.,technology,0.974921630094044,23365266993.400497,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001475115,"EVENTBRITE, INC.",technology,0.9686520376175549,578261219.5400001,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0000808326,EMCORE CORP,technology,0.9623824451410659,36193206.0875,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001314727,SONOS INC,technology,0.9561128526645768,2140985662.1732998,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,energy,0.9545454545454546,116552250.0,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001719489,"KALEYRA, INC.",technology,0.9498432601880877,34003325.6703,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001810019,"RACKSPACE TECHNOLOGY, INC.",technology,0.9435736677115987,622774144.2665033,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001582982,"CARECLOUD, INC.",technology,0.9373040752351096,42768783.60909271,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001494259,"CARGURUS, INC.",technology,0.9310344827586208,1662757851.5845299,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001373715,"SERVICENOW, INC.",technology,0.9247648902821317,15717169464.111328,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001288469,MAXLINEAR INC,technology,0.9184952978056427,2667312976.0410385,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001045810,NVIDIA CORP,technology,0.9122257053291536,35950440788.26904,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0000928022,CALLON PETROLEUM CO,energy,0.9090909090909092,2285060043.8900003,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0000816761,TERADATA CORP /DE/,technology,0.9059561128526645,3426587984.4665527,0.05
2023-01-01 00:00:00+00:00,free_cash_flow_yield,20,0001803696,ADEIA INC.,technology,0.8996865203761755,995960020.8277702,0.05
