security_id,ticker,universe,effective_from,effective_to,knowledge_at_utc,source_revision,point_in_time_membership
yahoo-ticker:BIL,BIL,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:39.326477+00:00,yfinance-1.5.2:2026-09-11T21:01:39.326477+00:00,false
yahoo-ticker:DBA,DBA,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:39.760596+00:00,yfinance-1.5.2:2026-09-11T21:01:39.760596+00:00,false
yahoo-ticker:EEM,EEM,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:40.337264+00:00,yfinance-1.5.2:2026-09-11T21:01:40.337264+00:00,false
yahoo-ticker:EFA,EFA,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:40.967920+00:00,yfinance-1.5.2:2026-09-11T21:01:40.967920+00:00,false
yahoo-ticker:EWJ,EWJ,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:41.505803+00:00,yfinance-1.5.2:2026-09-11T21:01:41.505803+00:00,false
yahoo-ticker:GLD,GLD,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:42.283921+00:00,yfinance-1.5.2:2026-09-11T21:01:42.283921+00:00,false
yahoo-ticker:HYG,HYG,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:43.076803+00:00,yfinance-1.5.2:2026-09-11T21:01:43.076803+00:00,false
yahoo-ticker:IAU,IAU,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:43.497231+00:00,yfinance-1.5.2:2026-09-11T21:01:43.497231+00:00,false
yahoo-ticker:IEF,IEF,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:44.090119+00:00,yfinance-1.5.2:2026-09-11T21:01:44.090119+00:00,false
yahoo-ticker:IWM,IWM,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:44.959912+00:00,yfinance-1.5.2:2026-09-11T21:01:44.959912+00:00,false
yahoo-ticker:LQD,LQD,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:45.570407+00:00,yfinance-1.5.2:2026-09-11T21:01:45.570407+00:00,false
yahoo-ticker:MBB,MBB,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:46.193404+00:00,yfinance-1.5.2:2026-09-11T21:01:46.193404+00:00,false
yahoo-ticker:PDBC,PDBC,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:46.719031+00:00,yfinance-1.5.2:2026-09-11T21:01:46.719031+00:00,false
yahoo-ticker:QQQ,QQQ,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:47.284442+00:00,yfinance-1.5.2:2026-09-11T21:01:47.284442+00:00,false
yahoo-ticker:SHY,SHY,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:47.907358+00:00,yfinance-1.5.2:2026-09-11T21:01:47.907358+00:00,false
yahoo-ticker:SLV,SLV,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:48.348099+00:00,yfinance-1.5.2:2026-09-11T21:01:48.348099+00:00,false
yahoo-ticker:SPY,SPY,portfolio_optimizer_free_current_etfs,,,2026-09-11T21:01:49.149604+00:00,yfinance-1.5.2:2026-09-11T21:01:49.149604+00:00,false
