config,years,construction,max_abs_correlation_vs_existing,closest_existing,breadth_gate_passed,months__0bps,cagr__0bps,annual_volatility__0bps,sharpe_zero_rf__0bps,max_drawdown__0bps,positive_month_share__0bps,months__10bps,cagr__10bps,annual_volatility__10bps,sharpe_zero_rf__10bps,max_drawdown__10bps,positive_month_share__10bps,months__50bps,cagr__50bps,annual_volatility__50bps,sharpe_zero_rf__50bps,max_drawdown__50bps,positive_month_share__50bps,months__100bps,cagr__100bps,annual_volatility__100bps,sharpe_zero_rf__100bps,max_drawdown__100bps,positive_month_share__100bps
A1,2-5,top_3_equal_long_only,0.5477,return_first_60_40_blend,False,235,0.039495897076044395,0.1811514738948393,0.3061732068019784,-0.5754086435816204,0.5872340425531914,235,0.02904402355075253,0.18116944158727485,0.2502882293274263,-0.6098534448787443,0.5829787234042553,235,-0.011813942354869322,0.18127690851063394,0.026853850490015457,-0.7406210936184131,0.5446808510638298,235,-0.06080826497717362,0.1814911992402628,-0.25195580763053244,-0.8643826046433614,0.49361702127659574
A2,2-5,top_5_equal_long_only,0.6237,return_first_60_40_blend,False,235,0.05325751665030576,0.16222902665962208,0.40329987652993504,-0.5060981949202332,0.6042553191489362,235,0.04320260961293054,0.16218935156119568,0.34405103645444357,-0.5123045514465636,0.5914893617021276,235,0.0038512478649874726,0.1620624819701752,0.10674455084621413,-0.6549320290432088,0.548936170212766,235,-0.04343508454827527,0.16197564045510507,-0.19032721612286987,-0.8117210504940848,0.502127659574468
A3,2-5,long_top_3_short_bottom_3,0.1281,cash_conversion_sleeve_b20,True,235,-0.044298042994561415,0.2087367452237468,-0.11361192864376515,-0.7320298082514324,0.4723404255319149,235,-0.06337428021400437,0.20883201450127656,-0.20941236229860016,-0.7874487160161074,0.46382978723404256,235,-0.13625480039468896,0.20928073423143076,-0.5915503452399392,-0.9447323736907767,0.4,235,-0.22006679166881027,0.2099929677231444,-1.0661556879600878,-0.9923641445793762,0.3404255319148936
A4,6-10,top_3_equal_long_only,0.5078,return_first_60_40_blend,False,187,0.0338018401091571,0.18383428905755445,0.2783830985805509,-0.45435729416690185,0.5935828877005348,187,0.02319289320051876,0.1838397246571225,0.222234359164868,-0.4599598560145223,0.5935828877005348,187,-0.018258903969193274,0.1838943284561666,-0.0023269834652547205,-0.571554188951704,0.5561497326203209,187,-0.06792139060006186,0.18403645331057597,-0.28272766726671006,-0.7521117719905597,0.48128342245989303
A5,6-10,top_5_equal_long_only,0.5663,return_first_60_40_blend,False,187,0.06512575968326773,0.16011360719512888,0.4775606573856035,-0.3911584663262009,0.5882352941176471,187,0.054985923076941834,0.16008305990423635,0.41764283139128866,-0.3968389003496865,0.5721925133689839,187,0.015299669629823986,0.15999376041538352,0.17770614224687573,-0.4190867183687449,0.5454545454545454,187,-0.03239454875797909,0.15995622588971312,-0.12253484667750672,-0.5941807525000764,0.5133689839572193
A6,6-10,long_top_3_short_bottom_3,0.2254,past_only_consensus_selector,True,187,-0.059005675916792844,0.21873057942409663,-0.15804908938276027,-0.7743308535064158,0.5026737967914439,187,-0.07751037082731715,0.21880066665034292,-0.24793943324616338,-0.8156647185755135,0.5026737967914439,187,-0.1482581916149719,0.2191510629024759,-0.6067316720359538,-0.9299680523183629,0.42245989304812837,187,-0.2297246091748819,0.21974598623105848,-1.0528593341638437,-0.9847488097172433,0.3315508021390374
