config,against,months,correlation
A1,return_first_60_40_blend,235,0.5477373019224618
A1,past_only_consensus_selector,235,0.516565832331492
A1,cash_conversion_sleeve_b20,44,0.08379240830586693
A1,growth_leader_sleeve,44,0.06841633478480974
A2,return_first_60_40_blend,235,0.6237187725974868
A2,past_only_consensus_selector,235,0.5960202226297252
A2,cash_conversion_sleeve_b20,44,0.11907062302622051
A2,growth_leader_sleeve,44,0.17562187560356818
A3,return_first_60_40_blend,235,0.003302826836226081
A3,past_only_consensus_selector,235,-0.03313174143156954
A3,cash_conversion_sleeve_b20,44,0.1281143594267067
A3,growth_leader_sleeve,44,-0.01955408760969528
A4,return_first_60_40_blend,187,0.5078472523383172
A4,past_only_consensus_selector,187,0.4932423256418978
A4,cash_conversion_sleeve_b20,44,0.18865380383313485
A4,growth_leader_sleeve,44,0.19276693741656564
A5,return_first_60_40_blend,187,0.5662813566452357
A5,past_only_consensus_selector,187,0.5471984879952098
A5,cash_conversion_sleeve_b20,44,0.20147854920099356
A5,growth_leader_sleeve,44,0.23134146319103346
A6,return_first_60_40_blend,187,0.17969089679486927
A6,past_only_consensus_selector,187,0.22535742333246955
A6,cash_conversion_sleeve_b20,44,0.21866838616894338
A6,growth_leader_sleeve,44,0.07913511471871056
