candidate,trailing_1y_cagr,trailing_1y_sharpe,trailing_1y_drawdown,ytd_cagr,full_cagr,full_drawdown,trailing_1y_200bps_cagr,recent_return,ytd_return,recent_sharpe,recent_drawdown,full_return,severe_cost,all_screen_gates
cash_rel_39w_10_30,0.9021839338782163,2.5593953361797372,-0.11771746769840474,0.9004141967299732,0.349751876596446,True,0.8037934306147874,False,True,True,True,False,False,False
top2_return_26w_20,0.9001671484931035,2.411080989126475,-0.13441888678478997,0.9070504863559183,0.35429004707805967,True,0.7845005566866716,False,True,True,True,False,False,False
rotate_sharpe_39w_10,0.8963841684173004,2.3913841414693895,-0.13441888678479008,0.8831130360956225,0.3804683996501863,True,0.7917703208969205,False,True,True,True,True,False,False
rotate_sharpe_26w_10,0.8959200548820434,2.396259207650091,-0.13609067384326867,0.8857352263488405,0.371407280735508,True,0.7704105438317335,False,True,True,True,True,False,False
top2_return_39w_20,0.8958433298610895,2.3835519231298594,-0.1344188867847902,0.8831130360956225,0.36891140714131154,True,0.7883923407674767,False,True,True,True,True,False,False
top2_return_26w_30,0.8885470738446986,2.394506731361802,-0.13441888678478986,0.91909196623432,0.33859400906693815,True,0.7658828244178537,False,True,True,True,False,False,False
rotate_return_26w_10,0.8882542571533751,2.36927539924254,-0.13609067384326834,0.8900829095806373,0.37041849136725125,True,0.7642041274573426,False,True,True,True,True,False,False
rotate_return_8w_20,0.8871975609806486,2.4702034848444177,-0.10883505894520185,0.8961081086032163,0.3101660859799713,True,0.7084388004341957,False,True,True,True,False,False,False
top2_return_13w_10,0.8842402770265843,2.4036405924453184,-0.13359896588788667,0.836176601582528,0.3635343678125833,True,0.7548565436122974,False,False,True,True,True,False,False
top2_return_39w_30,0.8822820718700548,2.3572564622178516,-0.13441888678478997,0.8831130360956219,0.3603644643984718,True,0.7716520154535502,False,True,True,True,True,False,False
rotate_sharpe_13w_10,0.8787927699380358,2.405825318131002,-0.13189385812514764,0.8388502428600206,0.36091561741882616,True,0.7455510315610403,False,False,True,True,True,False,False
rotate_return_13w_10,0.8744525788271689,2.391885957260834,-0.12919380361489496,0.8504426681913821,0.3548602595800552,True,0.728596532443637,False,False,True,True,False,False,False
rotate_return_39w_10,0.8711329065786324,2.35777095411545,-0.1344188867847902,0.8445134287401588,0.3713338363769123,True,0.7505779555500933,False,False,True,True,True,False,False
rotate_sharpe_39w_20,0.8699600208433127,2.3478399760834687,-0.13441888678478997,0.883113036095623,0.37495946250183065,True,0.7617306532964281,False,True,True,True,True,False,False
rotate_sharpe_26w_20,0.8688789998285866,2.3547889367319628,-0.13779459399760352,0.8881492009858778,0.3568612726820546,True,0.7197978030877901,False,True,True,True,True,False,False
rotate_return_8w_30,0.8680041174048512,2.460404723907347,-0.09600974759894254,0.9006888946045115,0.2732275694273081,True,0.6533612179755321,False,True,True,True,False,False,False
rotate_sharpe_8w_10,0.8575435906123876,2.3641630673350127,-0.1286052887966863,0.8025629099615439,0.3482571305298998,True,0.7028832133931255,False,False,True,True,False,False,False
rotate_return_26w_20,0.8535566919379596,2.2964672150647183,-0.1377945939976033,0.8966611242676443,0.3548204409633975,True,0.7077357770584085,False,True,True,True,False,False,False
top2_return_13w_20,0.8457483517986146,2.3653864755233447,-0.13280115859959407,0.7900152018734614,0.34132432136368696,True,0.6896589396354549,False,False,True,True,False,False,False
rotate_sharpe_39w_30,0.843829283449913,2.302565698499634,-0.13441888678479008,0.883113036095623,0.36941750949294927,True,0.7321509672260376,False,True,True,True,True,False,False
rotate_sharpe_26w_30,0.8419853555942907,2.3088359280862116,-0.13953054026776424,0.8903546231455042,0.34230792840391233,True,0.6704147144999646,False,True,True,True,False,False,False
rotate_sharpe_13w_20,0.8348923781881878,2.3669342914480596,-0.13035445967526305,0.7948105571137383,0.336102704398918,True,0.6715223763850038,False,False,True,True,False,False,False
rotate_return_13w_20,0.8261570431420788,2.3336358028891864,-0.12457313853621388,0.8173678588489259,0.32410947873237483,True,0.6390310715023368,False,False,True,True,False,False,False
rotate_return_39w_20,0.8203130393428888,2.2768946380564463,-0.13441888678478975,0.8064358247564185,0.35676748393725277,True,0.681432178406574,False,False,True,True,True,False,False
rotate_return_26w_30,0.8190250293857724,2.2157623641678517,-0.13953054026776412,0.9028426797641647,0.3391545908536895,True,0.6528344172489269,False,True,True,True,False,False,False
top2_return_13w_30,0.8076309396027868,2.317886977618262,-0.13202729923911016,0.7446196696523499,0.3193120142061341,True,0.6266039326149384,False,False,True,True,False,False,False
rotate_sharpe_8w_20,0.7931662042892826,2.273998877111821,-0.1238525542488208,0.7240553655232025,0.3111849968578493,True,0.590414725080532,False,False,True,True,False,False,False
rotate_sharpe_13w_30,0.7914213785109845,2.3154849098887986,-0.12891798217249928,0.7510273509365366,0.3115092178893144,True,0.6001186169947412,False,False,True,True,False,False,False
rotate_return_13w_30,0.7782510335749142,2.257852423386062,-0.12019408808949905,0.7839264411701148,0.29369979819797454,True,0.5534348013684285,False,False,True,True,False,False,False
rotate_return_39w_30,0.7706240802117692,2.1906948772667736,-0.13441888678479008,0.7688761844580432,0.34224599229627617,True,0.6147556904766565,False,False,True,True,False,False,False
rotate_sharpe_8w_30,0.730002662849363,2.162579292266596,-0.11928024578319829,0.6476229119761752,0.274732936486473,True,0.48452949257296996,False,False,False,True,False,False,False
