stage,cutoff,maximum_prefix_difference,prefix_pass
raw_hrp_sleeve_weights,2025-12-26,2.7755575615628914e-16,True
post_state_tilt_sleeve_weights,2025-12-26,2.220446049250313e-16,True
post_layer3_expression_sleeve_weights,2025-12-26,2.220446049250313e-16,True
post_overlay_pre_lookthrough_sleeve_weights,2025-12-26,3.3306690738754696e-16,True
final_sleeve_weights,2025-12-26,3.3306690738754696e-16,True
final_etf_weights,2025-12-26,4.440892098500626e-16,True
raw_hrp_sleeve_weights,2026-04-10,2.7755575615628914e-16,True
post_state_tilt_sleeve_weights,2026-04-10,2.220446049250313e-16,True
post_layer3_expression_sleeve_weights,2026-04-10,2.220446049250313e-16,True
post_overlay_pre_lookthrough_sleeve_weights,2026-04-10,3.3306690738754696e-16,True
final_sleeve_weights,2026-04-10,3.3306690738754696e-16,True
final_etf_weights,2026-04-10,4.440892098500626e-16,True
raw_hrp_sleeve_weights,2026-07-31,2.7755575615628914e-16,True
post_state_tilt_sleeve_weights,2026-07-31,2.220446049250313e-16,True
post_layer3_expression_sleeve_weights,2026-07-31,2.220446049250313e-16,True
post_overlay_pre_lookthrough_sleeve_weights,2026-07-31,3.3306690738754696e-16,True
final_sleeve_weights,2026-07-31,3.3306690738754696e-16,True
final_etf_weights,2026-07-31,4.440892098500626e-16,True
