Date,active_sleeves,train_observations,market_state,reallocation_speed,regime_multiplier,target_vol_multiplier,predicted_ann_vol,cash_weight
2025-08-29,6,156,calm_trend,0.8,1.0,1.0,0.0849211008779821,0.0
2025-09-26,6,156,recovery_confirmed,0.8,0.92,1.0,0.09490299845741908,0.06201271684401133
2025-10-31,6,156,neutral_mixed,0.4,0.94,1.0,0.09050688044810337,0.05072869842678496
2025-11-28,6,156,neutral_mixed,0.4,0.9415095404115166,1.0,0.08983361195812233,0.04934302315958983
2025-12-26,6,156,neutral_mixed,0.4,0.9462843044465754,1.0,0.08855559746679344,0.045257362746285335
2026-01-30,6,156,neutral_mixed,0.4,0.9464318439627789,1.0,0.08796285967825894,0.045089149500351144
2026-02-27,6,156,neutral_mixed,0.4,0.9414263442739774,1.0,0.08671137430672526,0.049276502825811086
2026-03-27,6,156,neutral_mixed,0.4,0.8,1.0,0.08705567201059006,0.20000000000000007
2026-04-24,6,156,calm_trend,0.8,1.0,1.0,0.08595010829023947,0.0
2026-05-29,6,156,neutral_mixed,0.4,0.94,1.0,0.08813654483612854,0.050527101639819216
2026-06-26,6,156,neutral_mixed,0.4,0.94,1.0,0.09021690038661663,0.050514271814792955
2026-07-31,6,156,neutral_mixed,0.4,0.94,1.0,0.0893284350705844,0.050503519288195964
