,weight
BIL,0.2498176837595334
PDBC,0.15472937905853335
HYG,0.08574878383083864
VNQ,0.07032734651624789
VWO,0.06779634746724345
IWM,0.06404974336337267
LQD,0.05722291420052977
TLT,0.05722291420052977
EWJ,0.04725695288000109
SPY,0.04106668802425101
EFA,0.03704454325098037
GLD,0.03460393449065439
QQQ,0.02084323668747631
VEA,0.012269532269807924
