strategy,annual_arithmetic_return_contribution,return_contribution_share,variance_risk_contribution_share
sec-growth-survivorship-aware-v1,0.055872621024938646,0.1423174652142841,0.25682521903999445
sec-residual-controlled-1.25x-5pct-v1,0.07439116585485454,0.18948747999619955,0.20229986744503017
sec-sector-aware-signal-ensemble-v1,0.06304960355930342,0.16059851134101008,0.16967585563829995
candidate-return-first-60-40-forward-v1,0.06299924226198254,0.16047023219376172,0.13597129204045494
sec-sector-ensemble-fragile-1.35x-v1,0.077296198696163,0.19688711335427547,0.13483207564302763
sec-cash-conversion-breadth20-dynamic-v1,0.058982625602167826,0.150239197900469,0.10039569019319267
