omitted_asset,start,end,weeks,cagr,annual_volatility,sharpe_zero_rf,max_drawdown,calmar,worst_rolling_52w,cvar_5_weekly,total_return
IEF,2023-01-06,2026-07-31,180,0.37058407434480545,0.13560413426009948,2.398796382787944,-0.1491780322684103,2.4841732305332176,-0.051723337686203075,-0.032281167689673394,1.977860033331885
TLT,2023-01-06,2026-07-31,180,0.36896585964719497,0.1351574083847007,2.397477367085358,-0.14803585775943473,2.492408699024678,-0.050917301442275464,-0.03210318646451291,1.9657073350128051
TIP,2023-01-06,2026-07-31,180,0.368219859628484,0.13550000527655157,2.3877182150511347,-0.14842236109525275,2.480892076579837,-0.052320728567618824,-0.03216110545769103,1.9601168128223359
LQD,2023-01-06,2026-07-31,180,0.370080895426693,0.13529904778956237,2.4011700170161494,-0.14703429622886455,2.5169698833437324,-0.05133691091169823,-0.03220336864817588,1.974077402540261
HYG,2023-01-06,2026-07-31,180,0.3670504758870188,0.13513525391672604,2.3874314376866916,-0.1479891700396191,2.4802522764926205,-0.05319293025071781,-0.031998027792246406,1.9513685406810422
GLD,2023-01-06,2026-07-31,180,0.3629561356819846,0.13506751797565558,2.366214794782227,-0.1518980751680874,2.389471593240036,-0.057362806360199525,-0.03200640425523999,1.9208832401335871
SLV,2023-01-06,2026-07-31,180,0.36590360658603105,0.13448367756490628,2.3920614800480045,-0.14904090889867327,2.4550548523210747,-0.05338556135870931,-0.0317876676339556,1.9428065744840142
USO,2023-01-06,2026-07-31,180,0.36788640601725375,0.13502941271351898,2.3937390081108796,-0.14735392331713093,2.49661765181168,-0.04953728264494184,-0.03179314139321049,1.9576203375229984
DBA,2023-01-06,2026-07-31,180,0.3654053791539871,0.13502259222075805,2.3803397555428365,-0.1489974917549437,2.452426378794145,-0.052629336936614424,-0.03206113384614648,1.9390925609355056
PDBC,2023-01-06,2026-07-31,180,0.3659630041914925,0.134760314923124,2.3877525921529457,-0.1476776261372641,2.4781208485253923,-0.04997919521442562,-0.03183613839722214,1.94324957375186
UUP,2023-01-06,2026-07-31,180,0.36707559193273886,0.13586975933487813,2.3753850235577607,-0.1476965765201682,2.485335818752807,-0.04994991884387212,-0.03201865188373903,1.9515562427847466
