portfolio,cost_bps,start,end,weeks,cagr,annual_volatility,sharpe_zero_rf,max_drawdown,calmar,worst_rolling_52w,cvar_5_weekly,total_return
all_six,native,2023-01-06,2026-08-07,181,0.4549697289906136,0.18119466421386918,2.1666833220652855,-0.20445568195764197,2.2252730989636755,-0.08339402346270819,-0.04488977511892486,2.688561640451486
five_sleeve_base,native,2023-01-06,2026-08-07,181,0.4750235117420456,0.16806836137811448,2.404156260322663,-0.18109730601938756,2.623029144846536,-0.0732985748565892,-0.03887756558253336,2.8685673927313444
trend_standalone,0,2005-01-07,2026-07-31,1126,0.041926660896000945,0.06563734774833124,0.6586435974550873,-0.15178017287194911,0.2762327918243498,-0.14908480081799147,-0.020630496045964005,1.4335648400298764
candidate_80_20,0,2023-01-06,2026-07-31,180,0.3692166350039314,0.13500086147089638,2.401466836914065,-0.1478045855304806,2.498005279597978,-0.05059657760551006,-0.031975287778561456,1.967588329859654
trend_standalone,10,2005-01-07,2026-07-31,1126,0.03981510859090154,0.06566372453514013,0.6274880989067461,-0.15438724488971212,0.2578911788946283,-0.15140266266882707,-0.02067810618575901,1.3289774796246419
candidate_80_20,10,2023-01-06,2026-07-31,180,0.36873565356603644,0.1350117562986716,2.39866593130646,-0.1479823413689073,2.491754422555121,-0.0509297947005245,-0.03197926307741141,1.9639813709825096
trend_standalone,50,2005-01-07,2026-07-31,1126,0.03140466353296567,0.06585931199437028,0.5024278569414663,-0.1647421879040607,0.19062915172192868,-0.16061732481703772,-0.020891449837745307,0.9534012673714005
candidate_80_20,50,2023-01-06,2026-07-31,180,0.3668131284966103,0.13505672286484205,2.387442304603393,-0.14869310745571063,2.4669141345766037,-0.05226165714574105,-0.031995164272811225,1.9495951692363533
trend_standalone,100,2005-01-07,2026-07-31,1126,0.02097169667938381,0.06630470700302399,0.34609137358112,-0.1916991741793974,0.10939899334025255,-0.17230893756450072,-0.021179870192060635,0.5674053794972849
candidate_80_20,100,2023-01-06,2026-07-31,180,0.3644131211125414,0.13511604976747602,2.3733684943566526,-0.14958098638715656,2.436226220419088,-0.05392422379467021,-0.03201504076706099,1.9317057502875867
five_sleeve_base_candidate_window,native,2023-01-06,2026-07-31,180,0.45466864373482196,0.16641074962420557,2.3423834765419165,-0.18109730601938756,2.510631735660093,-0.0732985748565892,-0.039992291245052186,2.659435646924328
