decision_at,members,current_mapping_unprobed,recovered_with_execution_price,optimistic_coverage_if_all_current_symbols_work
2012-04-01 00:00:00+00:00,629,232,29,0.4149443561208267
2012-07-01 00:00:00+00:00,645,233,32,0.4108527131782946
2012-10-01 00:00:00+00:00,653,235,33,0.4104134762633997
2013-01-01 00:00:00+00:00,655,236,31,0.4076335877862595
2013-04-01 00:00:00+00:00,690,244,33,0.40144927536231884
2013-07-01 00:00:00+00:00,688,247,33,0.4069767441860465
2013-10-01 00:00:00+00:00,682,250,32,0.41348973607038125
2014-01-01 00:00:00+00:00,671,250,27,0.4128166915052161
2014-04-01 00:00:00+00:00,675,257,25,0.4177777777777778
2014-07-01 00:00:00+00:00,678,261,25,0.4218289085545723
2014-10-01 00:00:00+00:00,679,264,24,0.42415316642120765
2015-01-01 00:00:00+00:00,676,267,23,0.4289940828402367
2015-04-01 00:00:00+00:00,690,274,26,0.43478260869565216
2015-07-01 00:00:00+00:00,697,281,27,0.4418938307030129
2015-10-01 00:00:00+00:00,690,283,27,0.4492753623188406
2016-01-01 00:00:00+00:00,692,285,27,0.4508670520231214
2016-04-01 00:00:00+00:00,715,297,29,0.45594405594405596
2016-07-01 00:00:00+00:00,713,301,30,0.4642356241234222
2016-10-01 00:00:00+00:00,700,300,30,0.4714285714285714
2017-01-01 00:00:00+00:00,694,302,31,0.47982708933717577
2017-04-01 00:00:00+00:00,671,305,31,0.5007451564828614
2017-07-01 00:00:00+00:00,662,308,31,0.5120845921450151
2017-10-01 00:00:00+00:00,642,308,30,0.5264797507788161
2018-01-01 00:00:00+00:00,627,306,31,0.5374800637958532
2018-04-01 00:00:00+00:00,615,319,29,0.5658536585365853
2018-07-01 00:00:00+00:00,612,324,25,0.5702614379084967
2018-10-01 00:00:00+00:00,603,323,23,0.5737976782752903
2019-01-01 00:00:00+00:00,600,327,15,0.57
2019-04-01 00:00:00+00:00,625,343,11,0.5664
2019-07-01 00:00:00+00:00,616,346,8,0.5746753246753247
2019-10-01 00:00:00+00:00,603,348,7,0.5887230514096186
2020-01-01 00:00:00+00:00,601,351,6,0.5940099833610649
2020-04-01 00:00:00+00:00,611,367,6,0.6104746317512275
2020-07-01 00:00:00+00:00,614,372,6,0.6156351791530945
2020-10-01 00:00:00+00:00,609,374,6,0.6239737274220033
2021-01-01 00:00:00+00:00,599,375,5,0.6343906510851419
2021-04-01 00:00:00+00:00,584,383,5,0.6643835616438356
2021-07-01 00:00:00+00:00,575,382,6,0.6747826086956522
2021-10-01 00:00:00+00:00,562,382,5,0.6886120996441281
2022-01-01 00:00:00+00:00,557,382,5,0.6947935368043088
2022-04-01 00:00:00+00:00,546,392,3,0.7234432234432234
2022-07-01 00:00:00+00:00,545,400,3,0.7394495412844037
2022-10-01 00:00:00+00:00,543,403,3,0.7476979742173112
2023-01-01 00:00:00+00:00,535,406,4,0.7663551401869159
2023-04-01 00:00:00+00:00,606,451,5,0.7524752475247525
2023-07-01 00:00:00+00:00,612,463,5,0.7647058823529411
2023-10-01 00:00:00+00:00,608,469,5,0.7796052631578947
2024-01-01 00:00:00+00:00,595,467,4,0.7915966386554621
2024-04-01 00:00:00+00:00,590,478,3,0.8152542372881356
2024-07-01 00:00:00+00:00,589,479,3,0.8183361629881154
2024-10-01 00:00:00+00:00,582,479,4,0.8298969072164949
2025-01-01 00:00:00+00:00,570,476,4,0.8421052631578947
2025-04-01 00:00:00+00:00,567,488,4,0.8677248677248677
2025-07-01 00:00:00+00:00,563,489,3,0.8738898756660746
2025-10-01 00:00:00+00:00,556,488,3,0.8830935251798561
2026-01-01 00:00:00+00:00,546,489,3,0.9010989010989011
2026-04-01 00:00:00+00:00,540,495,3,0.9222222222222223
2026-07-01 00:00:00+00:00,536,499,5,0.9402985074626866
