file_path,category,row_count,column_count,start_date,end_date,frequency,key_columns,useful_for_signal_discovery,leakage_risk_notes,recommended_use
data/02_layer1_signals/phase_a_incremental_diagnostics.csv,layer1_signal,4.0,4.0,,,unknown,signal_name|residualized_4w_mean_ic|residualized_4w_nw_tstat|n_dates,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/phase_a_signal_candidate_summary.csv,layer1_signal,4.0,16.0,,,unknown,signal_name|avg_mean_ic|avg_ic_tstat_nw|avg_cross_coverage|avg_abs_redundancy|distinctiveness_score|validation_quality_score|strong_neutral_mean_ic|weak_neutral_mean_ic|recovery_fragile_mean_ic|recovery_confirmed_mean_ic|calm_trend_mean_ic,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/phase_a_signal_state_summary.csv,layer1_signal,24.0,7.0,,,unknown,signal_name|state_bucket|avg_state_mean_ic|avg_state_nw_tstat|avg_state_hit_rate|avg_state_coverage|n_state_dates,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/phase_a_stability_summary.csv,layer1_signal,8.0,6.0,,,unknown,signal_name|period|split_date|mean_ic_4w|hit_rate_4w|n_dates,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/regime_features.csv,layer1_signal,1110.0,13.0,2005-01-07,2026-04-10,weekly,Date|vix_level_observed|vix_level_z_observed|vix_level_z_tradable|vix_slope_1m_3m_observed|vix_slope_risk_off_z_observed|vix_slope_risk_off_z_tradable|vix_contango_flag_observed|vix_contango_flag_tradable|google_fear_z_observed|google_fear_z_tradable|macro_risk_score_tradable,True,,state interactions and state-quality targets
data/02_layer1_signals/signal_bab.csv,layer1_signal,38850.0,10.0,2005-01-07,2007-09-28,daily,Date|Ticker|beta_to_market_observed|bab_score_observed|bab_score_tradable|bab_score_asset_class_neutral_observed|bab_score_asset_class_neutral_tradable|asset_class|market_proxy_ticker|beta_estimation_frequency,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_breadth_confirmation.csv,layer1_signal,38850.0,10.0,2005-01-07,2007-09-28,daily,Date|Ticker|own_momentum_26_4w_observed|asset_class_breadth_confirmation_observed|breadth_confirmation_multiplier_observed|breadth_confirmed_momentum_observed|breadth_confirmed_momentum_tradable|breadth_confirmed_momentum_score_observed|breadth_confirmed_momentum_score_tradable|asset_class,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_carry.csv,layer1_signal,38850.0,12.0,2005-01-07,2007-09-28,daily,Date|Ticker|carry_yield_trailing_52w_observed|carry_yield_trailing_52w_tradable|carry_score_observed|carry_score_tradable|carry_score_asset_class_neutral_observed|carry_score_asset_class_neutral_tradable|carry_source|distribution_rows|metadata_yield_latest|asset_class,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_contained_recovery.csv,layer1_signal,38850.0,11.0,2005-01-07,2007-09-28,daily,Date|Ticker|recovery_momentum_13w_observed|recovery_vol_13w_observed|recovery_drawdown_26w_observed|contained_recovery_multiplier_observed|contained_recovery_quality_observed|contained_recovery_quality_tradable|contained_recovery_quality_score_observed|contained_recovery_quality_score_tradable|asset_class,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_eligibility_matrix.csv,layer1_signal,25.0,10.0,,,unknown,signal_name|equities|bonds|reits|commodities|fx|base_proxy_quality|notes|coverage_ratio_h1|reliability,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_ic_by_horizon.csv,layer1_signal,110.0,11.0,,,unknown,signal_name|evaluation_type|horizon_weeks|mean_ic|ic_std|ic_tstat|ic_tstat_nw|hit_rate|mean_coverage|median_coverage|n_dates,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_incremental_contribution.csv,layer1_signal,10.0,35.0,,,unknown,study|test_type|candidate_signal|signal_count|signal_names|ann_return|ann_vol|sharpe|max_drawdown|calmar|cvar_5|hit_rate,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_manifest.json,layer1_signal,25.0,,,,unknown,,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_moving_average_distance.csv,layer1_signal,38850.0,9.0,2005-01-07,2007-09-28,daily,Date|Ticker|ma_13w_observed|ma_52w_observed|moving_average_distance_observed|moving_average_distance_tradable|moving_average_distance_score_observed|moving_average_distance_score_tradable|asset_class,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_multi_horizon_mom.csv,layer1_signal,38850.0,13.0,2005-01-07,2007-09-28,daily,Date|Ticker|mom_13_4w|mom_26_4w|mom_39_4w|mom_52_4w|multi_mom_equal_observed|multi_mom_equal_score_observed|multi_mom_equal_score_tradable|multi_mom_invvol_observed|multi_mom_invvol_score_observed|multi_mom_invvol_score_tradable,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_quality.csv,layer1_signal,38850.0,11.0,2005-01-07,2007-09-28,daily,Date|Ticker|quality_realized_vol_ann_observed|quality_downside_semivol_ann_observed|quality_drawdown_frequency_observed|quality_drawdown_severity_observed|quality_score_observed|quality_score_tradable|quality_score_asset_class_neutral_observed|quality_score_asset_class_neutral_tradable|asset_class,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_redundancy_matrix.csv,layer1_signal,22.0,23.0,,,unknown,Unnamed: 0|bab_proxy|bab_proxy_asset_class_neutral|breadth_confirmed_momentum|carry_proxy|carry_proxy_asset_class_neutral|contained_recovery_quality|moving_average_distance|multi_mom_equal|multi_mom_invvol|quality_proxy|quality_proxy_asset_class_neutral,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_redundancy_pairs.csv,layer1_signal,231.0,4.0,,,unknown,left_signal|right_signal|avg_cs_corr|abs_avg_cs_corr,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_residual_momentum.csv,layer1_signal,38850.0,9.0,2005-01-07,2007-09-28,daily,Date|Ticker|residual_beta_used|residual_alpha_used|residual_log_return|residual_mom_52_4w_observed|residual_mom_score_observed|residual_mom_score_tradable|asset_class,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_reversal.csv,layer1_signal,38850.0,13.0,2005-01-07,2007-09-28,daily,Date|Ticker|recent_return_1w|reversal_1w_score_observed|reversal_1w_score_tradable|reversal_1w_asset_class_neutral_observed|reversal_1w_asset_class_neutral_tradable|recent_return_4w|reversal_4w_score_observed|reversal_4w_score_tradable|reversal_4w_asset_class_neutral_observed|reversal_4w_asset_class_neutral_tradable,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_subset_comparison.csv,layer1_signal,7.0,23.0,,,unknown,combo_name|signal_count|signal_names|ann_return|ann_vol|sharpe|max_drawdown|calmar|cvar_5|hit_rate|avg_weekly_turnover|annual_turnover,True,,Layer 1 signal validation or live signal feature source
data/02_layer1_signals/signal_summary_table.csv,layer1_signal,22.0,21.0,,,unknown,signal_name|avg_mean_ic|avg_ic_tstat|avg_ic_tstat_nw|positive_horizon_share|avg_cross_coverage|avg_signed_strategy_mean|avg_signed_strategy_tstat|avg_signed_strategy_tstat_nw|avg_directional_hit_rate|positive_ts_horizon_share|ann_return_10bps,True,,Layer 1 signal validation or live signal feature source
