portfolio,window,upside_capture_spy,downside_capture_spy,beta_spy,corr_spy,beta_qqq,corr_qqq,active_return_vs_spy,active_return_vs_ggg1,active_return_vs_phase2_best
improved_phase3_breadth_neutral_cash_unlock,full,0.0426,-0.122,-0.0318,-0.0717,-0.0236,-0.0604,-0.0545,-0.0029,-0.0057
improved_phase3_breadth_neutral_cash_unlock,holdout_2016,0.0496,-0.1305,-0.0614,-0.1274,-0.0397,-0.0983,-0.0866,-0.0099,-0.0121
improved_phase3_breadth_neutral_cash_unlock,holdout_2020,0.0554,-0.1276,-0.0698,-0.1458,-0.046,-0.113,-0.0781,-0.0103,-0.0122
improved_phase3_breadth_neutral_cash_unlock,holdout_2021,0.087,-0.1337,-0.0334,-0.0732,-0.0231,-0.0658,-0.0545,-0.0053,-0.0083
improved_phase3_breadth_neutral_cash_unlock,bear_2022,0.0426,0.0441,0.0134,0.0482,0.0138,0.0612,0.1496,0.0026,0.0009
improved_phase3_breadth_neutral_cash_unlock,recovery_2023,0.1362,-0.2173,-0.0637,-0.1216,-0.049,-0.1236,-0.0795,-0.0049,-0.0094
improved_phase3_high_breadth_calm_us_offense,full,0.0479,-0.1255,-0.0304,-0.071,-0.0237,-0.0627,-0.0501,0.0012,-0.0015
improved_phase3_high_breadth_calm_us_offense,holdout_2016,0.0665,-0.1415,-0.0568,-0.1216,-0.0387,-0.0989,-0.0728,0.0036,0.0015
improved_phase3_high_breadth_calm_us_offense,holdout_2020,0.0701,-0.1382,-0.0649,-0.1419,-0.0445,-0.1144,-0.0636,0.0039,0.002
improved_phase3_high_breadth_calm_us_offense,holdout_2021,0.0974,-0.1403,-0.0326,-0.0693,-0.0244,-0.0677,-0.046,0.0034,0.0004
improved_phase3_high_breadth_calm_us_offense,bear_2022,0.0376,0.0455,0.0117,0.0445,0.0117,0.0555,0.1459,-0.0014,-0.0031
improved_phase3_high_breadth_calm_us_offense,recovery_2023,0.1477,-0.2307,-0.0653,-0.1179,-0.0528,-0.1259,-0.0688,0.0062,0.0017
improved_phase3_qqq_us_growth_leadership,full,0.0472,-0.1182,-0.0303,-0.0715,-0.0226,-0.0605,-0.0534,-0.0022,-0.0049
improved_phase3_qqq_us_growth_leadership,holdout_2016,0.0612,-0.1286,-0.0579,-0.1257,-0.0376,-0.0973,-0.0806,-0.0043,-0.0064
