portfolio,signal_active_ann_return,signal_inactive_ann_return,signal_active_weeks,signal_inactive_weeks
improved_phase3_breadth_neutral_cash_unlock,0.0629,0.0797,535,575
improved_phase3_high_breadth_calm_us_offense,0.0742,0.0771,535,575
improved_phase3_qqq_us_growth_leadership,0.0665,0.0778,535,575
improved_phase3_breadth_credit_risk_on_offense,0.0691,0.076,535,575
improved_phase3_balanced_breadth_aggressive,0.0667,0.0819,535,575
improved_phase3_stretch_breadth_aggressive,0.0673,0.0846,535,575
