portfolio,state,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
improved_phase3_breadth_neutral_cash_unlock,calm_trend,0.1225,0.1129,0.2059,0.0957,0.2846,0.1479,0.0304
improved_phase3_breadth_neutral_cash_unlock,neutral_mixed,0.0915,0.1104,0.1608,0.1227,0.2136,0.1097,0.1913
improved_phase3_breadth_neutral_cash_unlock,recovery_confirmed,0.0589,0.1674,0.1381,0.2438,0.2245,0.1237,0.0435
improved_phase3_breadth_neutral_cash_unlock,recovery_fragile,0.1033,0.1257,0.1589,0.1336,0.2494,0.1233,0.1058
improved_phase3_breadth_neutral_cash_unlock,stressed_panic,0.0563,0.0636,0.105,0.0562,0.1521,0.068,0.4988
improved_phase3_high_breadth_calm_us_offense,calm_trend,0.1326,0.1136,0.1967,0.1033,0.272,0.1463,0.0356
improved_phase3_high_breadth_calm_us_offense,neutral_mixed,0.09,0.1047,0.1542,0.1199,0.1986,0.1047,0.2278
improved_phase3_high_breadth_calm_us_offense,recovery_confirmed,0.0572,0.1613,0.1326,0.2396,0.2071,0.1239,0.0782
improved_phase3_high_breadth_calm_us_offense,recovery_fragile,0.107,0.1213,0.1527,0.1337,0.2413,0.1153,0.1289
improved_phase3_high_breadth_calm_us_offense,stressed_panic,0.0578,0.0612,0.1036,0.0553,0.1466,0.0663,0.5092
improved_phase3_qqq_us_growth_leadership,calm_trend,0.1304,0.1127,0.1978,0.1271,0.2545,0.1366,0.041
improved_phase3_qqq_us_growth_leadership,neutral_mixed,0.0893,0.1036,0.1506,0.1333,0.1931,0.1018,0.2284
improved_phase3_qqq_us_growth_leadership,recovery_confirmed,0.0549,0.1568,0.1276,0.2582,0.2021,0.1253,0.0751
improved_phase3_qqq_us_growth_leadership,recovery_fragile,0.1055,0.1215,0.149,0.1433,0.2388,0.113,0.1288
improved_phase3_qqq_us_growth_leadership,stressed_panic,0.0572,0.061,0.1025,0.0646,0.1423,0.0631,0.5092
improved_phase3_breadth_credit_risk_on_offense,calm_trend,0.122,0.1144,0.1977,0.1007,0.2826,0.1464,0.0362
improved_phase3_breadth_credit_risk_on_offense,neutral_mixed,0.088,0.1089,0.1468,0.1191,0.2045,0.1047,0.2281
improved_phase3_breadth_credit_risk_on_offense,recovery_confirmed,0.0575,0.1641,0.1329,0.2307,0.2172,0.1192,0.0785
improved_phase3_breadth_credit_risk_on_offense,recovery_fragile,0.0992,0.1224,0.1522,0.1372,0.2484,0.1103,0.1303
improved_phase3_breadth_credit_risk_on_offense,stressed_panic,0.0556,0.0627,0.1027,0.054,0.1495,0.0663,0.5092
improved_phase3_balanced_breadth_aggressive,calm_trend,0.1494,0.1236,0.235,0.1336,0.2124,0.1116,0.0344
improved_phase3_balanced_breadth_aggressive,neutral_mixed,0.1017,0.1136,0.1767,0.1461,0.1779,0.0919,0.1921
improved_phase3_balanced_breadth_aggressive,recovery_confirmed,0.057,0.1739,0.1433,0.2921,0.1813,0.1085,0.0438
improved_phase3_balanced_breadth_aggressive,recovery_fragile,0.11,0.1302,0.1589,0.1524,0.2336,0.11,0.1049
improved_phase3_balanced_breadth_aggressive,stressed_panic,0.0607,0.0629,0.1107,0.0653,0.1406,0.061,0.4988
improved_phase3_stretch_breadth_aggressive,calm_trend,0.1542,0.1259,0.2474,0.1472,0.1865,0.1004,0.0384
improved_phase3_stretch_breadth_aggressive,neutral_mixed,0.1074,0.1162,0.1872,0.1542,0.1622,0.0849,0.1879
improved_phase3_stretch_breadth_aggressive,recovery_confirmed,0.0639,0.1747,0.1559,0.2958,0.1663,0.1002,0.0431
improved_phase3_stretch_breadth_aggressive,recovery_fragile,0.1115,0.1337,0.1629,0.1561,0.2282,0.1067,0.1009
improved_phase3_stretch_breadth_aggressive,stressed_panic,0.0616,0.0634,0.1132,0.0675,0.1378,0.0598,0.4967
