portfolio,state,ann_return,sharpe,max_drawdown,delta_vs_ggg1,avg_offense_sleeve,avg_defense_sleeve,avg_cash_bil_sleeve,avg_QQQ_etf
improved_phase3_breadth_neutral_cash_unlock,stressed_panic,0.034364,0.412836,-0.143824,-0.0014,0.0562,0.1521,0.4988,0.0126
improved_phase3_high_breadth_calm_us_offense,stressed_panic,0.037183,0.491817,-0.122145,0.0014,0.0553,0.1466,0.5092,0.0122
improved_phase3_qqq_us_growth_leadership,stressed_panic,0.036198,0.447963,-0.136899,0.0004,0.0646,0.1423,0.5092,0.0127
improved_phase3_breadth_credit_risk_on_offense,stressed_panic,0.034271,0.430975,-0.134989,-0.0015,0.054,0.1495,0.5092,0.0121
improved_phase3_balanced_breadth_aggressive,stressed_panic,0.034218,0.396421,-0.151424,-0.0016,0.0653,0.1406,0.4988,0.0131
improved_phase3_stretch_breadth_aggressive,stressed_panic,0.034762,0.395376,-0.155118,-0.001,0.0675,0.1378,0.4967,0.0133
ggg1,stressed_panic,0.035803,0.480687,-0.121622,0.0,,,,
phase2_best,stressed_panic,0.035563,0.457031,-0.130394,-0.0002,,,,
