portfolio,full_ann_return,full_sharpe,full_max_dd,holdout_2020_return,holdout_2020_sharpe,avg_BIL,avg_QQQ,avg_turnover,turnover_ratio_vs_ggg1,passes_mandate,bear_ok,disguised_spy
improved_phase3_breadth_neutral_cash_unlock,0.0683,0.8766,-0.1537,0.0848,0.9173,0.2631,0.0285,0.0723,1.169,False,True,False
improved_phase3_high_breadth_calm_us_offense,0.0727,0.9659,-0.119,0.0994,1.1244,0.2793,0.0275,0.0665,1.076,True,True,False
improved_phase3_qqq_us_growth_leadership,0.0694,0.9324,-0.1365,0.0926,1.0432,0.3002,0.0329,0.0705,1.14,True,True,False
improved_phase3_breadth_credit_risk_on_offense,0.0695,0.9079,-0.1467,0.0898,0.9941,0.2768,0.026,0.0653,1.056,True,True,False
improved_phase3_balanced_breadth_aggressive,0.0712,0.9069,-0.1532,0.0909,0.9659,0.2768,0.0348,0.0726,1.174,True,True,False
improved_phase3_stretch_breadth_aggressive,0.0728,0.9187,-0.1576,0.0926,0.9719,0.2777,0.0367,0.073,1.18,True,True,False
