portfolio,state,ann_return,sharpe,max_drawdown,delta_vs_ggg1,avg_offense_sleeve,avg_defense_sleeve,avg_cash_bil_sleeve,avg_QQQ_etf
improved_phase3_breadth_neutral_cash_unlock,recovery_confirmed,0.023049,0.296135,-0.054911,-0.0027,0.2438,0.2245,0.0435,0.0531
improved_phase3_high_breadth_calm_us_offense,recovery_confirmed,0.024606,0.322523,-0.054834,-0.0011,0.2396,0.2071,0.0782,0.053
improved_phase3_qqq_us_growth_leadership,recovery_confirmed,0.024461,0.314181,-0.055342,-0.0012,0.2582,0.2021,0.0751,0.0555
improved_phase3_breadth_credit_risk_on_offense,recovery_confirmed,0.023138,0.306673,-0.054835,-0.0026,0.2307,0.2172,0.0785,0.0533
improved_phase3_balanced_breadth_aggressive,recovery_confirmed,0.024939,0.306936,-0.055923,-0.0008,0.2921,0.1813,0.0438,0.0598
improved_phase3_stretch_breadth_aggressive,recovery_confirmed,0.023663,0.291084,-0.059355,-0.002,0.2958,0.1663,0.0431,0.0791
ggg1,recovery_confirmed,0.025705,0.344267,-0.053798,0.0,,,,
phase2_best,recovery_confirmed,0.026741,0.346583,-0.05393,0.001,,,,
