state,signal,horizon,n,spy_fwd,us_pure_fwd,ggg_fwd,lift_us_vs_ggg
calm_trend,all,4,295,0.00587,0.00525,0.00176,0.00349
calm_trend,breadth_on,4,284,0.00568,0.00504,0.00133,0.00371
calm_trend,all,8,295,0.01272,0.01132,0.0036,0.00772
calm_trend,breadth_on,8,284,0.01297,0.01167,0.00324,0.00843
calm_trend,all,13,295,0.02345,0.02093,0.00753,0.0134
calm_trend,breadth_on,13,284,0.02354,0.02109,0.00667,0.01442
neutral_mixed,all,4,493,0.00923,0.00983,0.00772,0.00211
neutral_mixed,breadth_on,4,209,0.01156,0.01223,0.00983,0.0024
neutral_mixed,all,8,493,0.01626,0.01679,0.01283,0.00397
neutral_mixed,breadth_on,8,209,0.02289,0.02375,0.01904,0.0047
neutral_mixed,all,13,493,0.02413,0.02475,0.01822,0.00653
neutral_mixed,breadth_on,13,209,0.03533,0.03792,0.02971,0.00822
