column,role,source,non_null_count,total_rows,non_null_pct,first_valid_date,last_valid_date
avg_corr_risk_off_z,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,103887,133375,0.7789090909090909,2005-10-07,2026-04-10
beta_to_SPY_26w,feature,computed_from_mlx_weekly_prices_returns,105194,133375,0.7887085285848172,2000-04-07,2026-05-08
breadth_13w_mom,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,107670,133375,0.8072727272727273,2005-01-07,2026-04-10
breadth_26w_mom,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,107670,133375,0.8072727272727273,2005-01-07,2026-04-10
breadth_change_4w,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,107282,133375,0.8043636363636364,2005-02-04,2026-04-10
breadth_risk_off_z,feature,data/04_layer2b_risk_regime_engine/regime_score.csv,105148,133375,0.7883636363636364,2005-07-08,2026-04-10
breadth_sma_43,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,107670,133375,0.8072727272727273,2005-01-07,2026-04-10
canary_breadth_default,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,107670,133375,0.8072727272727273,2005-01-07,2026-04-10
canary_breadth_pair,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,107670,133375,0.8072727272727273,2005-01-07,2026-04-10
confidence_score_p2b,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,80704,133375,0.6050909090909091,2010-05-07,2026-04-10
corr_to_SPY_26w,feature,computed_from_mlx_weekly_prices_returns,105194,133375,0.7887085285848172,2000-04-07,2026-05-08
cross_sectional_return_rank_13w,feature,computed_from_mlx_weekly_prices_returns,105194,133375,0.7887085285848172,2000-04-07,2026-05-08
cross_sectional_return_rank_26w,feature,computed_from_mlx_weekly_prices_returns,103933,133375,0.7792539831302718,2000-07-07,2026-05-08
cross_sectional_vol_rank_13w,feature,computed_from_mlx_weekly_prices_returns,105776,133375,0.7930721649484536,2000-02-25,2026-05-08
defensive_overlay_hint,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,107670,133375,0.8072727272727273,2005-01-07,2026-04-10
defensive_weight,feature,data/04_layer2b_risk_regime_engine/regime_states.csv,107670,133375,0.8072727272727273,2005-01-07,2026-04-10
deterioration_rank_neutral_mixed,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,36957,133375,0.2770909090909091,2008-08-08,2026-03-27
deterioration_z,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,94284,133375,0.7069090909090909,2007-04-06,2026-04-10
drawdown_from_52w_high,feature,computed_from_mlx_weekly_prices_returns,104030,133375,0.7799812558575445,2000-06-30,2026-05-08
equal_weight_stock_return,feature,data/research/stock_breadth/stock_breadth_weekly.csv,82256,133375,0.6167272727272727,2010-01-15,2026-04-10
google_fear_z_tradable,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,100395,133375,0.7527272727272727,2006-06-16,2026-04-10
macro_risk_score_tradable,feature,data/04_layer2b_risk_regime_engine/regime_score.csv,102626,133375,0.7694545454545455,2006-01-06,2026-04-10
market_drawdown,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,107670,133375,0.8072727272727273,2005-01-07,2026-04-10
market_drawdown_risk_off_z,feature,data/04_layer2b_risk_regime_engine/regime_score.csv,100298,133375,0.752,2006-06-23,2026-04-10
market_state_calm_trend,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,133375,133375,1.0,2000-01-07,2026-05-08
market_state_neutral_mixed,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,133375,133375,1.0,2000-01-07,2026-05-08
market_state_recovery_confirmed,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,133375,133375,1.0,2000-01-07,2026-05-08
market_state_recovery_fragile,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,133375,133375,1.0,2000-01-07,2026-05-08
market_state_stressed_panic,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,133375,133375,1.0,2000-01-07,2026-05-08
market_trend_positive,feature,data/04_layer2b_risk_regime_engine/market_state_history_refined.csv,107670,133375,0.8072727272727273,2005-01-07,2026-04-10
market_vol_risk_off_z,feature,data/04_layer2b_risk_regime_engine/regime_score.csv,104566,133375,0.784,2005-08-19,2026-04-10
median_stock_13w_return,feature,data/research/stock_breadth/stock_breadth_weekly.csv,81092,133375,0.608,2010-04-09,2026-04-10
median_stock_26w_return,feature,data/research/stock_breadth/stock_breadth_weekly.csv,79831,133375,0.5985454545454545,2010-07-09,2026-04-10
momentum_12_1,feature,computed_from_mlx_weekly_prices_returns,101411,133375,0.7603448922211808,2001-01-05,2026-05-08
overlay_multiplier,feature,data/04_layer2b_risk_regime_engine/regime_states.csv,107670,133375,0.8072727272727273,2005-01-07,2026-04-10
p_regime_confidence_blend25,feature,data/04_layer2b_risk_regime_engine/phase_kk_targeta_regime_confidence_predictions.csv,107573,133375,0.8065454545454546,2005-01-14,2026-04-10
p_regime_confidence_refreshed,feature,data/04_layer2b_risk_regime_engine/phase_kk_targeta_regime_confidence_predictions.csv,107573,133375,0.8065454545454546,2005-01-14,2026-04-10
p_stress_forecast,feature,data/04_layer2b_risk_regime_engine/phase_kk_targeta_regime_confidence_predictions.csv,107573,133375,0.8065454545454546,2005-01-14,2026-04-10
pct_above_100d_ma,feature,data/research/stock_breadth/stock_breadth_weekly.csv,82353,133375,0.6174545454545455,2010-01-08,2026-04-10
pct_above_200d_ma,feature,data/research/stock_breadth/stock_breadth_weekly.csv,82353,133375,0.6174545454545455,2010-01-08,2026-04-10
pct_above_50d_ma,feature,data/research/stock_breadth/stock_breadth_weekly.csv,82353,133375,0.6174545454545455,2010-01-08,2026-04-10
pct_near_52w_high,feature,data/research/stock_breadth/stock_breadth_weekly.csv,82353,133375,0.6174545454545455,2010-01-08,2026-04-10
pct_positive_13w_return,feature,data/research/stock_breadth/stock_breadth_weekly.csv,82353,133375,0.6174545454545455,2010-01-08,2026-04-10
pct_positive_26w_return,feature,data/research/stock_breadth/stock_breadth_weekly.csv,82353,133375,0.6174545454545455,2010-01-08,2026-04-10
realized_vol_13w,feature,computed_from_mlx_weekly_prices_returns,105776,133375,0.7930721649484536,2000-02-25,2026-05-08
realized_vol_26w,feature,computed_from_mlx_weekly_prices_returns,105194,133375,0.7887085285848172,2000-04-07,2026-05-08
