strategy,anomaly,months,correlation
return_first_60_40_blend,NumEarnIncrease,240,-0.1467521594210524
return_first_60_40_blend,NetDebtPrice,240,-0.14688200940594098
return_first_60_40_blend,LRreversal,240,0.14785222798266076
return_first_60_40_blend,EP,240,0.15017377035084
return_first_60_40_blend,OptionVolume2,225,0.15285889213535045
return_first_60_40_blend,FirmAgeMom,240,-0.1539668650512121
return_first_60_40_blend,Mom6m,240,-0.15514433432862804
return_first_60_40_blend,BMdec,240,-0.1551725541114338
return_first_60_40_blend,Accruals,240,0.15871660797335127
return_first_60_40_blend,InvestPPEInv,240,-0.15977397857672504
return_first_60_40_blend,AdExp,240,0.16007796874972186
return_first_60_40_blend,CBOperProf,240,-0.16465278492427848
return_first_60_40_blend,sfe,240,-0.16479925221927977
return_first_60_40_blend,RD,240,0.16514674451730693
return_first_60_40_blend,GrAdExp,240,-0.16650254322707186
return_first_60_40_blend,Mom12m,240,-0.167969399403951
return_first_60_40_blend,CoskewACX,240,0.16806581064329143
return_first_60_40_blend,CompositeDebtIssuance,240,-0.17050376733014783
return_first_60_40_blend,EquityDuration,240,-0.17060598537633784
return_first_60_40_blend,CPVolSpread,217,-0.17359671428159804
return_first_60_40_blend,MomVol,240,-0.17497901839846486
return_first_60_40_blend,Mom12mOffSeason,240,-0.17544568844904596
return_first_60_40_blend,Mom6mJunk,240,-0.17692612270826005
return_first_60_40_blend,BPEBM,240,0.1787636954703772
return_first_60_40_blend,ChInvIA,240,0.17991361906486505
return_first_60_40_blend,ReturnSkew3F,240,-0.1799605854774287
return_first_60_40_blend,EarningsConsistency,240,-0.18073900862912806
return_first_60_40_blend,DelCOA,240,-0.18158902153348008
return_first_60_40_blend,BetaLiquidityPS,240,0.1834872352459059
return_first_60_40_blend,retConglomerate,240,-0.18362230568947158
return_first_60_40_blend,OptionVolume1,225,-0.18373836167706598
return_first_60_40_blend,DelCOL,240,-0.18714752135442522
return_first_60_40_blend,Leverage,240,-0.18727261680608281
return_first_60_40_blend,ReturnSkew,240,-0.1886606762387365
return_first_60_40_blend,IntanSP,240,0.19160120204166914
return_first_60_40_blend,NetPayoutYield,240,-0.19221540498407647
return_first_60_40_blend,ChNAnalyst,240,-0.19368047609696903
return_first_60_40_blend,sinAlgo,240,0.19450842176800046
return_first_60_40_blend,ShareRepurchase,240,-0.20140746079250904
return_first_60_40_blend,PredictedFE,240,-0.20140806887638757
return_first_60_40_blend,FEPS,240,-0.202539572822959
return_first_60_40_blend,ExchSwitch,240,-0.20274099743677723
return_first_60_40_blend,AM,240,-0.20352708598643887
return_first_60_40_blend,IndMom,240,0.20850299100263966
return_first_60_40_blend,XFIN,240,-0.21003796184070334
return_first_60_40_blend,SmileSlope,217,-0.21136240188701208
return_first_60_40_blend,dVolPut,217,-0.21223482012189912
return_first_60_40_blend,OperProfRD,240,-0.21434275168882208
return_first_60_40_blend,roaq,240,-0.21829871690468636
return_first_60_40_blend,PctAcc,240,0.22206883987077233
return_first_60_40_blend,OperProf,240,-0.22527445071900998
return_first_60_40_blend,DelLTI,240,0.22845562203289313
return_first_60_40_blend,BookLeverage,240,0.2297845116302131
return_first_60_40_blend,RoE,240,-0.23713695466874365
return_first_60_40_blend,DivYieldST,240,-0.23739838967148255
return_first_60_40_blend,AnnouncementReturn,240,-0.24166380339856522
return_first_60_40_blend,Price,240,0.24850556278279642
return_first_60_40_blend,ShareIss5Y,240,-0.2615705756587141
return_first_60_40_blend,dVolCall,217,0.2823681876275567
return_first_60_40_blend,NetEquityFinance,240,-0.283167525884958
return_first_60_40_blend,STreversal,240,0.2834229105641345
return_first_60_40_blend,CredRatDG,240,-0.28972705193864867
return_first_60_40_blend,PriceDelayRsq,236,-0.2931331465431573
return_first_60_40_blend,Recomm_ShortInterest,240,-0.3013851607045109
return_first_60_40_blend,DelNetFin,240,-0.30266550488912847
return_first_60_40_blend,ShareIss1Y,240,-0.3026989491773673
return_first_60_40_blend,AbnormalAccruals,240,0.3064661499485996
return_first_60_40_blend,VolumeTrend,240,-0.3102306722736911
return_first_60_40_blend,PriceDelayTstat,236,-0.3219138411004773
return_first_60_40_blend,PriceDelaySlope,236,-0.32416271094234206
return_first_60_40_blend,FirmAge,240,0.3321140129253352
return_first_60_40_blend,RDcap,240,0.3329077027163821
return_first_60_40_blend,ShareVol,240,-0.36739003881685556
return_first_60_40_blend,VarCF,240,-0.3737403231330769
return_first_60_40_blend,DolVol,240,-0.38531682489427105
return_first_60_40_blend,OPLeverage,240,0.3982111759186356
return_first_60_40_blend,AgeIPO,240,0.4066239959137369
return_first_60_40_blend,ProbInformedTrading,108,-0.4082121327226022
return_first_60_40_blend,AOP,240,-0.41269938053507715
return_first_60_40_blend,High52,240,-0.42218010197765315
return_first_60_40_blend,fgr5yrLag,240,-0.43528681621052323
return_first_60_40_blend,FR,240,-0.4412850111753783
return_first_60_40_blend,ForecastDispersion,240,-0.4455693518179674
return_first_60_40_blend,Illiquidity,240,-0.45995844158566734
return_first_60_40_blend,BidAskSpread,240,0.47121684630758626
return_first_60_40_blend,ExclExp,240,-0.47901723689141595
return_first_60_40_blend,ShortInterest,240,-0.48900648955917786
return_first_60_40_blend,IdioVolAHT,240,-0.4904429419534568
return_first_60_40_blend,ConvDebt,240,-0.490808143038628
return_first_60_40_blend,IdioVol3F,240,-0.5125808731085831
return_first_60_40_blend,std_turn,240,-0.5136427841509954
return_first_60_40_blend,RealizedVol,240,-0.5601567428883041
return_first_60_40_blend,zerotrade1M,240,-0.5767945490526003
return_first_60_40_blend,VolSD,240,-0.5811673850806458
return_first_60_40_blend,MaxRet,240,-0.5835185219895098
return_first_60_40_blend,zerotrade6M,240,-0.5859944547045771
return_first_60_40_blend,zerotrade12M,240,-0.5891709202481836
return_first_60_40_blend,BetaTailRisk,240,0.5930532380775586
return_first_60_40_blend,BetaFP,240,0.6200286587143214
return_first_60_40_blend,VolMkt,240,-0.6411417677563317
return_first_60_40_blend,Beta,240,0.6516305057965688
past_only_consensus_selector,HerfBE,240,-0.0004137116079445919
past_only_consensus_selector,DelDRC,240,-0.0030313125606071544
past_only_consensus_selector,MomOffSeason16YrPlus,240,-0.004200700321929759
past_only_consensus_selector,grcapx3y,240,0.007282284643085026
past_only_consensus_selector,IO_ShortInterest,240,-0.007901873526338069
past_only_consensus_selector,EarnSupBig,240,0.012396158721852447
past_only_consensus_selector,betaVIX,240,-0.012491198672955025
past_only_consensus_selector,AssetGrowth,240,0.01607199459189845
past_only_consensus_selector,EBM,240,0.016857813916313275
past_only_consensus_selector,realestate,240,0.017049352463218675
past_only_consensus_selector,MomSeason06YrPlus,240,-0.01877286351987494
past_only_consensus_selector,ChForecastAccrual,240,0.020769702128926613
past_only_consensus_selector,PctTotAcc,240,-0.02313842276523804
past_only_consensus_selector,TrendFactor,240,-0.023990076114896904
past_only_consensus_selector,MRreversal,240,0.02490740669825626
past_only_consensus_selector,OScore,240,-0.026830577671211893
past_only_consensus_selector,Tax,240,-0.02938812340043553
past_only_consensus_selector,EarningsForecastDisparity,240,-0.02973422582071834
past_only_consensus_selector,ChNWC,240,-0.030241188978170498
past_only_consensus_selector,OrgCap,240,-0.030287212995095653
past_only_consensus_selector,dCPVolSpread,217,-0.03231646755420209
past_only_consensus_selector,MomSeason16YrPlus,240,-0.033421541640075714
past_only_consensus_selector,MomSeason,240,-0.03450306515905738
past_only_consensus_selector,iomom_cust,240,-0.03555961602448202
past_only_consensus_selector,AccrualsBM,240,0.03758673817337707
past_only_consensus_selector,ChTax,240,0.03968713416031768
past_only_consensus_selector,GrSaleToGrInv,240,-0.03974796512484889
past_only_consensus_selector,HerfAsset,240,0.039888508032601244
past_only_consensus_selector,Herf,240,0.04027933127410355
past_only_consensus_selector,RIO_Volatility,240,-0.04239680720831198
past_only_consensus_selector,EarningsStreak,240,0.04289470017064747
past_only_consensus_selector,Size,240,-0.043048286663825076
past_only_consensus_selector,RIO_Disp,240,0.04445202434110126
past_only_consensus_selector,DebtIssuance,240,-0.044926434813165196
past_only_consensus_selector,EarningsSurprise,240,-0.046585825371389326
past_only_consensus_selector,CashProd,240,-0.048121998399625304
past_only_consensus_selector,PayoutYield,240,0.048354550411082574
past_only_consensus_selector,MomSeason11YrPlus,240,0.04868041854522077
past_only_consensus_selector,Frontier,240,0.0514281307742962
past_only_consensus_selector,SP,240,0.052230394082543846
past_only_consensus_selector,NOA,240,-0.0528308922533208
past_only_consensus_selector,CitationsRD,240,0.054146528483111515
past_only_consensus_selector,dNoa,240,-0.0552791863408971
past_only_consensus_selector,RDIPO,240,-0.05695994529368185
past_only_consensus_selector,IntanEP,240,-0.05829087897322663
past_only_consensus_selector,MomOffSeason06YrPlus,240,0.05956711734769672
past_only_consensus_selector,DivOmit,239,0.061357874961193076
past_only_consensus_selector,DelBreadth,240,-0.062078588365162585
past_only_consensus_selector,ChNNCOA,240,-0.06242284438127054
past_only_consensus_selector,ChangeInRecommendation,240,-0.06333607960945169
past_only_consensus_selector,GP,240,0.06350734979240463
past_only_consensus_selector,MomOffSeason11YrPlus,240,-0.06394803100647747
past_only_consensus_selector,DivSeason,240,-0.06573688957242975
past_only_consensus_selector,IntanBM,240,0.06838707702081913
past_only_consensus_selector,ConsRecomm,240,-0.07022490300081134
past_only_consensus_selector,SurpriseRD,240,0.07259128409103101
past_only_consensus_selector,GrSaleToGrOverhead,240,0.07333445818388554
past_only_consensus_selector,IndIPO,240,0.08053716610926125
past_only_consensus_selector,PatentsRD,117,-0.08060806862973473
past_only_consensus_selector,RDAbility,240,0.08094837800384212
past_only_consensus_selector,ChAssetTurnover,240,0.0816852352784545
past_only_consensus_selector,CustomerMomentum,240,-0.08404035386794437
past_only_consensus_selector,BM,240,0.08460314542937503
past_only_consensus_selector,skew1,217,0.08615735545484991
past_only_consensus_selector,grcapx,240,-0.0871520888996398
past_only_consensus_selector,CF,240,-0.08734589070898979
past_only_consensus_selector,OrderBacklog,240,0.08746411988035654
past_only_consensus_selector,Coskewness,240,0.08783279128770832
past_only_consensus_selector,RIO_MB,240,0.09054010629777315
past_only_consensus_selector,DelEqu,240,0.09130596574850942
past_only_consensus_selector,UpRecomm,240,-0.09164986187986908
past_only_consensus_selector,IntMom,240,-0.09250167792061147
past_only_consensus_selector,OrderBacklogChg,240,0.09457997961186931
past_only_consensus_selector,GrLTNOA,240,0.0962725502041708
past_only_consensus_selector,EntMult,240,-0.0963433113764967
past_only_consensus_selector,BrandInvest,240,0.09673872714248244
past_only_consensus_selector,CompEquIss,240,0.09735983064909332
past_only_consensus_selector,ChEQ,240,0.09801207130736496
past_only_consensus_selector,MS,240,-0.10002667136311365
past_only_consensus_selector,AnalystRevision,240,-0.10488860900852648
past_only_consensus_selector,Investment,240,0.10564909978712451
past_only_consensus_selector,hire,240,-0.10797384131306612
past_only_consensus_selector,DownRecomm,240,-0.11052015716505136
past_only_consensus_selector,MeanRankRevGrowth,240,0.11344013608145545
past_only_consensus_selector,MomRev,240,-0.11355713102127511
past_only_consensus_selector,RIO_Turnover,240,-0.11406306492087608
past_only_consensus_selector,MomOffSeason,240,0.11469916181121945
past_only_consensus_selector,InvGrowth,240,-0.11538065254898464
past_only_consensus_selector,IntanCFP,240,0.11603546120929048
past_only_consensus_selector,DelFINL,240,-0.11628167506814624
past_only_consensus_selector,AnalystValue,240,-0.12007344171592202
past_only_consensus_selector,PS,240,-0.1209127547876212
past_only_consensus_selector,NetDebtFinance,240,-0.12259934478295202
past_only_consensus_selector,BMdec,240,-0.12508622015340318
past_only_consensus_selector,InvestPPEInv,240,-0.12847144824648332
past_only_consensus_selector,iomom_supp,240,-0.13179835063175893
past_only_consensus_selector,RIVolSpread,217,-0.13327548647092036
past_only_consensus_selector,ChInv,240,-0.13380940704124786
past_only_consensus_selector,cfp,240,-0.13447329930776272
past_only_consensus_selector,CoskewACX,240,0.13769777602897842
past_only_consensus_selector,DivInit,240,-0.13855128546093232
past_only_consensus_selector,ExchSwitch,240,-0.13891455118598658
past_only_consensus_selector,Cash,240,0.13975386425418107
past_only_consensus_selector,GrAdExp,240,-0.13991031818042568
past_only_consensus_selector,IndRetBig,240,-0.14042146636734248
past_only_consensus_selector,Spinoff,240,0.14254615900636713
past_only_consensus_selector,NumEarnIncrease,240,-0.1442016190332082
past_only_consensus_selector,MomSeasonShort,240,-0.14457388375283947
past_only_consensus_selector,ResidualMomentum,240,-0.1458458577140352
past_only_consensus_selector,RDS,240,0.14595828207341963
past_only_consensus_selector,Accruals,240,0.14648358677061077
past_only_consensus_selector,REV6,240,-0.14693087808008695
past_only_consensus_selector,tang,240,0.1469352540693387
past_only_consensus_selector,CompositeDebtIssuance,240,-0.14976204634177895
past_only_consensus_selector,OptionVolume1,225,-0.15057390860021458
past_only_consensus_selector,CPVolSpread,217,-0.1551472138902657
past_only_consensus_selector,NetDebtPrice,240,-0.1606415522761276
past_only_consensus_selector,IndMom,240,0.16200738713063162
past_only_consensus_selector,EP,240,0.1658309416839466
past_only_consensus_selector,Leverage,240,-0.1688876199333386
past_only_consensus_selector,EquityDuration,240,-0.1691075939084675
past_only_consensus_selector,RevenueSurprise,240,-0.16936719915822598
past_only_consensus_selector,DelCOA,240,-0.16957060868869653
past_only_consensus_selector,sinAlgo,240,0.17210615588938424
past_only_consensus_selector,DelCOL,240,-0.17440042968926583
past_only_consensus_selector,CBOperProf,240,-0.17559536184576283
past_only_consensus_selector,PredictedFE,240,-0.17667484888571916
past_only_consensus_selector,RD,240,0.17833725900076608
past_only_consensus_selector,Mom6mJunk,240,-0.17961494877667047
past_only_consensus_selector,Mom6m,240,-0.17992408972137067
past_only_consensus_selector,FirmAgeMom,240,-0.18008288002648853
past_only_consensus_selector,Mom12m,240,-0.18076762545095718
past_only_consensus_selector,Mom12mOffSeason,240,-0.18126394113532307
past_only_consensus_selector,ChInvIA,240,0.18201648389356026
past_only_consensus_selector,AM,240,-0.1840149529447852
past_only_consensus_selector,SmileSlope,217,-0.18682667718370732
past_only_consensus_selector,ChNAnalyst,240,-0.1868418703125996
past_only_consensus_selector,sfe,240,-0.18972645757639164
past_only_consensus_selector,OptionVolume2,225,0.1898359397309709
past_only_consensus_selector,AdExp,240,0.19194945090396945
past_only_consensus_selector,TotalAccruals,240,0.19344031524946456
past_only_consensus_selector,LRreversal,240,0.19694195891534785
past_only_consensus_selector,retConglomerate,240,-0.19694495555582087
past_only_consensus_selector,MomVol,240,-0.197402337494993
past_only_consensus_selector,BetaLiquidityPS,240,0.19854206746502592
past_only_consensus_selector,ReturnSkew3F,240,-0.1987798347162686
past_only_consensus_selector,NetPayoutYield,240,-0.19907767939394214
past_only_consensus_selector,BPEBM,240,0.19993121932885008
past_only_consensus_selector,ReturnSkew,240,-0.203872348179682
past_only_consensus_selector,DelLTI,240,0.20558376702057146
past_only_consensus_selector,dVolPut,217,-0.21675142717541013
past_only_consensus_selector,XFIN,240,-0.21874440884208787
past_only_consensus_selector,ShareRepurchase,240,-0.21924915296945696
past_only_consensus_selector,FEPS,240,-0.21961060129352145
past_only_consensus_selector,BookLeverage,240,0.22064786647757412
past_only_consensus_selector,EarningsConsistency,240,-0.2240116823346729
past_only_consensus_selector,IntanSP,240,0.22841484019893907
past_only_consensus_selector,OperProfRD,240,-0.23445320910783907
past_only_consensus_selector,DivYieldST,240,-0.23453486781230942
past_only_consensus_selector,PctAcc,240,0.23682772521208562
past_only_consensus_selector,roaq,240,-0.24405038076665062
past_only_consensus_selector,PriceDelayRsq,236,-0.24873914054771395
past_only_consensus_selector,OperProf,240,-0.24898090232326034
past_only_consensus_selector,RoE,240,-0.25148139732706004
past_only_consensus_selector,AnnouncementReturn,240,-0.2552693901690339
past_only_consensus_selector,ShareIss5Y,240,-0.27591121739860597
past_only_consensus_selector,Price,240,0.2793665275660847
past_only_consensus_selector,STreversal,240,0.283810597273797
past_only_consensus_selector,DelNetFin,240,-0.28601557077039497
past_only_consensus_selector,PriceDelayTstat,236,-0.2910808231967871
past_only_consensus_selector,PriceDelaySlope,236,-0.2927890975611658
past_only_consensus_selector,dVolCall,217,0.2928791117689077
past_only_consensus_selector,CredRatDG,240,-0.2953644065293889
past_only_consensus_selector,NetEquityFinance,240,-0.29979020534847767
past_only_consensus_selector,VolumeTrend,240,-0.3006919860340283
past_only_consensus_selector,Recomm_ShortInterest,240,-0.30105057676711283
past_only_consensus_selector,ShareIss1Y,240,-0.3151725645995874
past_only_consensus_selector,FirmAge,240,0.3244851869738558
past_only_consensus_selector,AbnormalAccruals,240,0.33224768201844923
past_only_consensus_selector,RDcap,240,0.3434397914893331
past_only_consensus_selector,DolVol,240,-0.35602469875724013
past_only_consensus_selector,ShareVol,240,-0.37508124432993556
past_only_consensus_selector,AOP,240,-0.3803877211924098
past_only_consensus_selector,AgeIPO,240,0.3956465655483394
past_only_consensus_selector,VarCF,240,-0.40088448169236834
past_only_consensus_selector,fgr5yrLag,240,-0.407980982341073
past_only_consensus_selector,OPLeverage,240,0.40966583577246474
past_only_consensus_selector,ProbInformedTrading,108,-0.41487981298683146
past_only_consensus_selector,Illiquidity,240,-0.4309311031638293
past_only_consensus_selector,FR,240,-0.43386507729545337
past_only_consensus_selector,High52,240,-0.440339997762834
past_only_consensus_selector,ExclExp,240,-0.45338112682082243
past_only_consensus_selector,ForecastDispersion,240,-0.45991537148954253
past_only_consensus_selector,ConvDebt,240,-0.4784620275602861
