portfolio,reason
improved_phase5_stock_breadth_neutral_risk_on,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
improved_phase5_broad_stock_bull_aggressive,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
improved_phase5_narrow_bull_caution_overlay,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
improved_phase5_recovery_stock_breadth_rerisk,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
improved_phase5_stock_breadth_aggression_score,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
