signal,active_weeks,active_frequency,active_states,survivorship_bias_flag,reason
broad_stock_bull_confirmed,0,0.0,,NO_STOCK_PANEL_BUILT,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
narrow_bull_warning,0,0.0,,NO_STOCK_PANEL_BUILT,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
neutral_stock_risk_on,0,0.0,,NO_STOCK_PANEL_BUILT,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
neutral_stock_chop_warning,0,0.0,,NO_STOCK_PANEL_BUILT,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
recovery_stock_confirmed,0,0.0,,NO_STOCK_PANEL_BUILT,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
fake_recovery_warning,0,0.0,,NO_STOCK_PANEL_BUILT,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
broad_vs_narrow_bull_quality_score,0,0.0,,NO_STOCK_PANEL_BUILT,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
