candidate_name,candidate_kind,research_status,parent_candidate,source_script,created_at_utc,hypothesis,parameters,success_criteria,kill_criteria,promotion_status,verdict,gate_score,verdict_reason
track_c_residual_xsmom_top5,standalone_sleeve,research_only,none,scripts/track_c_new_alpha/run_track_c_research.py,2026-06-13T20:05:16.087004+00:00,Residual momentum may select ETFs with less broad-market beta than raw ETF momentum.,"{""positive_only"": true, ""signal_column"": ""residual_mom_score_tradable"", ""signal_file"": ""signal_residual_momentum.csv"", ""top_n"": 5, ""unallocated_weight"": ""BIL""}","Positive beta-adjusted residual, reasonable turnover, and lower correlation to Track A/current sleeves.","Reject if weak standalone return, high beta explanation, or high overlap with existing trend sleeves.",not_eligible_track_c_research_only,rejected,7,failed standalone sanity gate
track_c_vol_managed_residual_xsmom_top5,standalone_sleeve,research_only,none,scripts/track_c_new_alpha/run_track_c_research.py,2026-06-13T20:05:16.087004+00:00,Volatility scaling may keep residual momentum exposure while reducing tail losses.,"{""base"": ""track_c_residual_xsmom_top5"", ""risky_scale"": {""vol_18_to_25pct"": 0.8, ""vol_gt_25pct"": 0.6, ""vol_le_18pct"": 1.0}, ""spy_realized_vol_13w"": true, ""unallocated_weight"": ""BIL""}",Better Sharpe/CVaR than unscaled residual momentum and positive beta-adjusted residual.,"Reject if return is destroyed, no tail improvement appears, or improvement is only lower beta.",not_eligible_track_c_research_only,diagnostic_only,8,standalone sanity gate passed; eligible for small Track A overlay
track_c_carry_value_top5,standalone_sleeve,research_only,none,scripts/track_c_new_alpha/run_track_c_research.py,2026-06-13T20:05:16.087004+00:00,Carry plus value may diversify price momentum if ETF proxy data are usable.,"{""blend"": ""50_50"", ""positive_only"": true, ""signal_columns"": [""carry_score_tradable"", ""value_score_tradable""], ""signal_files"": [""signal_carry.csv"", ""signal_value.csv""], ""top_n"": 5, ""unallocated_weight"": ""BIL""}",Low Track A correlation and positive beta-adjusted residual.,"Reject if IC/return is weak, if the sleeve is just defensive/cash tilt, or if costs dominate.",not_eligible_track_c_research_only,rejected,6,failed standalone sanity gate
track_c_neutral_reversal_top5,standalone_sleeve,research_only,none,scripts/track_c_new_alpha/run_track_c_research.py,2026-06-13T20:05:16.087004+00:00,Four-week reversal may help in choppy neutral/reversal-friendly regimes.,"{""active_when"": [""market_state == neutral_mixed"", ""signal_environment == reversal_friendly""], ""inactive_weight"": ""BIL"", ""positive_only"": true, ""signal_column"": ""reversal_4w_score_tradable"", ""signal_file"": ""signal_reversal.csv"", ""top_n"": 5}",Positive neutral-state contribution after 2x costs.,"Reject if turnover is high, full-period result is negative, or stress/recovery behavior is unstable.",not_eligible_track_c_research_only,rejected,4,failed standalone sanity gate
track_c_hyg_lqd_pair_mean_reversion,standalone_sleeve,research_only,none,scripts/track_c_new_alpha/run_track_c_research.py,2026-06-13T20:05:16.087004+00:00,The existing HYG/LQD pair diagnostic may provide equity-light credit relative-value exposure.,"{""missing_or_zero_weight"": ""BIL"", ""negative_signal_weight"": ""LQD"", ""positive_signal_weight"": ""HYG"", ""signal_file"": ""signal_r4_pair_hyg_lqd.csv""}","Positive standalone residual, low correlation, and tolerable turnover.","Reject if holdout is poor, signal is unstable, or cost sensitivity is weak.",not_eligible_track_c_research_only,rejected,7,failed standalone sanity gate
track_c_canary_breadth_timing,standalone_sleeve,research_only,none,scripts/track_c_new_alpha/run_track_c_research.py,2026-06-13T20:05:16.087004+00:00,Continuous canary/breadth timing may improve risk-on/off quality without a Track B cash-cap overlay.,"{""mixed_weights"": {""BIL"": 0.3, ""IEF"": 0.35, ""SPY"": 0.35}, ""score_inputs"": [""canary_breadth_default"", ""canary_breadth_pair"", ""breadth_sma_43"", ""breadth_26w_mom"", ""market_trend_positive""], ""strong_score_threshold"": 0.67, ""strong_weights"": {""IEF"": 0.4, ""SPY"": 0.6}, ""weak_or_stress_weights"": {""BIL"": 0.7, ""IEF"": 0.3}, ""weak_score_threshold"": 0.33}",Drawdown/CVaR improvement or return lift with positive beta/cash-adjusted residual.,"Reject if it only lowers BIL/cash drag, fails stressed-panic behavior, or is dominated by simple TAA.",not_eligible_track_c_research_only,diagnostic_only,8,standalone sanity gate passed; eligible for small Track A overlay
track_c_track_a_plus_vol_managed_residual_xsmom_top5_05,blend,research_only,track_c_vol_managed_residual_xsmom_top5,scripts/track_c_new_alpha/run_track_c_research.py,2026-06-13T20:05:16.087004+00:00,Blend 5% of track_c_vol_managed_residual_xsmom_top5 into Track A funded proportionally.,"{""funding"": ""proportional_from_track_a"", ""overlay_weight"": 0.05, ""parent_parameters"": {""base"": ""track_c_residual_xsmom_top5"", ""risky_scale"": {""vol_18_to_25pct"": 0.8, ""vol_gt_25pct"": 0.6, ""vol_le_18pct"": 1.0}, ""spy_realized_vol_13w"": true, ""unallocated_weight"": ""BIL""}}",Pass Track C blend gates without production promotion.,"Reject if improvement is noise, beta/cash-drag, or fails cost/drawdown gates.",not_eligible_track_c_research_only,diagnostic_only,6,some improvement but failed enough Track C watchlist gates
track_c_track_a_plus_vol_managed_residual_xsmom_top5_10,blend,research_only,track_c_vol_managed_residual_xsmom_top5,scripts/track_c_new_alpha/run_track_c_research.py,2026-06-13T20:05:16.087004+00:00,Blend 10% of track_c_vol_managed_residual_xsmom_top5 into Track A funded proportionally.,"{""funding"": ""proportional_from_track_a"", ""overlay_weight"": 0.1, ""parent_parameters"": {""base"": ""track_c_residual_xsmom_top5"", ""risky_scale"": {""vol_18_to_25pct"": 0.8, ""vol_gt_25pct"": 0.6, ""vol_le_18pct"": 1.0}, ""spy_realized_vol_13w"": true, ""unallocated_weight"": ""BIL""}}",Pass Track C blend gates without production promotion.,"Reject if improvement is noise, beta/cash-drag, or fails cost/drawdown gates.",not_eligible_track_c_research_only,diagnostic_only,5,some improvement but failed enough Track C watchlist gates
track_c_track_a_plus_vol_managed_residual_xsmom_top5_15,blend,research_only,track_c_vol_managed_residual_xsmom_top5,scripts/track_c_new_alpha/run_track_c_research.py,2026-06-13T20:05:16.087004+00:00,Blend 15% of track_c_vol_managed_residual_xsmom_top5 into Track A funded proportionally.,"{""funding"": ""proportional_from_track_a"", ""overlay_weight"": 0.15, ""parent_parameters"": {""base"": ""track_c_residual_xsmom_top5"", ""risky_scale"": {""vol_18_to_25pct"": 0.8, ""vol_gt_25pct"": 0.6, ""vol_le_18pct"": 1.0}, ""spy_realized_vol_13w"": true, ""unallocated_weight"": ""BIL""}}",Pass Track C blend gates without production promotion.,"Reject if improvement is noise, beta/cash-drag, or fails cost/drawdown gates.",not_eligible_track_c_research_only,diagnostic_only,5,some improvement but failed enough Track C watchlist gates
track_c_track_a_plus_canary_breadth_timing_05,blend,research_only,track_c_canary_breadth_timing,scripts/track_c_new_alpha/run_track_c_research.py,2026-06-13T20:05:16.087004+00:00,Blend 5% of track_c_canary_breadth_timing into Track A funded proportionally.,"{""funding"": ""proportional_from_track_a"", ""overlay_weight"": 0.05, ""parent_parameters"": {""mixed_weights"": {""BIL"": 0.3, ""IEF"": 0.35, ""SPY"": 0.35}, ""score_inputs"": [""canary_breadth_default"", ""canary_breadth_pair"", ""breadth_sma_43"", ""breadth_26w_mom"", ""market_trend_positive""], ""strong_score_threshold"": 0.67, ""strong_weights"": {""IEF"": 0.4, ""SPY"": 0.6}, ""weak_or_stress_weights"": {""BIL"": 0.7, ""IEF"": 0.3}, ""weak_score_threshold"": 0.33}}",Pass Track C blend gates without production promotion.,"Reject if improvement is noise, beta/cash-drag, or fails cost/drawdown gates.",not_eligible_track_c_research_only,diagnostic_only,6,some improvement but failed enough Track C watchlist gates
