name,kind,research_status,ann_return,cagr,arithmetic_ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,var_5,cvar_5,hit_rate,avg_weekly_turnover,annualized_turnover,annualized_cost,avg_BIL,avg_cash,avg_SPY,avg_offense,avg_defense,avg_equity,max_single_etf_weight,spy_beta,ief_beta,holdout_ann_return,holdout_ann_vol,holdout_sharpe,holdout_max_drawdown,holdout_cvar_5,psr_zero_benchmark,dsr_proxy_trial_adjusted,multiple_testing_adjusted_support,delta_ann_return_vs_track_a,delta_sharpe_vs_track_a,delta_max_drawdown_vs_track_a,delta_cvar_5_vs_track_a,delta_avg_BIL_vs_track_a,delta_avg_offense_vs_track_a,delta_avg_equity_vs_track_a,delta_spy_beta_vs_track_a,reference_group
track_a_production,benchmark,benchmark,0.0713416943193356,0.0713416943193356,0.0717902892347894,0.0752346635453411,0.9482556438408296,1.1760208459590558,-0.1160345788576096,0.6148313289168892,-0.0155902506165986,-0.0249479288573999,0.554954954954955,0.0673878026565274,3.504165738139426,0.003501008832069,0.2760603191777339,0.2760603191777339,0.0591204571328415,0.4071589121100213,0.5538413396660851,0.2949097764144238,1.0,0.2402307404895325,0.2264512802715013,0.1790929966410082,0.0822061025666811,2.1785851785849797,-0.0728525894861894,-0.0230007982838633,0.9999884322172492,0.7292051615110012,0.9552442485371596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,track_b_benchmark
spy_buy_hold,benchmark,benchmark,0.1053309083209206,0.1053309083209206,0.1158355572829926,0.1756583790204355,0.5996349784638896,0.7416958654276199,-0.5461301944883752,0.192867761907207,-0.0366440005038341,-0.0580042680963308,0.5693693693693693,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0000000000000002,-0.5758525837045934,0.1855792630947923,0.152125861561158,1.219906077706487,-0.1687715286128895,-0.0394164915045292,0.998307507793322,0.2446498723121814,0.0,0.0339892140015849,-0.34862066537694,-0.4300956156307656,-0.0330563392389308,-0.2760603191777339,0.5928410878899787,0.7050902235855762,0.7597692595104677,track_b_benchmark
static_60_spy_40_ief,benchmark,benchmark,0.0808715342017853,0.0808715342017853,0.083167236875418,0.1030775478993192,0.7845698297050728,0.9717795002470628,-0.3138361944792655,0.2576870852515018,-0.0206863515924316,-0.0327314171603643,0.5882882882882883,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3999999999999999,0.6,0.6,0.5690153369570102,0.0544884497772439,0.1366959907838179,0.0920537561957855,1.4849583160200934,-0.0902440387290136,-0.0226278756232606,0.9997910855024406,0.4628368364623394,0.1917098089425166,0.0095298398824497,-0.1636858141357567,-0.1978016156216558,-0.0077834883029643,-0.2760603191777339,0.1928410878899786,0.3050902235855761,0.3287845964674777,track_b_benchmark
static_80_spy_20_bil,benchmark,benchmark,0.0887286546567402,0.0887286546567402,0.0950154197154351,0.1404121811576448,0.6319156495199091,0.7814051798274498,-0.4584235979392665,0.1935516737262189,-0.0292634634852617,-0.0463309011825408,0.5711711711711712,0.0,0.0,0.0,0.1999999999999999,0.1999999999999999,0.7999999999999998,0.7999999999999998,0.1999999999999999,0.7999999999999998,0.8,0.7993384969832923,-0.4600019772816942,0.1578484682965091,0.121723578052642,1.296778083768159,-0.1357014419829991,-0.0313492147269018,0.9986635095762704,0.2680210484827727,0.0,0.0173869603374046,-0.3163399943209205,-0.342389019081657,-0.0213829723251409,-0.0760603191777339,0.3928410878899785,0.505090223585576,0.5591077564937598,track_b_benchmark
aggressive_taa_spy_trend,benchmark,benchmark,0.09237202193182,0.09237202193182,0.0963261017494126,0.1253582216094161,0.7368644891886504,0.961624482643421,-0.3624634651518951,0.2548450556061156,-0.0262600441115707,-0.0406955870096477,0.5738738738738739,0.0414788097385031,2.156898106402164,0.0021549549549549,0.1653153153153153,0.1653153153153153,0.8346846846846847,0.8346846846846847,0.1653153153153153,0.8346846846846847,1.0,0.6719788291432904,-0.4308119682588942,0.1835258129422483,0.1189919543729301,1.542338000156414,-0.0973544668420006,-0.0294403003609211,0.9996778922294488,0.4170029099014064,0.0,0.0210303276124843,-0.2113911546521791,-0.2464288862942855,-0.0157476581522478,-0.1107450038624185,0.4275257725746634,0.5397749082702609,0.4317480886537579,track_b_benchmark
dual_momentum_top1,benchmark,benchmark,0.0561920147561456,0.0561920147561456,0.0714277315521118,0.1825298972167698,0.3078510184521325,0.4287855336412676,-0.3964845067882443,0.1417256255769834,-0.041195460703989,-0.0578605713762824,0.5225225225225225,0.1992786293958521,10.36248872858431,0.0103531531531531,0.0513513513513513,0.0513513513513513,0.018018018018018,0.6027027027027027,0.3972972972972973,0.6027027027027027,1.0,0.3380573284435818,0.2303985722820436,0.2038862540372155,0.1904920046554028,1.07031397147635,-0.1621881092015739,-0.0524020126569232,0.9633333546283788,0.0335430010927448,0.0,-0.01514967956319,-0.640404625388697,-0.2804499279306347,-0.0329126425188824,-0.2247089678263825,0.1955437905926813,0.3077929262882788,0.0978265879540492,track_b_benchmark
static_global_growth_90_10,benchmark,benchmark,0.1049740918958819,0.1049740918958819,0.1134632874539147,0.1639798182130185,0.640164704656002,0.8068865912338329,-0.4987412312805396,0.2104780702135983,-0.0341393106505612,-0.0538055438601724,0.5828828828828829,0.0,0.0,0.0,0.0499999999999999,0.0499999999999999,0.4500000000000001,0.9000000000000002,0.0999999999999999,0.9000000000000002,0.45,0.92044538637332,-0.5117891383368117,0.2011446388507389,0.1431415933820534,1.4052144739919998,-0.1498443853922507,-0.03783110699805,0.9989953377092852,0.2970176026308404,0.0,0.0336323975765462,-0.3080909391848276,-0.38270665242293,-0.0288576150027724,-0.2260603191777339,0.4928410878899789,0.6050902235855764,0.6802146458837874,track_b_benchmark
track_b_aggressive_cash10_offense20,candidate,research_only,0.0766946418532494,0.0766946418532494,0.0777594916003333,0.087231171384028,0.8792114176205162,1.1273539301382405,-0.1205316727208036,0.6363028083987757,-0.0193869941383507,-0.0292311162644442,0.5945945945945946,0.0774296799718556,4.026343358536491,0.0040227160221774,0.1453834937302084,0.1453834937302084,0.1018398403397626,0.5441378578983215,0.4176469113109038,0.4116846616254772,1.0,0.2979568851712453,0.1936729842044792,0.1841489974632149,0.0863840800926591,2.1317469291296396,-0.0758722845927175,-0.0245319306207306,0.9999639113511056,0.635758345956423,0.8603730174272438,0.0053529475339137,-0.0690442262203133,-0.004497093863194,-0.0042831874070443,-0.1306768254475254,0.1369789457883001,0.1167748852110533,0.0577261446817127,track_b_shortlist
track_b_aggressive_vol_throttled,candidate,research_only,0.0769120604382354,0.0769120604382354,0.0779445773042289,0.0870408248353916,0.8836320265081193,1.13664610448794,-0.1203604580554948,0.6390143547208283,-0.0193869941383507,-0.0291000049446668,0.5954954954954955,0.0770118331235589,4.004615322425064,0.0040010075608733,0.1464311446311019,0.1464311446311019,0.1017643746383708,0.543079697941275,0.4187029609147565,0.4112304977531247,1.0,0.29675693894869,0.1952276886126538,0.1838260733493519,0.0863580980714101,2.128648933390646,-0.0758722845927177,-0.0245319306207306,0.9999669533985746,0.6435933198078841,0.8721426990849493,0.0055703661188997,-0.0646236173327102,-0.0043258791978852,-0.0041520760872668,-0.1296291745466319,0.1359207858312536,0.1163207213387009,0.0565261984591574,track_b_shortlist
track_b_aggressive_turnover_banded,candidate,research_only,0.0764865544645858,0.0764865544645858,0.0773911689790688,0.0852163883437651,0.8975568661281103,1.1559069954815997,-0.1173305240103459,0.6518896519872479,-0.0190079471115681,-0.0284183696195769,0.5954954954954955,0.0717741555558405,3.732256088903709,0.0037288936960308,0.1598860974091369,0.1598860974091369,0.0980798751238263,0.5252927653352734,0.4358092113599515,0.3967806792696061,1.0,0.2895637917151079,0.2000369679922459,0.1842183591150121,0.084662085743652,2.175925120399303,-0.0745956118067475,-0.0238947147437114,0.9999736185381958,0.6631919665087592,0.8979301242794506,0.0051448601452501,-0.0506987777127193,-0.0012959451527363,-0.003470440762177,-0.1161742217685969,0.118133853225252,0.1018709028551823,0.0493330512255753,track_b_shortlist
