Date,track_c_track_a_plus_vol_managed_residual_xsmom_top5_05,track_c_track_a_plus_vol_managed_residual_xsmom_top5_10,track_c_track_a_plus_vol_managed_residual_xsmom_top5_15,track_c_track_a_plus_canary_breadth_timing_05,track_c_track_a_plus_canary_breadth_timing_10,track_c_track_a_plus_canary_breadth_timing_15
2005-01-07,0.0,0.0,0.0,0.00010265960310846144,0.00020531920621692288,0.00030797880932538436
2005-01-14,0.0,0.0,0.0,5.9785222319406195e-05,0.00011957044463881239,0.00017935566695821857
2005-01-21,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-28,0.0,0.0,0.0,4.934374888047821e-05,9.868749776095642e-05,0.00014803124664143462
2005-02-04,0.0,0.0,0.0,3.4931971531970694e-06,6.986394306394139e-06,1.0479591459591208e-05
2005-02-11,0.0,0.0,0.0,-0.00016627692779822955,-0.0003325538555964591,-0.0004988307833946887
2005-02-18,0.0,0.0,0.0,1.0615968411439302e-05,2.1231936822878604e-05,3.1847905234317906e-05
2005-02-25,0.0,0.0,0.0,-4.0337068998663184e-05,-8.067413799732637e-05,-0.00012101120699598955
2005-03-04,0.0,0.0,0.0,-0.0002169497228532935,-0.000433899445706587,-0.0006508491685598805
2005-03-11,0.0,0.0,0.0,6.133152465237379e-05,0.00012266304930474758,0.00018399457395712137
2005-03-18,0.0,0.0,0.0,-8.084398602841935e-05,-0.0001616879720568387,-0.00024253195808525806
2005-03-25,0.0,0.0,0.0,0.00015167808287626537,0.00030335616575253075,0.00045503424862879615
2005-04-01,0.0,0.0,0.0,-1.7927871553136132e-06,-3.5855743106272264e-06,-5.37836146594084e-06
2005-04-08,0.0,0.0,0.0,0.0002692338904564695,0.000538467780912939,0.0008077016713694085
2005-04-15,0.0,0.0,0.0,1.7649139342823527e-06,3.5298278685647054e-06,5.2947418028470585e-06
2005-04-22,0.0,0.0,0.0,7.58118295595489e-05,0.0001516236591190978,0.0002274354886786467
2005-04-29,0.0,0.0,0.0,-2.8682880266522323e-05,-5.736576053304465e-05,-8.604864079956697e-05
2005-05-06,0.0,0.0,0.0,0.00012341445767693804,0.00024682891535387607,0.0003702433730308141
2005-05-13,0.0,0.0,0.0,2.2732907095847077e-05,4.546581419169415e-05,6.819872128754122e-05
2005-05-20,0.0,0.0,0.0,7.856729042551635e-05,0.0001571345808510327,0.00023570187127654906
2005-05-27,0.0,0.0,0.0,7.885878284878189e-05,0.00015771756569756378,0.00023657634854634568
2005-06-03,0.0,0.0,0.0,-4.8524025476396334e-05,-9.704805095279267e-05,-0.000145572076429189
2005-06-10,0.0,0.0,0.0,-3.3040876056632526e-05,-6.608175211326505e-05,-9.912262816989759e-05
2005-06-17,0.0,0.0,0.0,0.00015857052281711859,0.00031714104563423717,0.00047571156845135573
2005-06-24,0.0,0.0,0.0,-0.0001341792317203888,-0.0002683584634407776,-0.00040253769516116644
2005-07-01,0.0,0.0,0.0,-4.887119178043408e-05,-9.774238356086817e-05,-0.00014661357534130224
2005-07-08,0.0,0.0,0.0,0.00011140318740708096,0.0002228063748141618,0.00033420956222124273
2005-07-15,0.0,0.0,0.0,8.125323657076245e-05,0.00016250647314152488,0.0002437597097122873
2005-07-22,0.0,0.0,0.0,-4.3604946368693004e-05,-8.7209892737386e-05,-0.00013081483910607898
2005-07-29,0.0,0.0,0.0,-0.0002352894193027197,-0.0004705788386054393,-0.000705868257908159
2005-08-05,0.0,0.0,0.0,0.0001673328699657939,0.00033466573993158773,0.0005019986098973816
2005-08-12,0.0,0.0,0.0,-9.472667524646486e-06,-1.8945335049292973e-05,-2.8418002573939432e-05
2005-08-19,0.0,0.0,0.0,-0.00020731346140183992,-0.00041462692280367974,-0.0006219403842055196
2005-08-26,0.0,0.0,0.0,0.000449776400737687,0.0008995528014753739,0.0013493292022130608
2005-09-02,0.0,0.0,0.0,0.00023585488934014913,0.0004717097786802981,0.0007075646680204472
2005-09-09,0.0,0.0,0.0,-0.0002401854234907064,-0.00048037084698141267,-0.0007205562704721191
2005-09-16,0.0,0.0,0.0,-0.0002753774808645812,-0.0005507549617291623,-0.0008261324425937436
2005-09-23,0.0,0.0,0.0,0.00014190468355249926,0.0002838093671049985,0.00042571405065749767
2005-09-30,0.0,0.0,0.0,-0.0005051252867734801,-0.00101025057354696,-0.0015153758603204403
2005-10-07,0.0,0.0,0.0,-0.0002603149407452327,-0.0005206298814904652,-0.0007809448222356979
2005-10-14,0.0,0.0,0.0,7.702178868558512e-05,0.0001540435773711702,0.00023106536605675527
2005-10-21,0.0,0.0,0.0,-0.00017314660083510568,-0.00034629320167021136,-0.0005194398025053171
2005-10-28,0.0,0.0,0.0,0.0002133688009512686,0.00042673760190253715,0.0006401064028538057
2005-11-04,0.0,0.0,0.0,0.00038320501710231605,0.0007664100342046319,0.001149615051306948
2005-11-11,0.0,0.0,0.0,0.0002549016436373541,0.0005098032872747082,0.0007647049309120623
2005-11-18,0.0,0.0,0.0,0.00038059539224492514,0.0007611907844898502,0.0011417861767347754
2005-11-25,0.0,0.0,0.0,-0.00014459451794797824,-0.0002891890358959564,-0.00043378355384393467
2005-12-02,0.0,0.0,0.0,-5.4836832922198215e-05,-0.00010967366584439642,-0.00016451049876659463
2005-12-09,0.0,0.0,0.0,0.00021706876899388607,0.0004341375379877721,0.0006512063069816581
2005-12-16,0.0,0.0,0.0,0.0001244616401984694,0.00024892328039693876,0.00037338492059540816
2005-12-23,0.0,0.0,0.0,-0.0002539852387645878,-0.0005079704775291753,-0.0007619557162937632
2005-12-30,0.0,0.0,0.0,0.0005627778821872859,0.0011255557643745715,0.0016883336465618576
2006-01-06,0.0,0.0,0.0,6.607210412718889e-05,0.00013214420825437777,0.00019821631238156666
2006-01-13,0.0,0.0,0.0,-0.00035609235168531294,-0.0007121847033706258,-0.0010682770550559386
2006-01-20,0.0,0.0,0.0,0.00019073468217148366,0.00038146936434296726,0.0005722040465144508
2006-01-27,-0.0005091982047342859,-0.0010183964094685719,-0.0015275946142028572,-0.0003229081145379462,-0.0006458162290758923,-0.0009687243436138384
2006-02-03,-0.0005323911876691601,-0.0010647823753383201,-0.00159717356300748,-3.933122435446718e-05,-7.866244870893435e-05,-0.00011799367306340156
2006-02-10,0.00013477586488011122,0.00026955172976022245,0.00040432759464033345,0.0003570614128614619,0.0007141228257229237,0.0010711842385843855
2006-02-17,0.0007830861588181949,0.0015661723176363899,0.002349258476454584,6.250819050109991e-05,0.00012501638100219977,0.0001875245715032997
2006-02-24,2.158751914860286e-06,4.317503829720572e-06,6.476255744580712e-06,-0.00019891595950930152,-0.00039783191901860305,-0.0005967478785279046
2006-03-03,-0.001255033540948193,-0.002510067081896386,-0.003765100622844579,-7.856880336723604e-05,-0.00015713760673447208,-0.0002357064101017081
2006-03-10,0.0013307115337539736,0.002661423067507947,0.00399213460126192,0.0007265470701231542,0.0014530941402463083,0.0021796412103694627
2006-03-17,0.0001987198783602762,0.0003974397567205524,0.0005961596350808285,-7.715977375724602e-05,-0.00015431954751449203,-0.00023147932127173812
2006-03-24,0.001264927800077076,0.002529855600154152,0.003794783400231227,-0.00029137596686982793,-0.0005827519337396559,-0.0008741279006094838
2006-03-31,0.0006206514775303941,0.0012413029550607882,0.0018619544325911817,-0.00018750908695809866,-0.00037501817391619733,-0.000562527260874296
2006-04-07,0.00015366053465538105,0.0003073210693107621,0.000460981603966143,-0.0002837689016900891,-0.0005675378033801781,-0.0008513067050702673
2006-04-14,0.0022241134608780837,0.0044482269217561675,0.0066723403826342495,0.0006780748573741602,0.0013561497147483205,0.0020342245721224807
2006-04-21,0.0004306864622878127,0.0008613729245756254,0.001292059386863438,5.0967986522101316e-05,0.00010193597304420263,0.00015290395956630402
