name,kind,ann_return,spy_beta,avg_BIL,bil_cagr_reference,spy_cagr_reference,beta_expected_return_est_ann,beta_adjusted_residual_ann,cash_drag_adjusted_residual_ann,return_source_label,offense_gross_contribution_ann,defense_gross_contribution_ann,equity_gross_contribution_ann,bil_gross_contribution_ann,cost_drag_ann,standalone_sanity_pass,delta_ann_return_vs_track_a,delta_spy_beta_vs_track_a,delta_avg_BIL_vs_track_a,cash_drag_reduction_est_ann,beta_explained_return_est_ann,residual_return_vs_track_a_est_ann,beta_cash_adjusted_residual_vs_track_a_est_ann,track_c_watchlist,parent_candidate,overlay_weight
track_c_residual_xsmom_top5,standalone_sleeve,0.0773714631974205,0.6589976926053914,0.04954954954954955,0.01179663501423911,0.10533090832092062,0.07343550530286427,0.003935957894556225,0.003935957894556225,positive_beta_adjusted_residual,0.05761124308673718,0.019368524096980897,0.057533936618004475,0.0,0.007982702702702703,False,,,,,,,,,,
track_c_vol_managed_residual_xsmom_top5,standalone_sleeve,0.07092932732372237,0.5245869364931446,0.12054054054054053,0.01179663501423911,0.10533090832092062,0.06086349290530368,0.010065834418418691,0.010065834418418691,positive_beta_adjusted_residual,0.05024450162179081,0.017281897349709703,0.05016719515305811,0.0006779704327758815,0.007851531531531532,True,,,,,,,,,,
track_c_carry_value_top5,standalone_sleeve,0.04983346008774392,0.6884055018408856,0.005405405405405406,0.01179663501423911,0.10533090832092062,0.07618614336924774,-0.026352683281503822,-0.026352683281503822,no_positive_beta_adjusted_residual,0.04814514522914835,0.013813706718412058,0.04783174129893784,0.0,0.003944504504504505,False,,,,,,,,,,
track_c_neutral_reversal_top5,standalone_sleeve,0.04683531630731297,0.7189698623773423,0.2927927927927928,0.01179663501423911,0.10533090832092062,0.07904495862110864,-0.03220964231379567,-0.03220964231379567,no_positive_beta_adjusted_residual,0.051441120068270424,0.020315680650174903,0.05040443579975401,0.003352650943786044,0.020116036036036036,False,,,,,,,,,,
track_c_hyg_lqd_pair_mean_reversion,standalone_sleeve,0.02785794781773454,0.26164070124356165,0.12972972972972974,0.01179663501423911,0.10533090832092062,0.03626900787250621,-0.008411060054771671,-0.008411060054771671,no_positive_beta_adjusted_residual,0.0035837361384782078,0.031341561126297365,0.0,0.0007817513561518865,0.0038882882882882884,False,,,,,,,,,,
track_c_canary_breadth_timing,standalone_sleeve,0.06146170133076012,0.1826483489110146,0.24,0.01179663501423911,0.10533090832092062,0.028880515600296076,0.03258118573046405,0.03258118573046405,positive_beta_adjusted_residual,0.04915984369403041,0.011923123143685299,0.04915984369403041,0.0026601836871127807,0.0023282882882882877,True,,,,,,,,,,
track_c_track_a_plus_vol_managed_residual_xsmom_top5_05,track_a_blend,0.07166910622961531,0.2544512286748457,0.26828433024587445,,,,,,mostly_beta_or_cash_drag,0.043012748123769935,0.026394536058418135,0.03612811071372087,0.0024331232447728727,0.0036705411897754005,,0.0003274119102805173,0.014220488185313906,-0.0077759889318596565,0.0007273214739822915,0.0013301030284795863,-0.001002691118199069,-0.0017300125921813605,False,track_c_vol_managed_residual_xsmom_top5,0.05
track_c_track_a_plus_vol_managed_residual_xsmom_top5_10,track_a_blend,0.07193698076712063,0.268666580317607,0.2605083413140147,,,,,,mostly_beta_or_cash_drag,0.04339336672892893,0.025914923494801907,0.036867009894738616,0.002340746780983557,0.0038668508199491804,,0.0005952864477858366,0.028435839828075182,-0.015551977863719424,0.0014546429479645935,0.0026597256141842034,-0.002064439166398367,-0.0035190821143629603,False,track_c_vol_managed_residual_xsmom_top5,0.1
track_c_track_a_plus_vol_managed_residual_xsmom_top5_15,track_a_blend,0.0721656868246674,0.28288348193303103,0.252732352382155,,,,,,mostly_beta_or_cash_drag,0.04377398533408792,0.02543531093118567,0.03760590907575637,0.0022483703171942418,0.004070773120901675,,0.0008239925053326047,0.04265274144349923,-0.02332796679557908,0.002181964421946885,0.0039894931754554785,-0.0031655006701228738,-0.005347465092069759,False,track_c_vol_managed_residual_xsmom_top5,0.15
track_c_track_a_plus_canary_breadth_timing_05,track_a_blend,0.07098243260809256,0.23734769274008596,0.2742573032188474,,,,,,no_return_improvement,0.042958515227381915,0.02612659734811691,0.03607774314076949,0.0025322339074897175,0.003393694303601096,,-0.0003592617112422314,-0.0028830477494458384,-0.0018030159588867112,0.00016864378747481808,-0.0002696637761528801,-8.959793508935129e-05,-0.0002582417225641694,False,track_c_canary_breadth_timing,0.05
track_c_track_a_plus_canary_breadth_timing_10,track_a_blend,0.0705796879777787,0.234465638986935,0.2724542872599607,,,,,,no_return_improvement,0.043284900936152886,0.025379046074199465,0.03676627474883585,0.002538968106417247,0.0033187557264559996,,-0.0007620063415560985,-0.005765101502596792,-0.0036060319177734224,0.00033728757494963616,-0.0005392345795846486,-0.00022277176197144988,-0.000560059336921086,False,track_c_canary_breadth_timing,0.1
track_c_track_a_plus_canary_breadth_timing_15,track_a_blend,0.07015733814622283,0.23158319011692877,0.27065127130107397,,,,,,no_return_improvement,0.043611286644923856,0.024631494800282015,0.0374548063569022,0.002545702305344777,0.0032539562215147385,,-0.0011843561731119667,-0.008647550372603036,-0.0054090478766601335,0.0005059313624244542,-0.0008088423399843479,-0.0003755138331276188,-0.000881445195552073,False,track_c_canary_breadth_timing,0.15
