rule_name,rule_formula,target,event_count,event_frequency,precision,baseline_precision,precision_lift,avg_forward_return,baseline_avg_forward_return,return_lift,state_path_interpretation,rule_family,stability,min_subperiod_events,redundancy_warning,next_recommended_phase
neutral_after_stress_short_dwell,state_lag1 == neutral_mixed and state_lag2 == stressed_panic and state_age_lag1 <= 6,stress_transition_4w,23,0.020795660036166366,0.391304347826087,0.10759493670886076,0.2837094111172262,0.0023933443264152524,0.005468970801374362,-0.0030756264749591095,neutral_mixed immediately after stress with young dwell,stress_memory,1.0,3,,SSS2 sequence signal validation
neutral_after_stress_short_dwell,state_lag1 == neutral_mixed and state_lag2 == stressed_panic and state_age_lag1 <= 6,stress_transition_8w,23,0.020871143375680582,0.43478260869565216,0.18330308529945555,0.2514795233961966,0.002344562476511279,0.01098717111398922,-0.008642608637477942,neutral_mixed immediately after stress with young dwell,stress_memory,1.0,3,,SSS2 sequence signal validation
calm_old_low_stress,state_lag1 == calm_trend and state_age_lag1 >= 14 and stress_count_last_13w == 0,ggg1_underperformance_4w,50,0.045207956600361664,0.92,0.6772151898734177,0.24278481012658237,0.00013884019198463272,0.005468970801374362,-0.005330130609389729,mature calm trend with no recent stress memory,calm_persistence,1.0,6,,SSS2 sequence signal validation
stress_memory_neutral,state_lag1 == neutral_mixed and stress_count_last_13w > 0,false_recovery_label,21,0.1640625,0.5238095238095238,0.28125,0.24255952380952384,0.00798233670249549,0.02231219402618693,-0.014329857323691441,neutral_mixed with recent stress memory,stress_memory,1.0,6,,SSS2 sequence signal validation
stress_new_state,state_lag1 == stressed_panic and state_age_lag1 <= 2,stress_transition_8w,47,0.0426497277676951,0.40425531914893614,0.18330308529945555,0.2209522338494806,0.0062632861602260346,0.01098717111398922,-0.004723884953763185,new stressed_panic state,stress_dwell,0.6666666666666666,8,,SSS2 sequence signal validation
stress_memory_neutral,state_lag1 == neutral_mixed and stress_count_last_13w > 0,stress_transition_4w,117,0.1057866184448463,0.28205128205128205,0.10759493670886076,0.17445634534242127,0.005253764139176832,0.005468970801374362,-0.00021520666219753022,neutral_mixed with recent stress memory,stress_memory,1.0,18,,SSS2 sequence signal validation
qqq_efa_spy_trend_after_calm_or_recovery,QQQ EFA/SPY trend active and calm/recovery memory,recovery_quality_8w,42,0.052565707133917394,0.6666666666666666,0.49937421777221525,0.16729244889445138,0.019187307962181228,0.013101542185322456,0.006085765776858772,QQQ international leadership rule under calm/recovery sequence,qqq_sequence_overlap,0.6666666666666666,9,,SSS2 sequence signal validation
stress_memory_neutral,state_lag1 == neutral_mixed and stress_count_last_13w > 0,stress_transition_8w,117,0.10617059891107078,0.3162393162393162,0.18330308529945555,0.13293623093986068,0.008473834008132721,0.01098717111398922,-0.002513337105856498,neutral_mixed with recent stress memory,stress_memory,0.6666666666666666,18,,SSS2 sequence signal validation
stress_new_state,state_lag1 == stressed_panic and state_age_lag1 <= 2,stress_transition_4w,47,0.042495479204339964,0.23404255319148937,0.10759493670886076,0.1264476164826286,0.0017086881364150631,0.005468970801374362,-0.0037602826649592988,new stressed_panic state,stress_dwell,0.6666666666666666,8,,SSS2 sequence signal validation
refined_neutral_deteriorating,refined_state_lag1 == neutral_deteriorating,stress_transition_4w,169,0.15280289330922242,0.23076923076923078,0.10759493670886076,0.12317429406037002,0.005615142051870663,0.005468970801374362,0.00014617125049630128,Layer 2B neutral deterioration refinement,refined_state,1.0,35,partly duplicates existing refined Layer 2B state,SSS2 sequence signal validation
qqq_efa_spy_trend_after_calm_or_recovery,QQQ EFA/SPY trend active and calm/recovery memory,recovery_quality_4w,42,0.05236907730673317,0.6190476190476191,0.5,0.11904761904761907,0.009575153437322906,0.006656320352115172,0.002918833085207734,QQQ international leadership rule under calm/recovery sequence,qqq_sequence_overlap,0.6666666666666666,9,,SSS2 sequence signal validation
calm_old_low_stress,state_lag1 == calm_trend and state_age_lag1 >= 14 and stress_count_last_13w == 0,ggg1_tail_risk_4w,50,0.045207956600361664,0.36,0.2468354430379747,0.11316455696202529,0.00013884019198463272,0.005468970801374362,-0.005330130609389729,mature calm trend with no recent stress memory,calm_persistence,1.0,6,,SSS2 sequence signal validation
refined_neutral_deteriorating,refined_state_lag1 == neutral_deteriorating,ggg1_underperformance_4w,169,0.15280289330922242,0.7869822485207101,0.6772151898734177,0.10976705864729241,0.005615142051870663,0.005468970801374362,0.00014617125049630128,Layer 2B neutral deterioration refinement,refined_state,1.0,35,partly duplicates existing refined Layer 2B state,SSS2 sequence signal validation
