target,model,n_oos,positive_rate,brier,auc,log_loss,high_risk_decile_precision,high_risk_decile_recall,top_decile_avg_forward_return,overall_avg_forward_return,top_decile_return_lift
ggg1_tail_risk_4w,current_state_lag1_rate,846,0.26595744680851063,0.20135582836943583,0.48709608158883533,0.6207916225579746,0.16470588235294117,0.06222222222222222,0.008676171862482884,0.00561528074388973,0.003060891118593154
ggg1_tail_risk_4w,current_state_plus_dwell_rate,846,0.26595744680851063,0.20749637884299796,0.48775809626051175,0.6594484653834278,0.21176470588235294,0.08,0.0020909509200473368,0.00561528074388973,-0.003524329823842393
ggg1_tail_risk_4w,existing_layer2b_probability_baseline,846,0.26595744680851063,0.315638103876351,0.4414635891930577,1.157474142150214,0.2,0.07555555555555556,0.0024245036098006004,0.00561528074388973,-0.0031907771340891292
ggg1_tail_risk_4w,historical_class_rate,846,0.26595744680851063,0.19813660188409174,0.3992306315977814,0.5874335521164187,0.11764705882352941,0.044444444444444446,0.010212066940119556,0.00561528074388973,0.004596786196229826
ggg1_tail_risk_4w,previous_state_lag2_rate,846,0.26595744680851063,0.20204769212051601,0.4799606369654679,0.6102220951676739,0.15294117647058825,0.057777777777777775,0.008876552795950923,0.00561528074388973,0.003261272052061193
ggg1_tail_risk_4w,qqq_rule_only_baseline,846,0.26595744680851063,0.28533668984681154,0.4442082662372518,1.1308889197207983,0.32941176470588235,0.12444444444444444,0.0018591995884412633,0.00561528074388973,-0.0037560811554484663
ggg1_tail_risk_4w,state_path_markov_rate,846,0.26595744680851063,0.20699516736571633,0.4713472893183038,0.7350025961355772,0.12941176470588237,0.04888888888888889,0.010031392191805646,0.00561528074388973,0.0044161114479159165
ggg1_tail_risk_4w,transition_matrix_markov_score,846,0.26595744680851063,0.20699516736571633,0.4713472893183038,0.7350025961355772,0.12941176470588237,0.04888888888888889,0.010031392191805646,0.00561528074388973,0.0044161114479159165
ggg1_underperformance_4w,current_state_lag1_rate,846,0.7269503546099291,0.21612090670084871,0.49022630486045116,0.6239003968030432,0.6705882352941176,0.09268292682926829,0.00894439273406884,0.00561528074388973,0.0033291119901791098
ggg1_underperformance_4w,current_state_plus_dwell_rate,846,0.7269503546099291,0.22978184466356444,0.46555801921655576,0.6869965554174314,0.8117647058823529,0.11219512195121951,0.0029300850108878234,0.00561528074388973,-0.002685195733001906
ggg1_underperformance_4w,existing_layer2b_probability_baseline,846,0.7269503546099291,0.20988292575726025,0.5874142118044556,0.6509024997342429,0.8470588235294118,0.11707317073170732,0.006321685235680262,0.00561528074388973,0.0007064044917905327
ggg1_underperformance_4w,historical_class_rate,846,0.7269503546099291,0.21157349935317185,0.38044909020518775,0.614993001482528,0.5058823529411764,0.06991869918699187,0.006464582774723279,0.00561528074388973,0.0008493020308335498
ggg1_underperformance_4w,previous_state_lag2_rate,846,0.7269503546099291,0.22296233865453122,0.44089677260408966,0.6500158236303196,0.6470588235294118,0.08943089430894309,0.0075756577709944015,0.00561528074388973,0.001960377027104672
ggg1_underperformance_4w,qqq_rule_only_baseline,846,0.7269503546099291,0.35775666272580625,0.4828916341111463,1.5067229451069923,0.7647058823529411,0.10569105691056911,0.0018591995884412633,0.00561528074388973,-0.0037560811554484663
ggg1_underperformance_4w,state_path_markov_rate,846,0.7269503546099291,0.23038385852499182,0.4613592369689931,0.763473628576003,0.6,0.08292682926829269,0.009422644710812967,0.00561528074388973,0.003807363966923237
ggg1_underperformance_4w,transition_matrix_markov_score,846,0.7269503546099291,0.23038385852499182,0.4613592369689931,0.763473628576003,0.6,0.08292682926829269,0.009422644710812967,0.00561528074388973,0.003807363966923237
recovery_quality_4w,current_state_lag1_rate,670,0.4880597014925373,0.2597959475115798,0.4873039648362622,0.7168739907322025,0.5223880597014925,0.10703363914373089,0.008894966084103747,0.0062151788167554255,0.0026797872673483217
recovery_quality_4w,current_state_plus_dwell_rate,670,0.4880597014925373,0.27015471105098593,0.4800465402412603,0.8185849656959763,0.5522388059701493,0.11314984709480122,0.0108228952532851,0.0062151788167554255,0.004607716436529675
recovery_quality_4w,existing_layer2b_probability_baseline,670,0.4880597014925373,0.34265339241889814,0.46838919053860073,1.4446627085044013,0.4925373134328358,0.10091743119266056,0.007803095087376209,0.0062151788167554255,0.0015879162706207836
recovery_quality_4w,historical_class_rate,670,0.4880597014925373,0.2521385161799762,0.439029609222457,0.6974302340444212,0.47761194029850745,0.09785932721712538,0.00761575467046975,0.0062151788167554255,0.0014005758537143243
recovery_quality_4w,previous_state_lag2_rate,670,0.4880597014925373,0.25769881704242875,0.4962286356220077,0.7103838019473698,0.4925373134328358,0.10091743119266056,0.00734241301570561,0.0062151788167554255,0.0011272341989501848
