market_state,dwell_bucket,n_runs,avg_run_length,median_run_length,max_run_length,share_of_state_runs
calm_trend,mature_7_13w,9,10.0,10.0,13,0.21428571428571427
calm_trend,new_state_1_2w,16,1.5,1.5,2,0.38095238095238093
calm_trend,old_14w_plus,6,21.333333333333332,17.5,33,0.14285714285714285
calm_trend,young_3_6w,11,4.818181818181818,5.0,6,0.2619047619047619
neutral_mixed,mature_7_13w,12,9.333333333333334,8.5,13,0.12631578947368421
neutral_mixed,new_state_1_2w,40,1.3,1.0,2,0.42105263157894735
neutral_mixed,old_14w_plus,9,22.555555555555557,19.0,42,0.09473684210526316
neutral_mixed,young_3_6w,34,3.7058823529411766,3.0,6,0.35789473684210527
recovery_confirmed,new_state_1_2w,13,1.3846153846153846,1.0,2,0.6842105263157895
recovery_confirmed,young_3_6w,6,4.333333333333333,4.0,5,0.3157894736842105
recovery_fragile,new_state_1_2w,15,1.2,1.0,2,0.6521739130434783
recovery_fragile,young_3_6w,8,3.875,4.0,4,0.34782608695652173
stressed_panic,mature_7_13w,6,9.666666666666666,9.5,12,0.1935483870967742
stressed_panic,new_state_1_2w,17,1.2352941176470589,1.0,2,0.5483870967741935
stressed_panic,old_14w_plus,6,23.5,18.0,37,0.1935483870967742
stressed_panic,young_3_6w,2,4.5,4.5,5,0.06451612903225806
