feature_name,feature_family,source,lag_rule,used_in_sequence_model,used_in_layer2b_baseline,used_in_qqq_control,leakage_check,missingness,non_missing_rows
state_lag1_OTHER,state_identity,state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag1_calm_trend,state_identity,state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag1_neutral_mixed,state_identity,state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag1_recovery_confirmed,state_identity,state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag1_recovery_fragile,state_identity,state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag1_stressed_panic,state_identity,state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag2_OTHER,state_identity,state_lag2,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag2_calm_trend,state_identity,state_lag2,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag2_neutral_mixed,state_identity,state_lag2,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag2_recovery_confirmed,state_identity,state_lag2,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag2_recovery_fragile,state_identity,state_lag2,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag2_stressed_panic,state_identity,state_lag2,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag4_OTHER,state_identity,state_lag4,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag4_calm_trend,state_identity,state_lag4,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag4_neutral_mixed,state_identity,state_lag4,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag4_recovery_confirmed,state_identity,state_lag4,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag4_recovery_fragile,state_identity,state_lag4,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_lag4_stressed_panic,state_identity,state_lag4,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
refined_state_lag1_OTHER,state_identity,refined_state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
refined_state_lag1_calm_trend,state_identity,refined_state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
refined_state_lag1_neutral_deteriorating,state_identity,refined_state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
refined_state_lag1_neutral_healthy,state_identity,refined_state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
refined_state_lag1_neutral_mixed,state_identity,refined_state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
refined_state_lag1_recovery_confirmed,state_identity,refined_state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
refined_state_lag1_recovery_fragile,state_identity,refined_state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
refined_state_lag1_stressed_panic,state_identity,refined_state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
risk_state_lag1_OTHER,state_identity,risk_state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
risk_state_lag1_calm,state_identity,risk_state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
risk_state_lag1_neutral,state_identity,risk_state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
risk_state_lag1_stressed,state_identity,risk_state_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_dwell_bucket_lag1_OTHER,state_identity,state_dwell_bucket_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_dwell_bucket_lag1_mature_7_13w,state_identity,state_dwell_bucket_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_dwell_bucket_lag1_new_state_1_2w,state_identity,state_dwell_bucket_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_dwell_bucket_lag1_old_14w_plus,state_identity,state_dwell_bucket_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
state_dwell_bucket_lag1_young_3_6w,state_identity,state_dwell_bucket_lag1,categorical state/path uses states through t-1 only,True,False,False,causal_lagged_state_feature,0.0,1110
