target,definition,horizon_weeks,n_observations,positive_count,positive_rate,start_date,end_date,enough_samples,leakage_risk_note
stress_transition_4w,stress_transition_start,4,1106,119,0.10759493670886076,2005-01-07,2026-03-13,True,future states/returns define target only; not included as live features
stress_transition_4w__state_calm_trend,state-specific target balance,4,295,7,0.023728813559322035,2005-08-19,2025-08-29,True,diagnostic grouping only
stress_transition_4w__state_neutral_mixed,state-specific target balance,4,491,82,0.1670061099796334,2005-01-07,2026-03-06,True,diagnostic grouping only
stress_transition_4w__state_recovery_confirmed,state-specific target balance,4,43,0,0.0,2006-11-10,2025-11-14,False,diagnostic grouping only
stress_transition_4w__state_recovery_fragile,state-specific target balance,4,49,5,0.10204081632653061,2006-08-18,2025-06-27,True,diagnostic grouping only
stress_transition_4w__state_stressed_panic,state-specific target balance,4,228,25,0.10964912280701754,2006-05-26,2026-03-13,True,diagnostic grouping only
stress_transition_8w,stress_transition_start,8,1102,202,0.18330308529945555,2005-01-07,2026-02-13,True,future states/returns define target only; not included as live features
stress_transition_8w__state_calm_trend,state-specific target balance,8,295,18,0.061016949152542375,2005-08-19,2025-08-29,True,diagnostic grouping only
stress_transition_8w__state_neutral_mixed,state-specific target balance,8,488,118,0.24180327868852458,2005-01-07,2026-02-13,True,diagnostic grouping only
stress_transition_8w__state_recovery_confirmed,state-specific target balance,8,43,0,0.0,2006-11-10,2025-11-14,False,diagnostic grouping only
stress_transition_8w__state_recovery_fragile,state-specific target balance,8,49,11,0.22448979591836735,2006-08-18,2025-06-27,True,diagnostic grouping only
stress_transition_8w__state_stressed_panic,state-specific target balance,8,227,55,0.2422907488986784,2006-05-26,2025-05-30,True,diagnostic grouping only
recovery_quality_4w,recovery_quality,4,802,401,0.5,2006-07-07,2026-03-06,True,future states/returns define target only; not included as live features
recovery_quality_4w__state_calm_trend,state-specific target balance,4,287,144,0.5017421602787456,2006-11-24,2025-08-29,True,diagnostic grouping only
recovery_quality_4w__state_neutral_mixed,state-specific target balance,4,423,208,0.491725768321513,2006-07-07,2026-03-06,True,diagnostic grouping only
recovery_quality_4w__state_recovery_confirmed,state-specific target balance,4,43,28,0.6511627906976745,2006-11-10,2025-11-14,True,diagnostic grouping only
recovery_quality_4w__state_recovery_fragile,state-specific target balance,4,49,21,0.42857142857142855,2006-08-18,2025-06-27,True,diagnostic grouping only
recovery_quality_8w,recovery_quality,8,799,399,0.49937421777221525,2006-07-07,2026-02-13,True,future states/returns define target only; not included as live features
recovery_quality_8w__state_calm_trend,state-specific target balance,8,287,135,0.47038327526132406,2006-11-24,2025-08-29,True,diagnostic grouping only
