rule_name,target,incrementality_flag,max_abs_corr_current_state_engine,closest_state_engine_feature,event_count,event_frequency,precision_lift,stability,rule_family,state_path_interpretation
refined_neutral_deteriorating,stress_transition_4w,DUPLICATES_CURRENT_STATE_ENGINE,1.0,refined_state_lag1_neutral_deteriorating,169,0.15280289330922242,0.12317429406037002,1.0,refined_state,Layer 2B neutral deterioration refinement
refined_neutral_deteriorating,ggg1_underperformance_4w,DUPLICATES_CURRENT_STATE_ENGINE,1.0,refined_state_lag1_neutral_deteriorating,169,0.15280289330922242,0.10976705864729241,1.0,refined_state,Layer 2B neutral deterioration refinement
refined_neutral_deteriorating,stress_transition_8w,DUPLICATES_CURRENT_STATE_ENGINE,1.0,refined_state_lag1_neutral_deteriorating,167,0.1515426497277677,0.09214601649695164,0.6666666666666666,refined_state,Layer 2B neutral deterioration refinement
refined_neutral_deteriorating,ggg1_tail_risk_4w,DUPLICATES_CURRENT_STATE_ENGINE,1.0,refined_state_lag1_neutral_deteriorating,169,0.15280289330922242,0.060856864654333015,0.6666666666666666,refined_state,Layer 2B neutral deterioration refinement
refined_neutral_deteriorating,recovery_quality_4w,DUPLICATES_CURRENT_STATE_ENGINE,1.0,refined_state_lag1_neutral_deteriorating,152,0.18952618453865336,-0.026315789473684237,0.6666666666666666,refined_state,Layer 2B neutral deterioration refinement
refined_neutral_deteriorating,recovery_quality_8w,DUPLICATES_CURRENT_STATE_ENGINE,1.0,refined_state_lag1_neutral_deteriorating,151,0.18898623279098872,-0.02917554227552649,0.6666666666666666,refined_state,Layer 2B neutral deterioration refinement
qqq_efa_spy_trend_after_calm_or_recovery,ggg1_underperformance_4w,DUPLICATES_QQQ_RULE,0.24855668402344,state_lag1_recovery_fragile,44,0.039783001808318265,-0.018124280782508606,0.3333333333333333,qqq_sequence_overlap,QQQ international leadership rule under calm/recovery sequence
qqq_efa_spy_trend_after_calm_or_recovery,ggg1_tail_risk_4w,DUPLICATES_QQQ_RULE,0.24855668402344,state_lag1_recovery_fragile,44,0.039783001808318265,-0.01956271576524743,0.6666666666666666,qqq_sequence_overlap,QQQ international leadership rule under calm/recovery sequence
qqq_efa_spy_trend_after_calm_or_recovery,stress_transition_4w,DUPLICATES_QQQ_RULE,0.24855668402344,state_lag1_recovery_fragile,44,0.039783001808318265,-0.08486766398158804,0.0,qqq_sequence_overlap,QQQ international leadership rule under calm/recovery sequence
qqq_efa_spy_trend_after_calm_or_recovery,stress_transition_8w,DUPLICATES_QQQ_RULE,0.24855668402344,state_lag1_recovery_fragile,44,0.039927404718693285,-0.11512126711763737,0.0,qqq_sequence_overlap,QQQ international leadership rule under calm/recovery sequence
neutral_after_stress_short_dwell,stress_transition_4w,INCREMENTAL_SEQUENCE_SIGNAL,0.24540855904650763,refined_state_lag1_neutral_deteriorating,23,0.020795660036166366,0.2837094111172262,1.0,stress_memory,neutral_mixed immediately after stress with young dwell
neutral_after_stress_short_dwell,stress_transition_8w,INCREMENTAL_SEQUENCE_SIGNAL,0.24540855904650763,refined_state_lag1_neutral_deteriorating,23,0.020871143375680582,0.2514795233961966,1.0,stress_memory,neutral_mixed immediately after stress with young dwell
calm_old_low_stress,ggg1_underperformance_4w,INCREMENTAL_SEQUENCE_SIGNAL,0.3609939021336487,state_lag1_calm_trend,50,0.045207956600361664,0.24278481012658237,1.0,calm_persistence,mature calm trend with no recent stress memory
stress_memory_neutral,false_recovery_label,INCREMENTAL_SEQUENCE_SIGNAL,0.5297033860866327,refined_state_lag1_neutral_deteriorating,21,0.1640625,0.24255952380952384,1.0,stress_memory,neutral_mixed with recent stress memory
stress_new_state,stress_transition_8w,INCREMENTAL_SEQUENCE_SIGNAL,0.42151259986843664,state_lag1_stressed_panic,47,0.0426497277676951,0.2209522338494806,0.6666666666666666,stress_dwell,new stressed_panic state
stress_memory_neutral,stress_transition_4w,INCREMENTAL_SEQUENCE_SIGNAL,0.5297033860866327,refined_state_lag1_neutral_deteriorating,117,0.1057866184448463,0.17445634534242127,1.0,stress_memory,neutral_mixed with recent stress memory
qqq_efa_spy_trend_after_calm_or_recovery,recovery_quality_8w,INCREMENTAL_SEQUENCE_SIGNAL,0.24855668402344,state_lag1_recovery_fragile,42,0.052565707133917394,0.16729244889445138,0.6666666666666666,qqq_sequence_overlap,QQQ international leadership rule under calm/recovery sequence
stress_memory_neutral,stress_transition_8w,INCREMENTAL_SEQUENCE_SIGNAL,0.5297033860866327,refined_state_lag1_neutral_deteriorating,117,0.10617059891107078,0.13293623093986068,0.6666666666666666,stress_memory,neutral_mixed with recent stress memory
stress_new_state,stress_transition_4w,INCREMENTAL_SEQUENCE_SIGNAL,0.42151259986843664,state_lag1_stressed_panic,47,0.042495479204339964,0.1264476164826286,0.6666666666666666,stress_dwell,new stressed_panic state
qqq_efa_spy_trend_after_calm_or_recovery,recovery_quality_4w,INCREMENTAL_SEQUENCE_SIGNAL,0.24855668402344,state_lag1_recovery_fragile,42,0.05236907730673317,0.11904761904761907,0.6666666666666666,qqq_sequence_overlap,QQQ international leadership rule under calm/recovery sequence
calm_old_low_stress,ggg1_tail_risk_4w,INCREMENTAL_SEQUENCE_SIGNAL,0.3609939021336487,state_lag1_calm_trend,50,0.045207956600361664,0.11316455696202529,1.0,calm_persistence,mature calm trend with no recent stress memory
