Date,net_return,wealth,target_growth_allocation,pretrade_growth_allocation,allocation_turnover,outer_cost,high_confidence,growth_momentum_13w_prior,incumbent_momentum_13w_prior,growth_momentum_long_prior,incumbent_momentum_long_prior,drawdown
2023-01-06,0.019544854927115995,1.019544854927116,0.1,0.1,0.0,0.0,False,,,,,0.0
2023-01-13,0.005121500867226514,1.0247664547858015,0.1,0.08315607918708418,0.01684392081291583,0.0001684392081291583,False,,,,,0.0
2023-01-20,0.025719851107732783,1.0511232954230916,0.1,0.09912767777136068,0.0008723222286393245,8.723222286393246e-06,False,,,,,0.0
2023-01-27,0.018897137890182103,1.0709865172762842,0.1,0.09818113080004351,0.0018188691999564965,1.8188691999564963e-05,False,,,,,0.0
2023-02-03,-0.010065837212899553,1.060206141336171,0.1,0.10147357051118334,0.0014735705111833391,1.4735705111833391e-05,False,,,,,-0.010065837212899553
2023-02-10,-0.0036426274893925914,1.056344205301317,0.1,0.10002900724571975,2.9007245719747665e-05,2.900724571974767e-07,False,,,,,-0.013671798606956664
2023-02-17,-0.02446540043955492,1.0305003213166168,0.1,0.09708240752107775,0.0029175924789222596,2.917592478922259e-05,False,,,,,-0.0378027130188634
2023-02-24,0.027568101716481053,1.0589092589935398,0.1,0.10251044376147433,0.002510443761474329,2.5104437614743293e-05,False,,,,,-0.011276760340045322
2023-03-03,-0.038639299049017084,1.0179937474695153,0.1,0.09919216748047921,0.0008078325195207958,8.078325195207957e-06,False,,,,,-0.04948033327397927
2023-03-10,0.01997084663019466,1.0383239444707262,0.1,0.09313132073861438,0.006868679261385624,6.868679261385623e-05,False,,,,,-0.030497650790810127
2023-03-17,0.021603135433090337,1.0607549972665478,0.1,0.09525505861107321,0.004744941388926796,4.7449413889267964e-05,False,,,,,-0.009553360238144792
2023-03-24,0.040175463324850336,1.1033713207558817,0.1,0.10007323964829191,7.323964829190899e-05,7.323964829190898e-07,False,,,,,0.0
2023-03-31,-0.016562793481433857,1.0850964094368651,0.1,0.10322241523915232,0.0032224152391523153,3.2224152391523156e-05,False,,,,,-0.016562793481433857
