weeks,start,end,cagr,total_return,sharpe_zero_rf,max_drawdown,annual_volatility,annual_allocation_turnover,high_confidence_share,average_growth_allocation,scenario,variant,cost_bps,window
188,2023-01-06,2026-08-07,0.4050229057812802,2.419261439715946,1.678907837345226,-0.19215063787880182,0.2171097411341005,0.25203842184956393,0.31382978723404253,0.19999999999999998,base,fixed_20,50,full_recent
157,2023-08-11,2026-08-07,0.41904725510861196,1.8768259686599649,1.6605544522996292,-0.19215063787880204,0.22679334989169256,0.2656646442114822,0.37579617834394907,0.19999999999999996,base,fixed_20,50,since_incumbent_holdout_start
105,2024-08-09,2026-08-07,0.5742382076027759,1.4999464950844863,1.9434324864126415,-0.19215063787880182,0.2504148091701313,0.2816825232503772,0.5333333333333333,0.2,base,fixed_20,50,trailing_2y
53,2025-08-08,2026-08-07,0.8282891724575214,0.8496272368699587,2.3950182755981695,-0.11993011159218903,0.26797999866662786,0.3315840975995403,0.9245283018867925,0.19999999999999993,base,fixed_20,50,trailing_1y
32,2026-01-02,2026-08-07,0.7108812236920168,0.3916176038828689,1.9722996741298513,-0.11993011159218936,0.2948949611094654,0.3674894674227827,1.0,0.2,base,fixed_20,50,ytd
188,2023-01-06,2026-08-07,0.4075682690169784,2.441709655140583,1.665709704902274,-0.18704572299039768,0.2203155347365352,1.1151909823901762,0.35638297872340424,0.17127659574468088,base,relative_13w_10_30,50,full_recent
157,2023-08-11,2026-08-07,0.4130518597701447,1.8402852518663497,1.6169537017591966,-0.1870457229903978,0.230804133292119,1.3150935128037653,0.4267515923566879,0.18535031847133762,base,relative_13w_10_30,50,since_incumbent_holdout_start
105,2024-08-09,2026-08-07,0.5578064820934217,1.4475366066800497,1.8698219804997527,-0.1870457229903979,0.2552066627790445,1.7760426435632262,0.5333333333333333,0.20666666666666667,base,relative_13w_10_30,50,trailing_2y
53,2025-08-08,2026-08-07,0.8310130009114254,0.8524358881530196,2.273701551851508,-0.13321858004720233,0.28495060465274547,1.651070266984203,0.7547169811320755,0.2509433962264151,base,relative_13w_10_30,50,trailing_1y
32,2026-01-02,2026-08-07,0.6855603154330483,0.3789069243531733,1.8340422315632394,-0.13321858004720222,0.31155824163725676,1.9341958616371808,0.75,0.25,base,relative_13w_10_30,50,ytd
188,2023-01-06,2026-08-07,0.40458293982125837,2.4153920306799597,1.612149832313024,-0.19601059045953584,0.22725585181964353,1.601329854289905,0.35638297872340424,0.20691489361702123,base,relative_13w_10_40,50,full_recent
157,2023-08-11,2026-08-07,0.40946389590696386,1.8185665224819498,1.5601735944799517,-0.19601059045953573,0.23873475822805498,1.8972215887091723,0.4267515923566879,0.22802547770700635,base,relative_13w_10_40,50,since_incumbent_holdout_start
105,2024-08-09,2026-08-07,0.5596086830293121,1.4532574601917934,1.816344465685873,-0.19601059045953595,0.26467768324801105,2.588638998432981,0.5333333333333333,0.25999999999999995,base,relative_13w_10_40,50,trailing_2y
53,2025-08-08,2026-08-07,0.8669468678261631,0.8894962507026296,2.247550574625679,-0.13042480224592046,0.2987307291895632,2.372907470278235,0.7547169811320755,0.3264150943396227,base,relative_13w_10_40,50,trailing_1y
32,2026-01-02,2026-08-07,0.7138353976166092,0.39309582236945273,1.814072310512802,-0.13042480224592057,0.32674864718321023,2.7867432895090936,0.75,0.32500000000000007,base,relative_13w_10_40,50,ytd
188,2023-01-06,2026-08-07,0.4062168605209191,2.429778002867244,1.63758227499842,-0.17231055297107234,0.22398680596078205,1.2616852852332723,0.31382978723404253,0.1941489361702127,base,relative_26w_10_40,50,full_recent
157,2023-08-11,2026-08-07,0.4114274623285745,1.8304386060484052,1.587128360725313,-0.17231055297107223,0.23500190452857747,1.4905134423228865,0.37579617834394907,0.21273885350318467,base,relative_26w_10_40,50,since_incumbent_holdout_start
105,2024-08-09,2026-08-07,0.5994038695346495,1.5813004479215298,1.956846075670477,-0.17231055297107178,0.25773066143015505,1.6038070167389988,0.5333333333333333,0.25999999999999995,base,relative_26w_10_40,50,trailing_2y
53,2025-08-08,2026-08-07,0.9256147568720325,0.9500326998170003,2.435094444489919,-0.1349368319752834,0.2872016188383395,0.7482553682601448,0.9245283018867925,0.3773584905660376,base,relative_26w_10_40,50,trailing_1y
32,2026-01-02,2026-08-07,0.8871757533998428,0.47819141521405806,2.1502943615835446,-0.1349368319752834,0.3199075405819179,0.547947418732914,1.0,0.4,base,relative_26w_10_40,50,ytd
188,2023-01-06,2026-08-07,0.3895836046196599,2.285360858169462,1.5543281955906676,-0.1958018954546612,0.22904137243062656,1.1451840640270856,0.2393617021276596,0.24787234042553188,base,dual_13_26w_20_40,50,full_recent
157,2023-08-11,2026-08-07,0.4003952086587719,1.7641675256005227,1.523841287039799,-0.1958018954546611,0.2404595749112463,1.3351638845259668,0.28662420382165604,0.25732484076433115,base,dual_13_26w_20_40,50,since_incumbent_holdout_start
105,2024-08-09,2026-08-07,0.5822932352896382,1.5258431865463393,1.860837498980725,-0.1958018954546611,0.26645781366433224,1.536705956737811,0.4,0.27999999999999997,base,dual_13_26w_20_40,50,trailing_2y
53,2025-08-08,2026-08-07,0.8797634608659366,0.9027179659365263,2.306323876328579,-0.12269750228363241,0.2934398663361185,1.7050464339257632,0.7169811320754716,0.3433962264150942,base,dual_13_26w_20_40,50,trailing_1y
32,2026-01-02,2026-08-07,0.7711648393556365,0.4215913041590076,1.9346512604977553,-0.12269750228363219,0.32291118892571297,1.9917491495362303,0.75,0.35,base,dual_13_26w_20_40,50,ytd
188,2023-01-06,2026-08-07,0.3811791089581571,2.214087495733626,1.4861137860332276,-0.19770113293815206,0.23661007190470926,1.617833101424232,0.2393617021276596,0.27180851063829786,base,dual_13_26w_20_50,50,full_recent
157,2023-08-11,2026-08-07,0.390258990101382,1.704201049347052,1.4499865664843772,-0.1977011329381525,0.2490934863911518,1.9011385280333781,0.28662420382165604,0.2859872611464968,base,dual_13_26w_20_50,50,since_incumbent_holdout_start
105,2024-08-09,2026-08-07,0.5852233294423057,1.5352967730522917,1.809976585044053,-0.1977011329381526,0.27641859486534126,2.1854732643877437,0.4,0.32,base,dual_13_26w_20_50,50,trailing_2y
