candidate,secondary_weight,breadth,peak_total_stock_weight,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,recent_improves,full_improves,joint_improvement,headline_gates
bsq250__breadth25,0.25,25,0.03400992252768283,1.069816620292575,2.734612340792177,-0.09355586072041289,0.37324616604686534,0.9496675407837896,True,False,False,False
bsq225__breadth20,0.225,20,0.041859391681368305,1.0638676796283408,2.712422032980634,-0.10088583249311045,0.4019028922614114,0.944196004313953,True,False,False,False
bsq200__breadth20,0.2,20,0.0418593916813683,1.0638676796283404,2.7124220329806326,-0.10088583249311045,0.41538224358517795,0.9441960043139512,True,True,True,True
bsq225__breadth25,0.225,25,0.03370649383047462,1.06282934010627,2.7284096659216033,-0.09515020262505902,0.3864654282384954,0.9431962615026477,True,False,False,False
bsq250__breadth20,0.25,20,0.041513261058758785,1.0626621699334722,2.7144460117280005,-0.09919272685285452,0.40346645655072755,0.9430985115677988,True,False,False,False
bsq200__breadth25,0.2,25,0.03495186670092381,1.0608579374158507,2.7209931581489015,-0.09489230890874079,0.3884062327087061,0.9412383263238764,True,False,False,False
bsq175__breadth25,0.175,25,0.035268394350829804,1.0587122075853492,2.713591184722508,-0.0962048603984994,0.40751057921944356,0.9392198240952216,True,False,False,False
bsq250__breadth15,0.25,15,0.057992022178220984,1.0579713981170418,2.686381005309785,-0.10348654016823644,0.3993346737872485,0.9384682422430348,True,False,False,False
bsq175__breadth20,0.175,20,0.04190026330795051,1.0571483137691886,2.699580543680937,-0.1006383479515679,0.397208450834998,0.9377818680229777,True,False,False,False
bsq150__breadth30,0.15,30,0.029400667813009086,1.0514610693448954,2.707087930080854,-0.09637274405483587,0.4161365300314428,0.9324518047460013,True,True,True,False
bsq225__breadth15,0.225,15,0.05427887818993181,1.0449122303188303,2.6616657034020013,-0.10738535895695012,0.38377998167935057,0.9262262698082484,False,False,False,False
bsq200__breadth15,0.2,15,0.05427887818993182,1.0449122303188298,2.6616657034020004,-0.1073853589569499,0.3869240926229489,0.926226269808248,False,False,False,False
bsq150__breadth20,0.15,20,0.04196240664448944,1.0429361555049659,2.670864726685528,-0.10505248836352965,0.3867904911469955,0.9244313741243508,False,False,False,False
bsq150__breadth15,0.15,15,0.054572356225406356,1.0339741363188435,2.6340892005029226,-0.11739190887188145,0.37377675158249457,0.9161114977087532,False,False,False,False
bsq175__breadth15,0.175,15,0.054859897798589095,1.0339741363188426,2.634089200502922,-0.11739190887188133,0.38253262727725645,0.916111497708753,False,False,False,False
bsq175__breadth30,0.175,30,0.029599799392368703,0.98850470857316,2.5491947731083195,-0.12460779556582313,0.3601133428927856,0.8732897151974326,False,False,False,False
bsq225__breadth30,0.225,30,0.029691996290389662,0.9882949908092653,2.5490604318567875,-0.12420575787051447,0.3765762421311061,0.873067556710317,False,False,False,False
bsq200__breadth30,0.2,30,0.029691996290389662,0.988294990809262,2.549060431856782,-0.12420575787051469,0.3775148750522348,0.8730675567103159,False,False,False,False
bsq250__breadth30,0.25,30,0.029749756979330477,0.9871302679518559,2.5437324779635797,-0.125534388668898,0.3808428799452399,0.871951778780419,False,False,False,False
bsq150__breadth25,0.15,25,0.0334820510272308,0.9807122017023588,2.5304703655524508,-0.1275547356927652,0.39289851802295583,0.8659755641861151,False,False,False,False
