kind,cik10,path,sha256,source,observations,first_week,last_week
,0001090872,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/A.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001675149,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AA.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001708646,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AAAU.csv.gz,,yahoo_full_history,2025,2018-08-15,2026-09-04
,0000006201,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AAL.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001748824,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AAMI.csv.gz,,yahoo_full_history,2994,2014-10-09,2026-09-04
,0001158114,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AAOI.csv.gz,,yahoo_full_history,3255,2013-09-26,2026-09-04
,0000824142,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AAON.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001158449,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AAP.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000320193,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AAPL.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001500217,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AAT.csv.gz,,yahoo_full_history,3934,2011-01-13,2026-09-04
,0001756390,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AAWH.csv.gz,,yahoo_full_history,1326,2021-05-26,2026-09-04
,0000825313,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AB.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001551152,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ABBV.csv.gz,,yahoo_full_history,3440,2013-01-02,2026-09-04
,0000351569,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ABCB.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001703057,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ABCL.csv.gz,,yahoo_full_history,1439,2020-12-11,2026-09-04
,0001144980,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ABG.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000771497,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ABM.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001559720,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ABNB.csv.gz,,yahoo_full_history,1440,2020-12-10,2026-09-04
,0001253986,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ABR.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000001800,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ABT.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001739445,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACA.csv.gz,,yahoo_full_history,1968,2018-11-05,2026-09-04
,0001070494,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACAD.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000712034,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACCO.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001881487,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACDC.csv.gz,,yahoo_full_history,1082,2022-05-13,2026-09-04
,0001698991,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACEL.csv.gz,,yahoo_full_history,2270,2017-08-24,2026-09-04
,0000947484,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACGL.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000075252,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACH.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001520697,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACHC.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001824502,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACHR.csv.gz,,yahoo_full_history,1434,2020-12-18,2026-09-04
,0001646972,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACI.csv.gz,,yahoo_full_history,1556,2020-06-26,2026-09-04
,0001401521,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACIC.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000935036,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACIW.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001113232,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACLS.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000868857,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACM.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001680062,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACMR.csv.gz,,yahoo_full_history,2221,2017-11-02,2026-09-04
,0001467373,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACN.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000715579,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACNB.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000095953,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACNT.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001332551,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACR.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001529377,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACRE.csv.gz,,yahoo_full_history,3610,2012-04-27,2026-09-04
,0001557746,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACRS.csv.gz,,yahoo_full_history,2745,2015-10-06,2026-09-04
,0001823529,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACT.csv.gz,,yahoo_full_history,1248,2021-09-16,2026-09-04
,0000934549,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACTG.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000002098,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACU.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001637873,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ACVA.csv.gz,,yahoo_full_history,1370,2021-03-24,2026-09-04
,0000821130,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AD.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001273685,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADAM.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001621227,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADAPY.csv.gz,,yahoo_full_history,2851,2015-05-06,2026-09-04
,0000796343,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADBE.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000917251,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADC.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001771910,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADCT.csv.gz,,yahoo_full_history,1584,2020-05-18,2026-09-04
,0001803696,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADEA.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000006281,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADI.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000007084,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADM.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001368514,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADMA.csv.gz,,yahoo_full_history,3240,2013-10-17,2026-09-04
,0001670541,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADNT.csv.gz,,yahoo_full_history,2485,2016-10-17,2026-09-04
,0000008670,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADP.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001478320,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADPT.csv.gz,,yahoo_full_history,1808,2019-06-27,2026-09-04
,0000769397,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADSK.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001703056,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADT.csv.gz,,yahoo_full_history,2169,2018-01-19,2026-09-04
,0000926282,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADTN.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001468328,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADUS.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001776661,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/ADV.csv.gz,,yahoo_full_history,1678,2020-01-02,2026-09-04
,0001002910,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AEE.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000927003,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AEIS.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001823584,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AENT.csv.gz,,yahoo_full_history,1370,2021-03-24,2026-09-04
,0000919012,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AEO.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000004904,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AEP.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000874761,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AES.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001984060,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AESI.csv.gz,,yahoo_full_history,877,2023-03-09,2026-09-04
,0001789029,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AEVA.csv.gz,,yahoo_full_history,1640,2020-02-27,2026-09-04
,0001042046,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AFG.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0000004977,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AFL.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
,0001820953,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AFRM.csv.gz,,yahoo_full_history,1418,2021-01-13,2026-09-04
,0000880266,data/broad_full_history_price_vintages/20260905T100403Z-broad-full-history-v1/histories/AGCO.csv.gz,,yahoo_full_history,3942,2011-01-03,2026-09-04
