name,state,n_weeks,target_vol_active_share,panic_guardrail_active_share,avg_target_vol_required_cash,avg_target_vol_justified_extra_cash,avg_panic_guardrail_cash,avg_panic_justified_extra_cash,target_vol_shortfall_avg
improved_phase2b_combo_abc,calm_trend,295,0.003389830508474576,0.0,0.0001272344155187757,0.00012723441551877558,0.0,0.0,9.408669700213191e-20
improved_phase2b_combo_abc,neutral_healthy_proxy,293,0.0034129692832764505,0.0,1.6205746275778836e-05,1.6205746275778836e-05,0.0,0.0,0.0
improved_phase2b_combo_abc,neutral_mixed,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
improved_phase2b_combo_abc,recovery_confirmed,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
improved_phase2b_combo_abc,recovery_fragile,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
improved_phase2b_combo_abc,stressed_panic,229,0.0,1.0,0.0003353491018264966,0.0003353491018264966,0.5095176183235942,0.5004486447676193,0.0
improved_phase2b_regime_confidence_boost,calm_trend,295,0.003389830508474576,0.0,0.0001272344155187757,0.00012723441551877558,0.0,0.0,9.408669700213191e-20
improved_phase2b_regime_confidence_boost,neutral_healthy_proxy,293,0.0034129692832764505,0.0,1.6205746275778836e-05,1.6205746275778836e-05,0.0,0.0,0.0
improved_phase2b_regime_confidence_boost,neutral_mixed,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
improved_phase2b_regime_confidence_boost,recovery_confirmed,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
improved_phase2b_regime_confidence_boost,recovery_fragile,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
improved_phase2b_regime_confidence_boost,stressed_panic,229,0.0,1.0,0.0003353491018264966,0.0003353491018264966,0.5093247219202602,0.5002557483642852,0.0
improved_phasett_recovery_two_stage_bucket,calm_trend,295,0.003389830508474576,0.0,0.00013110925022105372,0.00013110925022105356,0.0,0.0,1.6465171975373085e-19
improved_phasett_recovery_two_stage_bucket,neutral_healthy_proxy,293,0.0034129692832764505,0.0,2.8401728534019087e-05,2.8401728534018775e-05,0.0,0.0,3.13789570739832e-19
